,QUARTER,TIME_REMAINING,DALLAS_ACTION,BOSTON_ACTION,DALLAS_SCORE,BOSTON_SCORE
0,1,11:44.0,,Turnover by J. Sullinger (lost ball; steal by T. Chandler),0,0
1,1,11:38.0,R. Rondo makes 2-pt layup at rim,,2,0
2,1,11:25.0,,J. Sullinger misses 3-pt jump shot from 25 ft,2,0
3,1,11:24.0,Defensive rebound by D. Nowitzki,,2,0
4,1,11:06.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,2,0
5,1,11:05.0,,Defensive rebound by T. Zeller,2,0
6,1,10:56.0,,E. Turner makes 2-pt jump shot from 9 ft,2,2
7,1,10:31.0,R. Rondo makes 3-pt jump shot from 24 ft (assist by M. Ellis),,5,2
8,1,10:12.0,,T. Zeller makes 2-pt hook shot from 3 ft (assist by E. Turner),5,4
9,1,9:54.0,Turnover by C. Parsons (lost ball; steal by T. Zeller),,5,4
10,1,9:44.0,,Turnover by Team (back court),5,4
11,1,9:24.0,R. Rondo makes 3-pt jump shot from 23 ft (assist by M. Ellis),,8,4
12,1,9:12.0,,Shooting foul by R. Rondo (drawn by E. Turner),8,4
13,1,9:12.0,,E. Turner makes free throw 1 of 2,8,5
14,1,9:12.0,,E. Turner misses free throw 2 of 2,8,5
15,1,9:12.0,Defensive rebound by D. Nowitzki,,8,5
16,1,9:00.0,T. Chandler misses 2-pt jump shot from 15 ft,,8,5
17,1,8:59.0,,Defensive rebound by J. Sullinger,8,5
18,1,8:49.0,,T. Zeller misses 2-pt hook shot from 6 ft,8,5
19,1,8:48.0,,Offensive rebound by Team,8,5
20,1,8:48.0,,Personal foul by T. Chandler (drawn by J. Sullinger),8,5
21,1,8:48.0,G. Smith enters the game for T. Chandler,,8,5
22,1,8:44.0,,A. Bradley misses 2-pt jump shot from 16 ft,8,5
23,1,8:42.0,Defensive rebound by M. Ellis,,8,5
24,1,8:30.0,M. Ellis misses 2-pt jump shot from 17 ft,,8,5
25,1,8:29.0,,Defensive rebound by J. Green,8,5
26,1,8:21.0,,J. Green makes 2-pt jump shot from 9 ft,8,7
27,1,8:06.0,R. Rondo makes 2-pt layup from 2 ft,,10,7
28,1,7:47.0,,A. Bradley misses 3-pt jump shot from 25 ft,10,7
29,1,7:46.0,Defensive rebound by R. Rondo,,10,7
30,1,7:39.0,D. Nowitzki makes 2-pt jump shot from 15 ft (assist by R. Rondo),,12,7
31,1,7:23.0,,J. Sullinger misses 2-pt jump shot from 17 ft,12,7
32,1,7:21.0,Defensive rebound by M. Ellis,,12,7
33,1,7:06.0,D. Nowitzki misses 2-pt jump shot from 11 ft,,12,7
34,1,7:06.0,Offensive rebound by Team,,12,7
35,1,7:03.0,,Loose ball foul by J. Sullinger (drawn by G. Smith),12,7
36,1,6:59.0,Personal foul by A. Bradley (drawn by R. Rondo),,12,7
37,1,6:50.0,D. Nowitzki makes 2-pt jump shot from 14 ft,,14,7
38,1,6:38.0,,A. Bradley makes 2-pt layup from 1 ft,14,9
