,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,LA CLIPPERS_ACTION,CHARLOTTE_SCORE,LA CLIPPERS_SCORE
0,1,11:43.0,,J. Redick misses 2-pt jump shot from 22 ft,0,0
1,1,11:42.0,Defensive rebound by M. Williams,,0,0
2,1,11:27.0,M. Kidd-Gilchrist makes 2-pt jump shot from 18 ft (assist by G. Henderson),,2,0
3,1,11:10.0,,Personal foul by M. Williams (drawn by B. Griffin),2,0
4,1,11:00.0,,J. Redick misses 2-pt jump shot from 20 ft,2,0
5,1,10:58.0,Defensive rebound by M. Williams,,2,0
6,1,10:42.0,G. Henderson misses 2-pt jump shot from 14 ft,,2,0
7,1,10:41.0,,Defensive rebound by D. Jordan,2,0
8,1,10:28.0,,Turnover by H. Türkoğlu (bad pass; steal by M. Williams),2,0
9,1,10:21.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft,,4,0
10,1,10:01.0,,J. Redick makes 2-pt jump shot from 15 ft (assist by B. Griffin),4,2
11,1,9:39.0,Turnover by G. Henderson (lost ball; steal by B. Griffin),,4,2
12,1,9:29.0,,J. Redick misses 3-pt jump shot from 23 ft,4,2
13,1,9:28.0,Defensive rebound by A. Jefferson,,4,2
14,1,9:14.0,Personal foul by C. Paul (drawn by M. Williams),,4,2
15,1,9:05.0,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,,4,2
16,1,9:04.0,,Defensive rebound by B. Griffin,4,2
17,1,8:51.0,,H. Türkoğlu makes 3-pt jump shot from 24 ft (assist by B. Griffin),4,5
18,1,8:34.0,A. Jefferson misses 2-pt hook shot from 5 ft,,4,5
19,1,8:31.0,,Defensive rebound by C. Paul,4,5
20,1,8:20.0,,B. Griffin makes 2-pt jump shot from 12 ft (assist by C. Paul),4,7
21,1,8:08.0,M. Williams misses 2-pt jump shot from 16 ft,,4,7
22,1,8:07.0,,Defensive rebound by D. Jordan,4,7
23,1,7:50.0,,B. Griffin misses 2-pt jump shot from 20 ft,4,7
24,1,7:49.0,Defensive rebound by M. Williams,,4,7
25,1,7:39.0,A. Jefferson makes 2-pt jump shot from 8 ft (assist by G. Henderson),,6,7
26,1,7:39.0,Shooting foul by D. Jordan (drawn by A. Jefferson),,6,7
27,1,7:39.0,A. Jefferson makes free throw 1 of 1,,7,7
28,1,7:33.0,,Personal foul by G. Henderson (drawn by J. Redick),7,7
29,1,7:28.0,,H. Türkoğlu misses 3-pt jump shot from 23 ft,7,7
30,1,7:27.0,Defensive rebound by M. Kidd-Gilchrist,,7,7
31,1,7:17.0,M. Williams misses 3-pt jump shot from 24 ft,,7,7
32,1,7:15.0,Offensive rebound by M. Kidd-Gilchrist,,7,7
33,1,7:10.0,G. Henderson makes 2-pt jump shot from 4 ft (assist by M. Kidd-Gilchrist),,9,7
34,1,6:58.0,,C. Paul misses 2-pt jump shot from 16 ft,9,7
35,1,6:58.0,,Offensive rebound by Team,9,7
36,1,6:48.0,,J. Redick misses 2-pt layup from 2 ft (block by A. Jefferson),9,7
37,1,6:46.0,Defensive rebound by M. Williams,,9,7
