,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW YORK_ACTION,PHILADELPHIA_SCORE,NEW YORK_SCORE
0,1,11:37.0,,J. Calderón misses 2-pt jump shot from 9 ft,0,0
1,1,11:36.0,Defensive rebound by N. Noel,,0,0
2,1,11:18.0,L. Mbah a Moute misses 2-pt jump shot from 22 ft,,0,0
3,1,11:17.0,,Defensive rebound by S. Dalembert,0,0
4,1,11:10.0,,Turnover by I. Shumpert (lost ball; steal by H. Sims),0,0
5,1,10:56.0,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by N. Noel),,2,0
6,1,10:42.0,,Turnover by C. Anthony (bad pass),2,0
7,1,10:29.0,Turnover by M. Carter-Williams (lost ball; steal by J. Calderón),,2,0
8,1,10:20.0,,Q. Acy makes 2-pt dunk at rim (assist by J. Calderón),2,2
9,1,10:06.0,Turnover by M. Carter-Williams (lost ball; steal by C. Anthony),,2,2
10,1,9:46.0,,Personal foul by H. Sims,2,2
11,1,9:39.0,,J. Calderón makes 3-pt jump shot from 25 ft (assist by Q. Acy),2,5
12,1,9:26.0,N. Noel misses 2-pt jump shot from 4 ft,,2,5
13,1,9:25.0,,Defensive rebound by Q. Acy,2,5
14,1,9:09.0,,C. Anthony makes 2-pt layup at rim (assist by I. Shumpert),2,7
15,1,8:55.0,N. Noel makes 2-pt dunk at rim (assist by M. Carter-Williams),,4,7
16,1,8:42.0,,S. Dalembert misses 2-pt jump shot from 14 ft,4,7
17,1,8:41.0,Defensive rebound by M. Carter-Williams,,4,7
18,1,8:28.0,M. Carter-Williams misses 2-pt layup from 2 ft,,4,7
19,1,8:27.0,,Defensive rebound by J. Calderón,4,7
20,1,8:19.0,,Q. Acy misses 2-pt hook shot from 3 ft,4,7
21,1,8:17.0,,Offensive rebound by S. Dalembert,4,7
22,1,8:17.0,,S. Dalembert makes 2-pt layup from 1 ft,4,9
23,1,8:01.0,L. Mbah a Moute misses 2-pt layup from 1 ft,,4,9
24,1,8:00.0,,Defensive rebound by Team,4,9
25,1,7:48.0,,J. Calderón misses 2-pt jump shot from 21 ft,4,9
26,1,7:47.0,Defensive rebound by H. Sims,,4,9
27,1,7:37.0,Turnover by M. Carter-Williams (lost ball; steal by I. Shumpert),,4,9
28,1,7:31.0,,I. Shumpert misses 3-pt jump shot from 26 ft,4,9
29,1,7:30.0,Defensive rebound by H. Sims,,4,9
30,1,7:19.0,L. Mbah a Moute misses 3-pt jump shot from 25 ft,,4,9
31,1,7:18.0,Offensive rebound by M. Carter-Williams,,4,9
32,1,7:14.0,Personal foul by J. Calderón,,4,9
33,1,7:04.0,H. Sims misses 2-pt layup from 3 ft (block by S. Dalembert),,4,9
34,1,7:02.0,,Defensive rebound by C. Anthony,4,9
35,1,6:54.0,,C. Anthony makes 2-pt jump shot from 16 ft (assist by Q. Acy),4,11
36,1,6:53.0,Philadelphia full timeout,,4,11
37,1,6:37.0,H. Sims makes 2-pt layup from 2 ft (assist by T. Wroten),,6,11
38,1,6:14.0,,C. Anthony misses 2-pt jump shot from 17 ft,6,11
39,1,6:13.0,,Offensive rebound by S. Dalembert,6,11
40,1,6:13.0,,S. Dalembert makes 2-pt dunk at rim,6,13
41,1,5:56.0,Turnover by H. Sims (lost ball; steal by I. Shumpert),,6,13
42,1,5:52.0,,Shooting foul by T. Wroten (drawn by I. Shumpert),6,13
43,1,5:52.0,,I. Shumpert makes free throw 1 of 2,6,14
44,1,5:52.0,A. Shved enters the game for M. Carter-Williams,,6,14
45,1,5:52.0,,I. Shumpert misses free throw 2 of 2,6,14
46,1,5:51.0,Defensive rebound by N. Noel,,6,14
47,1,5:30.0,A. Shved misses 2-pt jump shot from 13 ft,,6,14
48,1,5:29.0,,Defensive rebound by S. Dalembert,6,14
49,1,5:14.0,,Turnover by S. Dalembert (lost ball; steal by H. Sims),6,14
50,1,5:05.0,T. Wroten misses 2-pt layup from 2 ft,,6,14
51,1,5:04.0,Offensive rebound by N. Noel,,6,14
52,1,5:04.0,N. Noel makes 2-pt tip-in at rim,,8,14
53,1,4:54.0,,Personal foul by T. Wroten,8,14
54,1,4:54.0,,P. Prigioni enters the game for J. Calderón,8,14
55,1,4:41.0,,C. Anthony makes 3-pt jump shot from 24 ft,8,17
56,1,4:23.0,Turnover by L. Mbah a Moute (bad pass),,8,17
57,1,4:23.0,,A. Stoudemire enters the game for S. Dalembert,8,17
58,1,4:23.0,K. McDaniels enters the game for T. Wroten,,8,17
59,1,4:23.0,B. Davies enters the game for H. Sims,,8,17
60,1,4:04.0,,Turnover by P. Prigioni (lost ball),8,17
61,1,3:52.0,A. Shved misses 2-pt jump shot from 21 ft,,8,17
62,1,3:51.0,,Defensive rebound by A. Stoudemire,8,17
63,1,3:37.0,,C. Anthony makes 2-pt jump shot from 23 ft (assist by P. Prigioni),8,19
64,1,3:19.0,N. Noel misses 2-pt jump shot from 13 ft,,8,19
65,1,3:18.0,,Defensive rebound by Q. Acy,8,19
66,1,3:15.0,,Personal foul by K. McDaniels,8,19
67,1,3:15.0,,J. Smith enters the game for Q. Acy,8,19
68,1,3:15.0,,J. Smith enters the game for I. Shumpert,8,19
69,1,3:08.0,,A. Stoudemire makes 2-pt layup from 2 ft,8,21
70,1,2:49.0,K. McDaniels misses 2-pt dunk from 2 ft,,8,21
71,1,2:48.0,,Defensive rebound by P. Prigioni,8,21
72,1,2:43.0,,C. Anthony misses 3-pt jump shot from 26 ft,8,21
73,1,2:42.0,Defensive rebound by N. Noel,,8,21
74,1,2:34.0,A. Shved misses 3-pt jump shot from 24 ft,,8,21
75,1,2:33.0,Offensive rebound by B. Davies,,8,21
76,1,2:13.0,A. Shved makes 2-pt layup from 2 ft,,10,21
77,1,2:08.0,,Personal foul by B. Davies,10,21
78,1,2:08.0,,New York full timeout,10,21
79,1,2:08.0,D. Gordon enters the game for N. Noel,,10,21
80,1,2:08.0,,J. Smith makes free throw 1 of 2,10,22
81,1,2:08.0,,J. Smith makes free throw 2 of 2,10,23
82,1,1:52.0,A. Shved misses 3-pt jump shot from 25 ft,,10,23
83,1,1:51.0,,Defensive rebound by A. Stoudemire,10,23
84,1,1:30.0,,P. Prigioni makes 2-pt jump shot from 10 ft,10,25
85,1,1:23.0,Personal foul by A. Stoudemire,,10,25
86,1,1:09.0,K. McDaniels makes 3-pt jump shot from 22 ft (assist by A. Shved),,13,25
87,1,0:58.0,,Turnover by A. Stoudemire (3 sec),13,25
88,1,0:58.0,,T. Hardaway enters the game for C. Anthony,13,25
89,1,0:58.0,H. Thompson enters the game for L. Mbah a Moute,,13,25
90,1,0:40.0,K. McDaniels misses 3-pt jump shot from 25 ft,,13,25
91,1,0:39.0,,Defensive rebound by A. Stoudemire,13,25
92,1,0:27.0,,Turnover by P. Prigioni (bad pass),13,25
93,1,0:04.0,A. Shved misses 3-pt jump shot from 25 ft,,13,25
94,1,0:02.0,,Defensive rebound by A. Stoudemire,13,25
95,2,11:50.0,Turnover by K. McDaniels (lost ball),,13,25
96,2,11:37.0,,A. Stoudemire makes 2-pt layup from 1 ft (assist by J. Smith),13,27
97,2,11:32.0,Personal foul by J. Smith,,13,27
98,2,11:21.0,Shooting foul by J. Smith (drawn by A. Shved),,13,27
99,2,11:21.0,A. Shved makes free throw 1 of 2,,14,27
100,2,11:21.0,M. Carter-Williams enters the game for K. McDaniels,,14,27
101,2,11:21.0,H. Sims enters the game for D. Gordon,,14,27
102,2,11:21.0,A. Shved misses free throw 2 of 2,,14,27
103,2,11:20.0,,Defensive rebound by J. Smith,14,27
104,2,10:59.0,,A. Stoudemire makes 2-pt dunk at rim (assist by J. Smith),14,29
105,2,10:45.0,H. Thompson makes 3-pt jump shot from 25 ft (assist by A. Shved),,17,29
106,2,10:25.0,,P. Prigioni misses 3-pt jump shot from 24 ft,17,29
107,2,10:24.0,Defensive rebound by B. Davies,,17,29
108,2,10:10.0,A. Shved misses 3-pt jump shot from 24 ft,,17,29
109,2,10:09.0,Offensive rebound by Team,,17,29
110,2,10:09.0,,Loose ball foul by A. Stoudemire,17,29
111,2,10:09.0,T. Wroten enters the game for A. Shved,,17,29
112,2,10:09.0,,J. Calderón enters the game for P. Prigioni,17,29
113,2,10:09.0,,S. Dalembert enters the game for A. Stoudemire,17,29
114,2,9:57.0,Turnover by H. Thompson (traveling),,17,29
115,2,9:48.0,,Personal foul by H. Thompson,17,29
