,QUARTER,TIME_REMAINING,PHOENIX_ACTION,WASHINGTON_ACTION,PHOENIX_SCORE,WASHINGTON_SCORE
0,1,11:36.0,,K. Humphries makes 2-pt jump shot from 18 ft (assist by J. Wall),0,2
1,1,11:23.0,Turnover by P. Tucker (bad pass; steal by B. Beal),,0,2
2,1,11:16.0,,Turnover by P. Pierce (bad pass),0,2
3,1,10:56.0,Turnover by G. Dragić (bad pass; steal by P. Pierce),,0,2
4,1,10:49.0,,K. Humphries misses 2-pt layup at rim,0,2
5,1,10:48.0,,Offensive rebound by B. Beal,0,2
6,1,10:46.0,,B. Beal makes 2-pt layup at rim,0,4
7,1,10:37.0,Turnover by A. Len (bad pass; steal by J. Wall),,0,4
8,1,10:32.0,,J. Wall makes 2-pt dunk at rim,0,6
9,1,10:21.0,P. Tucker misses 3-pt jump shot from 23 ft,,0,6
10,1,10:20.0,Offensive rebound by P. Tucker,,0,6
11,1,10:18.0,Personal foul by J. Wall (drawn by P. Tucker),,0,6
12,1,10:13.0,Turnover by E. Bledsoe (bad pass),,0,6
13,1,9:57.0,,B. Beal misses 2-pt jump shot from 16 ft,0,6
14,1,9:56.0,Defensive rebound by P. Tucker,,0,6
15,1,9:33.0,E. Bledsoe misses 2-pt layup from 1 ft (block by M. Gortat),,0,6
16,1,9:32.0,Offensive rebound by A. Len,,0,6
17,1,9:29.0,A. Len makes 2-pt layup from 1 ft,,2,6
18,1,9:12.0,,K. Humphries makes 2-pt layup from 1 ft (assist by J. Wall),2,8
19,1,8:51.0,G. Dragić makes 2-pt jump shot from 5 ft,,4,8
20,1,8:40.0,,P. Pierce misses 2-pt jump shot from 15 ft,4,8
21,1,8:39.0,Defensive rebound by M. Morris,,4,8
22,1,8:32.0,G. Dragić misses 3-pt jump shot from 25 ft,,4,8
23,1,8:30.0,Offensive rebound by G. Dragić,,4,8
24,1,8:23.0,Shooting foul by P. Pierce (drawn by A. Len),,4,8
25,1,8:23.0,A. Len makes free throw 1 of 2,,5,8
26,1,8:23.0,A. Len misses free throw 2 of 2,,5,8
27,1,8:22.0,,Defensive rebound by K. Humphries,5,8
28,1,8:15.0,,Shooting foul by A. Len (drawn by M. Gortat),5,8
29,1,8:15.0,,M. Gortat makes free throw 1 of 2,5,9
30,1,8:15.0,,M. Gortat misses free throw 2 of 2,5,9
31,1,8:14.0,Defensive rebound by P. Tucker,,5,9
32,1,7:57.0,M. Morris misses 2-pt jump shot from 7 ft,,5,9
33,1,7:56.0,,Defensive rebound by K. Humphries,5,9
34,1,7:51.0,,B. Beal makes 2-pt dunk at rim (assist by J. Wall),5,11
35,1,7:37.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,5,11
36,1,7:36.0,,Defensive rebound by M. Gortat,5,11
37,1,7:30.0,,Shooting foul by A. Len (drawn by P. Pierce),5,11
38,1,7:30.0,,P. Pierce makes free throw 1 of 2,5,12
39,1,7:30.0,,P. Pierce makes free throw 2 of 2,5,13
40,1,7:14.0,E. Bledsoe makes 2-pt jump shot from 21 ft (assist by G. Dragić),,7,13
41,1,7:05.0,,Turnover by M. Gortat (bad pass),7,13
42,1,7:05.0,M. Plumlee enters the game for A. Len,,7,13
43,1,6:54.0,G. Dragić misses 2-pt jump shot from 12 ft (block by M. Gortat),,7,13
44,1,6:52.0,,Defensive rebound by P. Pierce,7,13
45,1,6:40.0,,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),7,15
46,1,6:21.0,M. Morris misses 3-pt jump shot from 24 ft,,7,15
47,1,6:20.0,,Defensive rebound by J. Wall,7,15
48,1,6:17.0,,Turnover by J. Wall (lost ball; steal by M. Plumlee),7,15
49,1,6:17.0,Clear path foul by K. Humphries,,7,15
50,1,6:17.0,E. Bledsoe makes clear path free throw 1 of 2,,8,15
51,1,6:17.0,E. Bledsoe misses clear path free throw 2 of 2,,8,15
52,1,6:17.0,Offensive rebound by Team,,8,15
53,1,5:58.0,M. Morris makes 2-pt jump shot from 14 ft (assist by E. Bledsoe),,10,15
54,1,5:48.0,,Personal foul by G. Dragić (drawn by B. Beal),10,15
55,1,5:48.0,,Washington full timeout,10,15
56,1,5:43.0,,B. Beal misses 2-pt jump shot from 10 ft,10,15
