,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,HOUSTON_ACTION,MEMPHIS_SCORE,HOUSTON_SCORE
0,1,11:43.0,,P. Beverley makes 2-pt jump shot from 6 ft,0,2
1,1,11:16.0,M. Gasol makes 2-pt jump shot from 16 ft (assist by Z. Randolph),,2,2
2,1,10:56.0,,T. Jones misses 2-pt hook shot from 10 ft,2,2
3,1,10:54.0,Defensive rebound by J. Green,,2,2
4,1,10:48.0,J. Green makes 2-pt dunk at rim,,4,2
5,1,10:42.0,,Turnover by T. Ariza (lost ball),4,2
6,1,10:24.0,J. Green makes 3-pt jump shot from 25 ft (assist by M. Conley),,7,2
7,1,10:07.0,,T. Ariza misses 3-pt jump shot from 23 ft,7,2
8,1,10:05.0,,Offensive rebound by J. Harden,7,2
9,1,10:03.0,,T. Jones makes 2-pt layup from 2 ft (assist by J. Harden),7,4
10,1,9:50.0,Turnover by J. Green (bad pass; steal by T. Jones),,7,4
11,1,9:43.0,,P. Beverley makes 3-pt jump shot from 23 ft (assist by J. Harden),7,7
12,1,9:29.0,Z. Randolph misses 2-pt jump shot from 6 ft,,7,7
13,1,9:28.0,,Defensive rebound by P. Beverley,7,7
14,1,9:21.0,,P. Beverley misses 2-pt layup from 1 ft,7,7
15,1,9:19.0,Defensive rebound by Team,,7,7
16,1,9:19.0,,Loose ball foul by D. Motiejūnas (drawn by Z. Randolph),7,7
17,1,9:05.0,Z. Randolph misses 2-pt hook shot from 4 ft,,7,7
18,1,9:03.0,,Defensive rebound by T. Jones,7,7
19,1,8:49.0,,D. Motiejūnas misses 2-pt hook shot from 8 ft,7,7
20,1,8:46.0,Defensive rebound by M. Conley,,7,7
21,1,8:40.0,J. Green misses 2-pt layup from 2 ft,,7,7
22,1,8:38.0,,Defensive rebound by D. Motiejūnas,7,7
23,1,8:30.0,,T. Ariza misses 2-pt layup from 3 ft,7,7
24,1,8:28.0,Defensive rebound by Z. Randolph,,7,7
25,1,8:21.0,M. Conley makes 2-pt jump shot from 19 ft,,9,7
26,1,8:13.0,,T. Jones makes 2-pt dunk at rim (assist by J. Harden),9,9
27,1,7:58.0,Turnover by M. Conley (bad pass; steal by T. Ariza),,9,9
28,1,7:55.0,,J. Harden makes 2-pt dunk at rim (assist by T. Ariza),9,11
29,1,7:33.0,M. Conley misses 2-pt jump shot from 4 ft,,9,11
30,1,7:31.0,,Defensive rebound by P. Beverley,9,11
31,1,7:25.0,,D. Motiejūnas makes 3-pt jump shot from 24 ft (assist by P. Beverley),9,14
32,1,7:20.0,Memphis full timeout,,9,14
33,1,7:10.0,M. Gasol makes 2-pt dunk at rim (assist by M. Conley),,11,14
34,1,6:59.0,,D. Motiejūnas makes 2-pt layup from 1 ft (assist by J. Harden),11,16
35,1,6:46.0,C. Lee makes 2-pt jump shot from 20 ft (assist by M. Gasol),,13,16
36,1,6:32.0,,J. Harden makes 3-pt jump shot from 24 ft (assist by T. Jones),13,19
37,1,6:20.0,C. Lee misses 2-pt jump shot from 17 ft (block by J. Harden),,13,19
38,1,6:18.0,,Defensive rebound by T. Jones,13,19
39,1,6:10.0,,J. Harden misses 3-pt jump shot from 25 ft,13,19
40,1,6:09.0,Defensive rebound by M. Gasol,,13,19
41,1,5:55.0,Z. Randolph misses 2-pt hook shot from 6 ft,,13,19
42,1,5:54.0,,Defensive rebound by D. Motiejūnas,13,19
43,1,5:33.0,,D. Motiejūnas makes 3-pt jump shot from 25 ft (assist by T. Jones),13,22
44,1,5:09.0,J. Green misses 3-pt jump shot from 25 ft,,13,22
45,1,5:07.0,,Defensive rebound by J. Harden,13,22
46,1,5:00.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by J. Harden),13,25
47,1,4:48.0,C. Lee makes 2-pt jump shot from 20 ft (assist by M. Conley),,15,25
48,1,4:29.0,,J. Harden misses 2-pt hook shot from 4 ft,15,25
49,1,4:28.0,Defensive rebound by Z. Randolph,,15,25
50,1,4:09.0,J. Green makes 2-pt jump shot from 21 ft (assist by M. Gasol),,17,25
51,1,3:48.0,,D. Motiejūnas makes 2-pt hook shot from 5 ft (assist by P. Beverley),17,27
52,1,3:21.0,M. Gasol misses 2-pt jump shot from 4 ft (block by T. Jones),,17,27
53,1,3:21.0,Offensive rebound by Team,,17,27
54,1,3:21.0,,Houston full timeout,17,27
55,1,3:21.0,,C. Brewer enters the game for T. Ariza,17,27
56,1,3:21.0,,J. Smith enters the game for T. Jones,17,27
57,1,3:21.0,B. Udrih enters the game for J. Green,,17,27
58,1,3:21.0,J. Leuer enters the game for Z. Randolph,,17,27
59,1,3:21.0,T. Allen enters the game for M. Conley,,17,27
60,1,3:16.0,Shooting foul by D. Motiejūnas (drawn by M. Gasol),,17,27
61,1,3:16.0,M. Gasol makes free throw 1 of 2,,18,27
62,1,3:16.0,,T. Jones enters the game for D. Motiejūnas,18,27
63,1,3:16.0,,J. Terry enters the game for P. Beverley,18,27
64,1,3:16.0,M. Gasol misses free throw 2 of 2,,18,27
65,1,3:16.0,,Defensive rebound by J. Smith,18,27
66,1,2:57.0,Violation by M. Gasol (kicked ball),,18,27
67,1,2:44.0,,J. Smith misses 2-pt hook shot from 5 ft,18,27
68,1,2:42.0,Defensive rebound by M. Gasol,,18,27
69,1,2:27.0,B. Udrih misses 2-pt layup from 2 ft,,18,27
70,1,2:26.0,Offensive rebound by T. Allen,,18,27
71,1,2:26.0,T. Allen makes 2-pt tip-in from 2 ft,,20,27
72,1,2:09.0,,J. Terry misses 3-pt jump shot from 23 ft,20,27
73,1,2:08.0,Defensive rebound by J. Leuer,,20,27
74,1,1:58.0,M. Gasol misses 2-pt jump shot from 9 ft,,20,27
75,1,1:56.0,Offensive rebound by T. Allen,,20,27
