,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHOENIX_ACTION,CHARLOTTE_SCORE,PHOENIX_SCORE
0,1,11:51.0,Personal foul by G. Dragić (drawn by L. Stephenson),,0,0
1,1,11:42.0,Personal foul by M. Morris (drawn by P. Hairston),,0,0
2,1,11:32.0,A. Jefferson misses 2-pt layup from 2 ft,,0,0
3,1,11:31.0,,Defensive rebound by M. Morris,0,0
4,1,11:26.0,,E. Bledsoe misses 2-pt jump shot from 18 ft,0,0
5,1,11:25.0,Defensive rebound by L. Stephenson,,0,0
6,1,11:13.0,P. Hairston misses 2-pt dunk at rim,,0,0
7,1,11:11.0,Offensive rebound by K. Walker,,0,0
8,1,10:58.0,A. Jefferson makes 2-pt jump shot from 11 ft (assist by L. Stephenson),,2,0
9,1,10:49.0,,Personal foul by P. Hairston (drawn by M. Morris),2,0
10,1,10:42.0,,M. Morris misses 2-pt jump shot from 21 ft,2,0
11,1,10:41.0,Defensive rebound by A. Jefferson,,2,0
12,1,10:24.0,P. Hairston makes 3-pt jump shot from 25 ft,,5,0
13,1,10:08.0,,M. Morris makes 2-pt jump shot from 11 ft,5,2
14,1,9:39.0,L. Stephenson misses 2-pt jump shot from 13 ft,,5,2
15,1,9:37.0,,Defensive rebound by M. Plumlee,5,2
16,1,9:28.0,,E. Bledsoe makes 3-pt jump shot from 23 ft (assist by G. Dragić),5,5
17,1,9:00.0,K. Walker misses 2-pt layup from 2 ft,,5,5
18,1,9:00.0,Offensive rebound by K. Walker,,5,5
19,1,9:00.0,Turnover by Team (shot clock),,5,5
20,1,8:45.0,,M. Morris misses 2-pt jump shot from 21 ft,5,5
21,1,8:44.0,Defensive rebound by Team,,5,5
22,1,8:34.0,L. Stephenson makes 2-pt jump shot from 17 ft,,7,5
23,1,8:22.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),7,8
24,1,8:02.0,A. Jefferson misses 2-pt jump shot from 4 ft,,7,8
25,1,8:01.0,,Defensive rebound by M. Plumlee,7,8
26,1,7:54.0,,G. Dragić misses 2-pt jump shot from 6 ft (block by A. Jefferson),7,8
27,1,7:51.0,Defensive rebound by K. Walker,,7,8
28,1,7:35.0,A. Jefferson misses 2-pt jump shot from 15 ft,,7,8
29,1,7:34.0,,Defensive rebound by M. Morris,7,8
