,QUARTER,TIME_REMAINING,BOSTON_ACTION,LA CLIPPERS_ACTION,BOSTON_SCORE,LA CLIPPERS_SCORE
0,1,11:43.0,,J. Redick misses 2-pt jump shot from 20 ft,0,0
1,1,11:41.0,,Offensive rebound by J. Redick,0,0
2,1,11:35.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by B. Griffin),0,2
3,1,11:18.0,A. Bradley misses 2-pt jump shot from 18 ft,,0,2
4,1,11:17.0,,Defensive rebound by D. Jordan,0,2
5,1,11:07.0,,B. Griffin misses 2-pt hook shot from 5 ft,0,2
6,1,11:03.0,Defensive rebound by J. Sullinger,,0,2
7,1,10:57.0,T. Zeller makes 2-pt hook shot from 4 ft,,2,2
8,1,10:34.0,,B. Griffin misses 2-pt jump shot from 17 ft,2,2
9,1,10:33.0,Defensive rebound by E. Turner,,2,2
10,1,10:20.0,J. Sullinger misses 2-pt jump shot from 12 ft,,2,2
11,1,10:18.0,,Defensive rebound by D. Jordan,2,2
12,1,9:59.0,,Shooting foul by A. Bradley (drawn by J. Redick),2,2
13,1,9:59.0,,J. Redick makes free throw 1 of 3,2,3
14,1,9:59.0,,J. Redick makes free throw 2 of 3,2,4
15,1,9:59.0,,J. Redick makes free throw 3 of 3,2,5
16,1,9:44.0,Turnover by A. Bradley (bad pass; steal by D. Jordan),,2,5
17,1,9:33.0,,J. Redick misses 2-pt jump shot from 19 ft,2,5
18,1,9:33.0,,Offensive rebound by Team,2,5
19,1,9:33.0,Loose ball foul by T. Zeller (drawn by D. Jordan),,2,5
20,1,9:24.0,,M. Barnes misses 3-pt jump shot from 24 ft,2,5
21,1,9:22.0,Defensive rebound by T. Zeller,,2,5
22,1,9:09.0,T. Zeller misses 2-pt layup from 1 ft (block by D. Jordan),,2,5
23,1,9:07.0,Offensive rebound by T. Zeller,,2,5
24,1,9:05.0,T. Zeller misses 2-pt hook shot at rim,,2,5
25,1,9:03.0,,Defensive rebound by Team,2,5
26,1,8:57.0,,C. Paul misses 2-pt jump shot from 9 ft,2,5
27,1,8:55.0,Defensive rebound by T. Zeller,,2,5
28,1,8:46.0,J. Sullinger misses 3-pt jump shot from 24 ft,,2,5
29,1,8:45.0,,Defensive rebound by J. Redick,2,5
30,1,8:31.0,,B. Griffin makes 2-pt jump shot from 18 ft (assist by M. Barnes),2,7
31,1,8:13.0,J. Sullinger misses 2-pt jump shot from 18 ft,,2,7
32,1,8:12.0,,Defensive rebound by D. Jordan,2,7
33,1,8:03.0,,B. Griffin misses 2-pt jump shot from 18 ft,2,7
34,1,8:01.0,Defensive rebound by J. Crowder,,2,7
35,1,7:59.0,Turnover by J. Crowder (bad pass),,2,7
36,1,7:47.0,,B. Griffin misses 2-pt layup from 1 ft,2,7
37,1,7:44.0,Defensive rebound by T. Zeller,,2,7
38,1,7:37.0,E. Turner misses 2-pt jump shot from 17 ft,,2,7
39,1,7:36.0,,Defensive rebound by B. Griffin,2,7
40,1,7:26.0,,D. Jordan makes 2-pt dunk at rim (assist by M. Barnes),2,9
41,1,7:12.0,A. Bradley misses 2-pt jump shot from 20 ft,,2,9
42,1,7:11.0,,Defensive rebound by D. Jordan,2,9
43,1,6:59.0,B. Bass enters the game for J. Sullinger,,2,9
44,1,6:47.0,,C. Paul misses 2-pt jump shot from 18 ft,2,9
45,1,6:45.0,Defensive rebound by E. Turner,,2,9
46,1,6:37.0,Turnover by B. Bass (lost ball; steal by B. Griffin),,2,9
47,1,6:32.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),2,11
48,1,6:31.0,Boston full timeout,,2,11
49,1,6:17.0,J. Crowder misses 3-pt jump shot from 25 ft,,2,11
50,1,6:15.0,Offensive rebound by T. Zeller,,2,11
51,1,6:13.0,T. Zeller misses 2-pt hook shot from 2 ft (block by D. Jordan),,2,11
52,1,6:10.0,Offensive rebound by A. Bradley,,2,11
53,1,6:08.0,E. Turner misses 2-pt layup from 1 ft,,2,11
54,1,6:08.0,Offensive rebound by B. Bass,,2,11
55,1,6:08.0,Shooting foul by M. Barnes (drawn by B. Bass),,2,11
56,1,6:08.0,B. Bass makes free throw 1 of 2,,3,11
57,1,6:08.0,B. Bass makes free throw 2 of 2,,4,11
58,1,5:53.0,,D. Jordan makes 2-pt layup from 1 ft (assist by J. Redick),4,13
59,1,5:33.0,Turnover by J. Crowder (bad pass),,4,13
60,1,5:17.0,,J. Redick makes 2-pt jump shot from 15 ft (assist by C. Paul),4,15
61,1,5:02.0,B. Bass makes 2-pt dunk at rim (assist by T. Zeller),,6,15
62,1,4:38.0,,Turnover by C. Paul (bad pass; steal by B. Bass),6,15
63,1,4:29.0,A. Bradley misses 3-pt jump shot from 23 ft,,6,15
64,1,4:26.0,Offensive rebound by E. Turner,,6,15
65,1,4:24.0,E. Turner makes 2-pt layup from 2 ft,,8,15
66,1,4:20.0,,Turnover by D. Jordan (bad pass),8,15
67,1,4:20.0,M. Thornton enters the game for J. Crowder,,8,15
68,1,4:05.0,M. Thornton makes 2-pt jump shot from 19 ft (assist by T. Zeller),,10,15
69,1,3:51.0,,D. Jordan makes 2-pt layup at rim (assist by B. Griffin),10,17
70,1,3:33.0,B. Bass misses 2-pt jump shot from 16 ft,,10,17
71,1,3:32.0,,Defensive rebound by M. Barnes,10,17
72,1,3:16.0,,C. Paul misses 2-pt jump shot from 15 ft,10,17
73,1,3:15.0,Defensive rebound by E. Turner,,10,17
74,1,3:05.0,M. Thornton misses 2-pt jump shot from 13 ft,,10,17
