,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,TORONTO_ACTION,WASHINGTON_SCORE,TORONTO_SCORE
0,1,11:43.0,,K. Lowry misses 3-pt jump shot from 25 ft,0,0
1,1,11:42.0,Defensive rebound by P. Pierce,,0,0
2,1,11:26.0,N. Hilário misses 2-pt jump shot from 15 ft,,0,0
3,1,11:25.0,,Defensive rebound by K. Lowry,0,0
4,1,11:12.0,,A. Johnson misses 2-pt jump shot from 15 ft,0,0
5,1,11:11.0,Defensive rebound by P. Pierce,,0,0
6,1,10:58.0,G. Temple misses 3-pt jump shot from 24 ft,,0,0
7,1,10:57.0,,Defensive rebound by A. Johnson,0,0
8,1,10:53.0,,D. DeRozan misses 2-pt layup from 2 ft (block by G. Temple),0,0
9,1,10:50.0,Defensive rebound by P. Pierce,,0,0
10,1,10:44.0,P. Pierce misses 2-pt jump shot from 19 ft,,0,0
11,1,10:43.0,Offensive rebound by M. Gortat,,0,0
12,1,10:31.0,J. Wall misses 3-pt jump shot from 23 ft,,0,0
13,1,10:30.0,Offensive rebound by M. Gortat,,0,0
14,1,10:23.0,J. Wall misses 2-pt jump shot from 16 ft,,0,0
15,1,10:22.0,,Defensive rebound by T. Ross,0,0
16,1,10:12.0,,T. Ross makes 3-pt jump shot from 24 ft,0,3
17,1,9:55.0,N. Hilário misses 2-pt jump shot from 17 ft,,0,3
18,1,9:54.0,,Defensive rebound by D. DeRozan,0,3
19,1,9:44.0,,D. DeRozan makes 2-pt jump shot from 18 ft,0,5
20,1,9:22.0,M. Gortat misses 2-pt hook shot from 9 ft,,0,5
21,1,9:21.0,Offensive rebound by P. Pierce,,0,5
22,1,9:17.0,G. Temple misses 3-pt jump shot from 24 ft,,0,5
23,1,9:15.0,,Defensive rebound by A. Johnson,0,5
24,1,9:11.0,,Toronto full timeout,0,5
25,1,9:00.0,,Turnover by T. Ross (bad pass; steal by N. Hilário),0,5
26,1,8:43.0,P. Pierce makes 2-pt jump shot from 17 ft,,2,5
27,1,8:27.0,,D. DeRozan makes 2-pt jump shot from 18 ft (assist by K. Lowry),2,7
28,1,8:13.0,P. Pierce misses 2-pt layup from 3 ft (block by A. Johnson),,2,7
29,1,8:10.0,,Defensive rebound by T. Ross,2,7
30,1,7:59.0,,T. Ross makes 3-pt jump shot from 23 ft (assist by K. Lowry),2,10
31,1,7:39.0,P. Pierce misses 2-pt jump shot from 9 ft,,2,10
