,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BROOKLYN_ACTION,MILWAUKEE_SCORE,BROOKLYN_SCORE
0,1,11:41.0,,D. Williams misses 3-pt jump shot from 24 ft,0,0
1,1,11:40.0,Defensive rebound by G. Antetokounmpo,,0,0
2,1,11:18.0,E. İlyasova misses 2-pt jump shot from 6 ft,,0,0
3,1,11:17.0,Offensive rebound by Z. Pachulia,,0,0
4,1,11:16.0,Z. Pachulia misses 2-pt tip-in from 1 ft,,0,0
5,1,11:15.0,,Defensive rebound by B. Lopez,0,0
6,1,11:11.0,,T. Young misses 2-pt layup from 2 ft,0,0
7,1,11:10.0,Defensive rebound by E. İlyasova,,0,0
8,1,10:56.0,Z. Pachulia misses 2-pt jump shot from 10 ft,,0,0
9,1,10:55.0,,Defensive rebound by J. Johnson,0,0
10,1,10:44.0,,J. Johnson misses 2-pt jump shot from 5 ft,0,0
11,1,10:43.0,,Offensive rebound by J. Johnson,0,0
12,1,10:33.0,,T. Young makes 2-pt hook shot from 8 ft,0,2
13,1,10:20.0,Turnover by M. Carter-Williams (bad pass; steal by J. Johnson),,0,2
14,1,10:15.0,,D. Williams makes 2-pt layup from 1 ft,0,4
15,1,9:59.0,E. İlyasova makes 2-pt jump shot from 15 ft (assist by K. Middleton),,2,4
16,1,9:43.0,,B. Lopez makes 2-pt jump shot from 6 ft (assist by J. Johnson),2,6
17,1,9:30.0,Shooting foul by M. Brown (drawn by Z. Pachulia),,2,6
18,1,9:30.0,Z. Pachulia makes free throw 1 of 2,,3,6
19,1,9:30.0,Z. Pachulia makes free throw 2 of 2,,4,6
20,1,9:21.0,,Personal foul by E. İlyasova (drawn by T. Young),4,6
21,1,9:13.0,,B. Lopez misses 2-pt hook shot from 5 ft,4,6
22,1,9:11.0,Defensive rebound by E. İlyasova,,4,6
23,1,9:01.0,Z. Pachulia makes 2-pt jump shot from 13 ft (assist by M. Carter-Williams),,6,6
24,1,8:48.0,,M. Brown misses 3-pt jump shot from 22 ft,6,6
25,1,8:46.0,,Offensive rebound by D. Williams,6,6
26,1,8:39.0,,T. Young makes 3-pt jump shot from 23 ft (assist by D. Williams),6,9
27,1,8:21.0,E. İlyasova makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),,9,9
28,1,8:10.0,,B. Lopez makes 2-pt jump shot from 4 ft (assist by D. Williams),9,11
29,1,8:05.0,Shooting foul by M. Brown (drawn by K. Middleton),,9,11
30,1,8:05.0,K. Middleton makes free throw 1 of 2,,10,11
31,1,8:05.0,,B. Bogdanović enters the game for M. Brown,10,11
32,1,8:05.0,K. Middleton makes free throw 2 of 2,,11,11
33,1,7:41.0,,T. Young misses 3-pt jump shot from 24 ft,11,11
34,1,7:40.0,Defensive rebound by G. Antetokounmpo,,11,11
35,1,7:36.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),,13,11
36,1,7:36.0,Shooting foul by J. Johnson (drawn by G. Antetokounmpo),,13,11
37,1,7:36.0,G. Antetokounmpo makes free throw 1 of 1,,14,11
38,1,7:27.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Williams),14,13
39,1,7:14.0,M. Carter-Williams makes 2-pt jump shot from 14 ft,,16,13
40,1,6:50.0,,D. Williams misses 2-pt jump shot from 17 ft,16,13
41,1,6:48.0,,Offensive rebound by Team,16,13
42,1,6:45.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by J. Johnson),16,15
43,1,6:32.0,Turnover by M. Carter-Williams (bad pass; steal by B. Bogdanović),,16,15
44,1,6:29.0,,B. Bogdanović misses 2-pt layup from 2 ft,16,15
45,1,6:27.0,Defensive rebound by E. İlyasova,,16,15
46,1,6:16.0,G. Antetokounmpo misses 2-pt jump shot from 17 ft,,16,15
47,1,6:15.0,Offensive rebound by Z. Pachulia,,16,15
48,1,6:11.0,E. İlyasova makes 2-pt layup from 2 ft (assist by Z. Pachulia),,18,15
49,1,5:59.0,,B. Lopez misses 2-pt jump shot from 7 ft,18,15
50,1,5:58.0,Defensive rebound by K. Middleton,,18,15
51,1,5:51.0,Personal foul by D. Williams (drawn by E. İlyasova),,18,15
52,1,5:51.0,,Brooklyn full timeout,18,15
53,1,5:44.0,E. İlyasova misses 2-pt layup from 2 ft,,18,15
