,QUARTER,TIME_REMAINING,BOSTON_ACTION,CLEVELAND_ACTION,BOSTON_SCORE,CLEVELAND_SCORE
0,1,11:41.0,,K. Love misses 2-pt jump shot from 12 ft,0,0
1,1,11:38.0,,Offensive rebound by J. Smith,0,0
2,1,11:34.0,,J. Smith misses 3-pt jump shot from 23 ft,0,0
3,1,11:33.0,Defensive rebound by M. Smart,,0,0
4,1,11:24.0,Shooting foul by T. Mozgov (drawn by B. Bass),,0,0
5,1,11:24.0,B. Bass makes free throw 1 of 2,,1,0
6,1,11:24.0,B. Bass makes free throw 2 of 2,,2,0
7,1,11:08.0,,Shooting foul by T. Zeller (drawn by L. James),2,0
8,1,11:08.0,,L. James misses free throw 1 of 2,2,0
9,1,11:08.0,,Offensive rebound by Team,2,0
10,1,11:08.0,,L. James makes free throw 2 of 2,2,1
11,1,11:02.0,Personal foul by J. Smith (drawn by A. Bradley),,2,1
12,1,10:46.0,E. Turner misses 2-pt jump shot from 19 ft,,2,1
13,1,10:45.0,,Defensive rebound by L. James,2,1
14,1,10:39.0,,L. James makes 2-pt layup at rim,2,3
15,1,10:23.0,Personal foul by L. James (drawn by E. Turner),,2,3
16,1,10:08.0,T. Zeller makes 2-pt jump shot from 12 ft (assist by A. Bradley),,4,3
17,1,9:49.0,,K. Irving makes 2-pt layup at rim (assist by L. James),4,5
18,1,9:40.0,T. Zeller makes 2-pt jump shot from 6 ft (assist by B. Bass),,6,5
19,1,9:19.0,,J. Smith misses 2-pt jump shot from 6 ft,6,5
20,1,9:16.0,Defensive rebound by B. Bass,,6,5
21,1,9:07.0,A. Bradley misses 3-pt jump shot from 26 ft,,6,5
22,1,9:06.0,,Defensive rebound by T. Mozgov,6,5
23,1,8:50.0,,K. Irving makes 2-pt jump shot from 11 ft,6,7
24,1,8:36.0,T. Zeller misses 2-pt jump shot from 15 ft,,6,7
25,1,8:35.0,,Defensive rebound by K. Love,6,7
26,1,8:19.0,,K. Love misses 3-pt jump shot from 26 ft,6,7
27,1,8:18.0,Defensive rebound by T. Zeller,,6,7
28,1,8:06.0,T. Zeller makes 2-pt layup at rim (assist by E. Turner),,8,7
29,1,7:53.0,,Personal foul by M. Smart (drawn by K. Irving),8,7
30,1,7:45.0,,J. Smith misses 3-pt jump shot from 26 ft,8,7
31,1,7:44.0,Defensive rebound by E. Turner,,8,7
32,1,7:34.0,Turnover by E. Turner (bad pass; steal by L. James),,8,7
33,1,7:33.0,,Personal foul by A. Bradley (drawn by L. James),8,7
34,1,7:12.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),8,10
35,1,7:00.0,Personal foul by K. Love (drawn by T. Zeller),,8,10
36,1,6:52.0,E. Turner misses 2-pt jump shot from 15 ft,,8,10
37,1,6:49.0,,Defensive rebound by J. Smith,8,10
38,1,6:45.0,,J. Smith misses 3-pt jump shot from 25 ft,8,10
39,1,6:45.0,,Offensive rebound by Team,8,10
40,1,6:45.0,Loose ball foul by E. Turner (drawn by T. Mozgov),,8,10
41,1,6:45.0,I. Thomas enters the game for M. Smart,,8,10
42,1,6:45.0,,I. Shumpert enters the game for L. James,8,10
43,1,6:37.0,,Shooting foul by T. Zeller (drawn by J. Smith),8,10
44,1,6:37.0,,J. Smith misses free throw 1 of 2,8,10
45,1,6:37.0,,Offensive rebound by Team,8,10
46,1,6:37.0,K. Olynyk enters the game for T. Zeller,,8,10
47,1,6:37.0,,T. Thompson enters the game for T. Mozgov,8,10
48,1,6:37.0,,J. Smith makes free throw 2 of 2,8,11
49,1,6:17.0,E. Turner makes 3-pt jump shot from 24 ft (assist by I. Thomas),,11,11
50,1,5:59.0,,Shooting foul by K. Olynyk (drawn by T. Thompson),11,11
51,1,5:59.0,,Cleveland full timeout,11,11
52,1,5:59.0,,T. Thompson makes free throw 1 of 2,11,12
53,1,5:59.0,,T. Thompson makes free throw 2 of 2,11,13
54,1,5:44.0,B. Bass misses 2-pt jump shot from 12 ft,,11,13
55,1,5:44.0,Offensive rebound by Team,,11,13
56,1,5:40.0,K. Olynyk makes 2-pt layup from 1 ft (assist by E. Turner),,13,13
57,1,5:20.0,,T. Thompson misses 2-pt jump shot from 5 ft,13,13
58,1,5:19.0,Defensive rebound by E. Turner,,13,13
59,1,5:12.0,K. Olynyk makes 3-pt jump shot from 23 ft (assist by B. Bass),,16,13
60,1,4:51.0,,J. Smith makes 2-pt jump shot from 19 ft (assist by K. Irving),16,15
61,1,4:37.0,E. Turner makes 2-pt layup at rim,,18,15
62,1,4:28.0,,K. Irving makes 2-pt layup from 1 ft,18,17
63,1,4:23.0,Personal foul by I. Shumpert (drawn by I. Thomas),,18,17
64,1,4:23.0,I. Thomas makes free throw 1 of 2,,19,17
65,1,4:23.0,J. Crowder enters the game for B. Bass,,19,17
66,1,4:23.0,,J. Jones enters the game for K. Love,19,17
67,1,4:23.0,I. Thomas makes free throw 2 of 2,,20,17
