,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MEMPHIS_ACTION,CLEVELAND_SCORE,MEMPHIS_SCORE
0,1,11:43.0,Turnover by K. Irving (lost ball),,0,0
1,1,11:24.0,,Z. Randolph makes 2-pt jump shot from 17 ft,0,2
2,1,11:02.0,J. Smith misses 3-pt jump shot from 26 ft,,0,2
3,1,11:01.0,,Defensive rebound by T. Allen,0,2
4,1,10:49.0,,M. Gasol misses 2-pt hook shot from 7 ft,0,2
5,1,10:46.0,Defensive rebound by K. Love,,0,2
6,1,10:36.0,K. Love makes 2-pt jump shot from 19 ft (assist by J. Smith),,2,2
7,1,10:18.0,,Turnover by M. Conley (bad pass; steal by J. Smith),2,2
8,1,9:59.0,Turnover by K. Love (bad pass; steal by M. Gasol),,2,2
9,1,9:54.0,,T. Allen makes 2-pt layup from 1 ft (assist by M. Conley),2,4
10,1,9:37.0,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),,5,4
11,1,9:23.0,,M. Gasol misses 2-pt layup from 2 ft,5,4
12,1,9:20.0,Defensive rebound by T. Mozgov,,5,4
13,1,9:16.0,K. Irving misses 2-pt jump shot from 14 ft,,5,4
14,1,9:14.0,,Defensive rebound by Z. Randolph,5,4
15,1,8:50.0,,M. Conley misses 2-pt jump shot from 18 ft,5,4
16,1,8:49.0,Defensive rebound by L. James,,5,4
17,1,8:43.0,K. Love misses 2-pt layup from 1 ft (block by M. Gasol),,5,4
18,1,8:40.0,,Defensive rebound by C. Lee,5,4
19,1,8:36.0,,Shooting foul by K. Irving (drawn by M. Gasol),5,4
20,1,8:36.0,,M. Gasol makes free throw 1 of 2,5,5
21,1,8:36.0,,M. Gasol misses free throw 2 of 2,5,5
22,1,8:36.0,Defensive rebound by J. Smith,,5,5
23,1,8:24.0,Turnover by T. Mozgov (bad pass; steal by T. Allen),,5,5
24,1,8:18.0,,T. Allen misses 2-pt layup from 1 ft (block by K. Love),5,5
25,1,8:14.0,,Offensive rebound by M. Gasol,5,5
26,1,8:14.0,,M. Gasol makes 2-pt layup at rim,5,7
27,1,7:48.0,L. James misses 2-pt jump shot from 11 ft,,5,7
28,1,7:46.0,,Defensive rebound by Z. Randolph,5,7
29,1,7:40.0,,Turnover by T. Allen (lost ball; steal by K. Irving),5,7
30,1,7:36.0,K. Irving makes 2-pt layup at rim (assist by L. James),,7,7
31,1,7:21.0,,Z. Randolph misses 2-pt jump shot from 17 ft,7,7
32,1,7:20.0,Defensive rebound by L. James,,7,7
33,1,7:12.0,L. James misses 2-pt layup from 1 ft,,7,7
34,1,7:10.0,Offensive rebound by T. Mozgov,,7,7
35,1,7:06.0,L. James makes 2-pt layup from 1 ft (assist by T. Mozgov),,9,7
36,1,6:45.0,,M. Gasol makes 2-pt layup at rim,9,9
37,1,6:27.0,Shooting foul by M. Conley (drawn by K. Irving),,9,9
38,1,6:27.0,K. Irving makes free throw 1 of 2,,10,9
39,1,6:27.0,K. Irving makes free throw 2 of 2,,11,9
40,1,6:17.0,,M. Gasol makes 2-pt jump shot from 12 ft (assist by M. Conley),11,11
41,1,5:59.0,K. Love misses 3-pt jump shot from 24 ft,,11,11
42,1,5:58.0,,Defensive rebound by T. Allen,11,11
43,1,5:55.0,,Turnover by T. Allen (bad pass),11,11
44,1,5:55.0,,Memphis full timeout,11,11
45,1,5:41.0,T. Mozgov makes 2-pt layup at rim (assist by K. Love),,13,11
46,1,5:16.0,,Turnover by M. Conley (bad pass; steal by K. Love),13,11
47,1,5:14.0,Turnover by K. Love (bad pass),,13,11
48,1,4:56.0,,M. Gasol misses 2-pt jump shot from 17 ft,13,11
49,1,4:56.0,Defensive rebound by Team,,13,11
50,1,4:43.0,K. Irving misses 2-pt layup from 1 ft (block by M. Conley),,13,11
51,1,4:40.0,Offensive rebound by T. Mozgov,,13,11
52,1,4:37.0,L. James makes 2-pt dunk at rim (assist by T. Mozgov),,15,11
53,1,4:22.0,,M. Gasol misses 2-pt jump shot from 4 ft,15,11
54,1,4:21.0,,Offensive rebound by T. Allen,15,11
55,1,4:19.0,,T. Allen misses 2-pt layup from 1 ft (block by K. Love),15,11
56,1,4:17.0,Defensive rebound by L. James,,15,11
57,1,4:15.0,Shooting foul by T. Allen (drawn by L. James),,15,11
58,1,4:15.0,L. James makes free throw 1 of 2,,16,11
59,1,4:15.0,,J. Green enters the game for C. Lee,16,11
60,1,4:15.0,K. Perkins enters the game for T. Mozgov,,16,11
61,1,4:15.0,L. James misses free throw 2 of 2,,16,11
62,1,4:14.0,,Defensive rebound by Team,16,11
63,1,4:14.0,Loose ball foul by L. James (drawn by M. Gasol),,16,11
64,1,4:14.0,I. Shumpert enters the game for L. James,,16,11
65,1,4:14.0,,V. Carter enters the game for T. Allen,16,11
66,1,4:04.0,,V. Carter misses 2-pt jump shot from 21 ft,16,11
67,1,4:02.0,,Offensive rebound by J. Green,16,11
68,1,3:50.0,,J. Green makes 2-pt jump shot from 12 ft (assist by M. Conley),16,13
69,1,3:32.0,J. Smith misses 3-pt jump shot from 27 ft,,16,13
70,1,3:30.0,,Defensive rebound by J. Green,16,13
71,1,3:16.0,,Z. Randolph misses 2-pt layup at rim,16,13
72,1,3:15.0,Defensive rebound by I. Shumpert,,16,13
73,1,3:05.0,K. Irving misses 2-pt layup from 2 ft (block by V. Carter),,16,13
74,1,3:02.0,,Defensive rebound by M. Conley,16,13
75,1,2:52.0,,Z. Randolph makes 2-pt jump shot from 6 ft,16,15
76,1,2:35.0,Personal foul by J. Green (drawn by J. Smith),,16,15
77,1,2:35.0,Cleveland full timeout,,16,15
78,1,2:35.0,,K. Koufos enters the game for M. Gasol,16,15
79,1,2:26.0,K. Love makes 2-pt dunk at rim (assist by I. Shumpert),,18,15
80,1,2:11.0,,J. Green misses 2-pt layup from 1 ft (block by I. Shumpert),18,15
81,1,2:09.0,Defensive rebound by K. Love,,18,15
82,1,1:59.0,I. Shumpert misses 2-pt jump shot from 18 ft,,18,15
83,1,1:57.0,,Defensive rebound by J. Green,18,15
84,1,1:40.0,,J. Green misses 3-pt jump shot from 22 ft,18,15
85,1,1:39.0,Defensive rebound by K. Love,,18,15
86,1,1:28.0,K. Irving makes 2-pt layup at rim,,20,15
87,1,1:13.0,,M. Conley makes 2-pt jump shot from 7 ft,20,17
88,1,1:00.0,K. Irving misses 3-pt jump shot from 26 ft,,20,17
89,1,0:59.0,,Defensive rebound by K. Koufos,20,17
90,1,0:54.0,,J. Green makes 2-pt dunk at rim (assist by M. Conley),20,19
91,1,0:34.0,K. Irving makes 2-pt jump shot from 20 ft,,22,19
92,1,0:25.0,,Turnover by M. Conley (bad pass; steal by J. Smith),22,19
93,1,0:03.0,K. Irving misses 2-pt layup from 1 ft,,22,19
94,1,0:02.0,,Defensive rebound by Z. Randolph,22,19
95,1,0:00.0,,Z. Randolph misses 3-pt jump shot from 55 ft,22,19
96,1,0:00.0,,Offensive rebound by Team,22,19
97,2,11:37.0,,Shooting foul by L. James (drawn by J. Green),22,19
98,2,11:37.0,,J. Green makes free throw 1 of 2,22,20
99,2,11:37.0,,J. Green misses free throw 2 of 2,22,20
100,2,11:37.0,Defensive rebound by T. Thompson,,22,20
101,2,11:25.0,T. Mozgov misses 2-pt jump shot from 18 ft,,22,20
102,2,11:25.0,Offensive rebound by Team,,22,20
103,2,11:25.0,,Loose ball foul by V. Carter (drawn by T. Thompson),22,20
104,2,11:12.0,I. Shumpert makes 2-pt jump shot from 15 ft,,24,20
105,2,10:55.0,,B. Udrih makes 2-pt jump shot from 17 ft (assist by N. Calathes),24,22
106,2,10:44.0,Shooting foul by J. Green (drawn by L. James),,24,22
107,2,10:44.0,L. James makes free throw 1 of 2,,25,22
