,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHOENIX_ACTION,SACRAMENTO_SCORE,PHOENIX_SCORE
0,1,11:39.0,,M. Morris makes 2-pt jump shot from 9 ft,0,2
1,1,11:25.0,D. Cousins misses 2-pt jump shot from 13 ft,,0,2
2,1,11:22.0,,Defensive rebound by P. Tucker,0,2
3,1,11:19.0,,Offensive foul by M. Morris (drawn by O. Casspi),0,2
4,1,11:19.0,,Turnover by M. Morris (offensive foul),0,2
5,1,11:07.0,Shooting foul by M. Morris (drawn by R. Gay),,0,2
6,1,11:07.0,,Technical foul by Team,0,2
7,1,11:07.0,R. Gay makes technical free throw,,1,2
8,1,11:07.0,R. Gay makes free throw 1 of 2,,2,2
9,1,11:07.0,R. Gay makes free throw 2 of 2,,3,2
10,1,10:51.0,,P. Tucker misses 2-pt hook shot from 6 ft,3,2
11,1,10:47.0,,Offensive rebound by A. Len,3,2
12,1,10:47.0,,A. Len misses 2-pt dunk at rim,3,2
13,1,10:46.0,,Offensive rebound by A. Len,3,2
14,1,10:45.0,,Turnover by A. Len (lost ball; steal by R. McCallum),3,2
15,1,10:38.0,B. McLemore misses 3-pt jump shot from 25 ft,,3,2
16,1,10:35.0,,Defensive rebound by P. Tucker,3,2
17,1,10:30.0,,Turnover by E. Bledsoe (lost ball; steal by B. McLemore),3,2
18,1,10:18.0,D. Cousins makes 2-pt jump shot from 19 ft (assist by O. Casspi),,5,2
19,1,10:01.0,,Shooting foul by R. Gay (drawn by M. Morris),5,2
20,1,10:01.0,,M. Morris misses free throw 1 of 2,5,2
21,1,10:01.0,,Offensive rebound by Team,5,2
22,1,10:01.0,,M. Morris makes free throw 2 of 2,5,3
23,1,9:44.0,D. Cousins misses 2-pt layup from 1 ft (block by A. Len),,5,3
24,1,9:42.0,,Defensive rebound by E. Bledsoe,5,3
25,1,9:35.0,,M. Morris makes 3-pt jump shot from 22 ft (assist by E. Bledsoe),5,6
26,1,9:24.0,O. Casspi misses 2-pt jump shot from 4 ft,,5,6
27,1,9:22.0,,Defensive rebound by E. Bledsoe,5,6
28,1,9:18.0,,Turnover by E. Bledsoe (bad pass),5,6
29,1,9:08.0,R. McCallum misses 2-pt jump shot from 3 ft,,5,6
30,1,9:06.0,Offensive rebound by R. McCallum,,5,6
31,1,9:06.0,R. McCallum makes 2-pt layup at rim,,7,6
32,1,8:56.0,,E. Bledsoe makes 2-pt layup from 2 ft,7,8
33,1,8:56.0,,Shooting foul by D. Cousins (drawn by E. Bledsoe),7,8
34,1,8:56.0,,E. Bledsoe misses free throw 1 of 1,7,8
35,1,8:55.0,Defensive rebound by R. Gay,,7,8
36,1,8:48.0,R. McCallum makes 2-pt layup from 1 ft (assist by R. Gay),,9,8
37,1,8:38.0,,E. Bledsoe makes 2-pt jump shot from 22 ft,9,10
38,1,8:26.0,R. McCallum misses 2-pt jump shot from 16 ft,,9,10
39,1,8:24.0,,Defensive rebound by M. Morris,9,10
40,1,8:19.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,9,10
41,1,8:16.0,Defensive rebound by R. McCallum,,9,10
42,1,8:14.0,O. Casspi makes 2-pt dunk at rim (assist by R. McCallum),,11,10
43,1,7:56.0,,Shooting foul by R. Gay (drawn by A. Len),11,10
44,1,7:56.0,,A. Len makes free throw 1 of 2,11,11
45,1,7:56.0,D. Williams enters the game for R. Gay,,11,11
46,1,7:56.0,,A. Goodwin enters the game for E. Bledsoe,11,11
47,1,7:56.0,,A. Len makes free throw 2 of 2,11,12
48,1,7:34.0,D. Williams misses 3-pt jump shot from 24 ft,,11,12
