,QUARTER,TIME_REMAINING,ORLANDO_ACTION,BROOKLYN_ACTION,ORLANDO_SCORE,BROOKLYN_SCORE
0,1,11:46.0,A. Nicholson makes 2-pt layup from 1 ft (assist by N. Vučević),,2,0
1,1,11:36.0,,Personal foul by A. Gordon (drawn by D. Williams),2,0
2,1,11:22.0,,M. Brown misses 2-pt jump shot from 12 ft,2,0
3,1,11:21.0,Defensive rebound by A. Gordon,,2,0
4,1,11:08.0,A. Nicholson makes 2-pt hook shot from 10 ft,,4,0
5,1,10:44.0,,B. Lopez misses 2-pt hook shot from 10 ft,4,0
6,1,10:43.0,Defensive rebound by A. Nicholson,,4,0
7,1,10:31.0,V. Oladipo misses 3-pt jump shot from 26 ft,,4,0
8,1,10:30.0,,Defensive rebound by D. Williams,4,0
9,1,10:22.0,,T. Young misses 2-pt layup from 1 ft,4,0
10,1,10:21.0,,Offensive rebound by Team,4,0
11,1,10:08.0,,D. Williams makes 2-pt jump shot from 13 ft,4,2
12,1,9:45.0,V. Oladipo makes 3-pt jump shot from 25 ft (assist by N. Vučević),,7,2
13,1,9:39.0,,Turnover by T. Young (bad pass; steal by E. Payton),7,2
14,1,9:38.0,Shooting foul by D. Williams (drawn by E. Payton),,7,2
15,1,9:38.0,E. Payton misses free throw 1 of 2,,7,2
16,1,9:38.0,Offensive rebound by Team,,7,2
17,1,9:38.0,E. Payton misses free throw 2 of 2,,7,2
18,1,9:37.0,,Defensive rebound by J. Johnson,7,2
19,1,9:26.0,,B. Lopez misses 2-pt jump shot from 9 ft,7,2
20,1,9:25.0,Defensive rebound by N. Vučević,,7,2
21,1,9:11.0,V. Oladipo misses 3-pt jump shot from 25 ft,,7,2
22,1,9:10.0,,Defensive rebound by D. Williams,7,2
23,1,9:03.0,,B. Lopez makes 2-pt layup from 2 ft (assist by T. Young),7,4
24,1,8:49.0,Turnover by V. Oladipo (bad pass; steal by B. Lopez),,7,4
25,1,8:36.0,,J. Johnson makes 2-pt jump shot from 6 ft,7,6
26,1,8:18.0,A. Nicholson makes 2-pt jump shot from 18 ft (assist by V. Oladipo),,9,6
27,1,8:08.0,,D. Williams misses 2-pt layup at rim (block by N. Vučević),9,6
28,1,8:07.0,,Offensive rebound by B. Lopez,9,6
29,1,8:02.0,,T. Young misses 2-pt layup from 2 ft,9,6
30,1,8:01.0,Defensive rebound by N. Vučević,,9,6
31,1,7:48.0,E. Payton makes 2-pt layup from 1 ft,,11,6
32,1,7:36.0,,T. Young misses 2-pt layup from 2 ft (block by A. Nicholson),11,6
33,1,7:34.0,Defensive rebound by E. Payton,,11,6
34,1,7:20.0,Turnover by V. Oladipo (bad pass; steal by M. Brown),,11,6
35,1,7:17.0,,M. Brown makes 2-pt dunk at rim (assist by T. Young),11,8
36,1,6:58.0,A. Nicholson makes 2-pt jump shot from 18 ft (assist by V. Oladipo),,13,8
37,1,6:33.0,,Shooting foul by E. Payton (drawn by D. Williams),13,8
38,1,6:33.0,,D. Williams makes free throw 1 of 2,13,9
39,1,6:33.0,,D. Williams makes free throw 2 of 2,13,10
40,1,6:17.0,A. Gordon misses 2-pt jump shot from 20 ft,,13,10
41,1,6:16.0,Offensive rebound by A. Nicholson,,13,10
42,1,6:15.0,A. Nicholson misses 2-pt tip-in from 2 ft,,13,10
43,1,6:14.0,Offensive rebound by A. Nicholson,,13,10
44,1,5:57.0,A. Gordon makes 3-pt jump shot from 24 ft (assist by N. Vučević),,16,10
45,1,5:42.0,,J. Johnson misses 2-pt jump shot from 21 ft,16,10
46,1,5:41.0,Defensive rebound by A. Nicholson,,16,10
47,1,5:34.0,V. Oladipo makes 2-pt layup from 1 ft (assist by E. Payton),,18,10
48,1,5:32.0,,Brooklyn full timeout,18,10
49,1,5:14.0,,B. Lopez makes 2-pt hook shot from 11 ft,18,12
50,1,4:52.0,N. Vučević makes 2-pt hook shot from 9 ft,,20,12
51,1,4:33.0,,D. Williams misses 3-pt jump shot from 25 ft,20,12
52,1,4:32.0,Defensive rebound by A. Gordon,,20,12
53,1,4:23.0,N. Vučević misses 2-pt jump shot from 17 ft,,20,12
54,1,4:22.0,,Defensive rebound by T. Young,20,12
55,1,4:00.0,,J. Johnson makes 3-pt jump shot from 27 ft (assist by D. Williams),20,15
56,1,3:39.0,A. Gordon misses 2-pt layup from 3 ft (block by B. Lopez),,20,15
57,1,3:37.0,Offensive rebound by A. Gordon,,20,15
58,1,3:33.0,N. Vučević makes 2-pt jump shot from 21 ft (assist by E. Payton),,22,15
59,1,3:22.0,,Turnover by B. Lopez (traveling),22,15
60,1,3:15.0,V. Oladipo makes 2-pt dunk at rim (assist by E. Payton),,24,15
61,1,3:00.0,,Turnover by D. Williams (bad pass; steal by N. Vučević),24,15
62,1,2:56.0,Turnover by V. Oladipo (bad pass),,24,15
63,1,2:56.0,Orlando full timeout,,24,15
64,1,2:56.0,,B. Bogdanović enters the game for M. Brown,24,15
65,1,2:42.0,,B. Lopez makes 2-pt layup from 1 ft (assist by J. Johnson),24,17
66,1,2:42.0,,Shooting foul by A. Nicholson (drawn by B. Lopez),24,17
67,1,2:42.0,,B. Lopez makes free throw 1 of 1,24,18
68,1,2:28.0,Turnover by N. Vučević (lost ball; steal by B. Lopez),,24,18
69,1,2:25.0,,Shooting foul by A. Nicholson (drawn by T. Young),24,18
70,1,2:25.0,,T. Young misses free throw 1 of 2,24,18
71,1,2:25.0,,Offensive rebound by Team,24,18
72,1,2:25.0,,T. Young makes free throw 2 of 2,24,19
73,1,2:12.0,N. Vučević makes 2-pt jump shot from 19 ft (assist by A. Nicholson),,26,19
74,1,1:57.0,,J. Johnson misses 2-pt jump shot from 18 ft,26,19
75,1,1:56.0,Defensive rebound by V. Oladipo,,26,19
76,1,1:41.0,A. Nicholson misses 3-pt jump shot from 23 ft,,26,19
77,1,1:40.0,,Defensive rebound by B. Bogdanović,26,19
78,1,1:23.0,,T. Young makes 2-pt jump shot from 10 ft,26,21
79,1,1:11.0,Turnover by E. Payton (bad pass; steal by T. Young),,26,21
80,1,1:05.0,,T. Young makes 2-pt layup from 1 ft (assist by J. Johnson),26,23
81,1,0:46.0,Turnover by E. Payton (discontinued dribble),,26,23
82,1,0:46.0,,J. Jack enters the game for D. Williams,26,23
83,1,0:46.0,D. Dedmon enters the game for A. Nicholson,,26,23
84,1,0:36.0,,J. Johnson misses 2-pt jump shot from 11 ft,26,23
85,1,0:35.0,Defensive rebound by D. Dedmon,,26,23
86,1,0:20.0,N. Vučević makes 2-pt jump shot from 20 ft (assist by V. Oladipo),,28,23
87,1,0:07.0,Offensive charge foul by B. Lopez (drawn by A. Gordon),,28,23
88,1,0:07.0,,Turnover by B. Lopez (offensive foul),28,23
89,1,0:07.0,W. Green enters the game for D. Dedmon,,28,23
90,1,0:04.0,Personal foul by B. Bogdanović (drawn by V. Oladipo),,28,23
91,1,0:02.0,V. Oladipo misses 2-pt jump shot from 23 ft,,28,23
92,1,0:00.0,,Defensive rebound by T. Young,28,23
93,2,11:50.0,,Personal foul by D. Dedmon (drawn by M. Plumlee),28,23
94,2,11:37.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by J. Johnson),28,26
95,2,11:10.0,W. Green misses 2-pt jump shot from 20 ft,,28,26
96,2,11:09.0,,Defensive rebound by J. Jack,28,26
97,2,11:03.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,28,26
98,2,11:02.0,Defensive rebound by D. Dedmon,,28,26
99,2,10:50.0,A. Gordon misses 2-pt jump shot from 22 ft,,28,26
100,2,10:49.0,,Defensive rebound by C. Jefferson,28,26
101,2,10:34.0,,Turnover by M. Plumlee (bad pass; steal by E. Payton),28,26
102,2,10:25.0,E. Payton misses 2-pt jump shot from 3 ft,,28,26
103,2,10:24.0,Offensive rebound by A. Gordon,,28,26
104,2,10:23.0,A. Gordon misses 2-pt layup from 1 ft,,28,26
105,2,10:22.0,Offensive rebound by A. Gordon,,28,26
106,2,10:21.0,A. Gordon misses 2-pt tip-in from 2 ft,,28,26
107,2,10:20.0,,Defensive rebound by J. Johnson,28,26
108,2,10:01.0,,C. Jefferson makes 2-pt jump shot from 16 ft (assist by J. Jack),28,28
109,2,9:45.0,A. Gordon misses 2-pt jump shot from 21 ft,,28,28
110,2,9:44.0,,Defensive rebound by M. Plumlee,28,28
111,2,9:26.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,28,28
112,2,9:25.0,,Offensive rebound by Team,28,28
113,2,9:25.0,Loose ball foul by W. Green (drawn by J. Johnson),,28,28
114,2,9:25.0,K. O'Quinn enters the game for A. Gordon,,28,28
115,2,9:05.0,,J. Johnson misses 3-pt jump shot from 25 ft,28,28
116,2,9:04.0,Defensive rebound by K. O'Quinn,,28,28
