,QUARTER,TIME_REMAINING,INDIANA_ACTION,HOUSTON_ACTION,INDIANA_SCORE,HOUSTON_SCORE
0,1,11:39.0,,P. Beverley makes 3-pt jump shot from 26 ft (assist by J. Harden),0,3
1,1,11:16.0,D. West misses 2-pt jump shot from 22 ft,,0,3
2,1,11:14.0,,Defensive rebound by D. Howard,0,3
3,1,11:05.0,,Turnover by D. Motiejūnas (traveling),0,3
4,1,10:52.0,R. Stuckey misses 3-pt jump shot from 24 ft,,0,3
5,1,10:51.0,,Defensive rebound by D. Motiejūnas,0,3
6,1,10:42.0,,Turnover by P. Beverley (bad pass),0,3
7,1,10:22.0,R. Hibbert misses 2-pt hook shot from 10 ft,,0,3
8,1,10:21.0,,Defensive rebound by D. Howard,0,3
9,1,10:06.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by D. Motiejūnas),0,6
10,1,9:50.0,Shooting foul by P. Beverley (drawn by C. Watson),,0,6
11,1,9:50.0,C. Watson makes free throw 1 of 2,,1,6
12,1,9:50.0,C. Watson makes free throw 2 of 2,,2,6
13,1,9:36.0,,T. Ariza misses 3-pt jump shot from 25 ft,2,6
14,1,9:35.0,,Offensive rebound by T. Ariza,2,6
15,1,9:26.0,,P. Beverley makes 3-pt jump shot from 24 ft,2,9
16,1,9:04.0,Turnover by R. Stuckey (bad pass; steal by T. Ariza),,2,9
17,1,8:58.0,,T. Ariza makes 2-pt dunk at rim (assist by D. Motiejūnas),2,11
18,1,8:58.0,Indiana full timeout,,2,11
19,1,8:40.0,D. West makes 2-pt jump shot from 16 ft,,4,11
20,1,8:21.0,,D. Motiejūnas misses 3-pt jump shot from 23 ft,4,11
21,1,8:20.0,Defensive rebound by S. Hill,,4,11
22,1,7:57.0,S. Hill misses 3-pt jump shot from 25 ft,,4,11
23,1,7:56.0,,Defensive rebound by D. Howard,4,11
24,1,7:52.0,,D. Motiejūnas makes 2-pt dunk at rim (assist by T. Ariza),4,13
25,1,7:34.0,S. Hill misses 3-pt jump shot from 24 ft,,4,13
26,1,7:33.0,,Defensive rebound by D. Howard,4,13
27,1,7:22.0,,D. Howard makes 2-pt dunk at rim (assist by J. Harden),4,15
28,1,6:56.0,C. Watson misses 3-pt jump shot from 24 ft,,4,15
29,1,6:55.0,,Defensive rebound by D. Howard,4,15
30,1,6:50.0,,J. Harden makes 2-pt layup at rim,4,17
31,1,6:49.0,Indiana full timeout,,4,17
32,1,6:49.0,C. Miles enters the game for R. Stuckey,,4,17
33,1,6:36.0,D. West misses 2-pt jump shot from 12 ft,,4,17
34,1,6:35.0,,Defensive rebound by D. Howard,4,17
35,1,6:32.0,,Turnover by D. Howard (bad pass; steal by S. Hill),4,17
36,1,6:20.0,D. West makes 2-pt jump shot from 14 ft,,6,17
37,1,6:05.0,,J. Harden misses 3-pt jump shot from 26 ft,6,17
38,1,6:03.0,Defensive rebound by C. Miles,,6,17
39,1,5:50.0,R. Hibbert makes 2-pt hook shot from 5 ft,,8,17
40,1,5:33.0,,Shooting foul by R. Hibbert (drawn by D. Howard),8,17
41,1,5:33.0,,D. Howard makes free throw 1 of 2,8,18
42,1,5:33.0,,J. Smith enters the game for D. Motiejūnas,8,18
43,1,5:33.0,,D. Howard makes free throw 2 of 2,8,19
44,1,5:22.0,Personal foul by T. Ariza (drawn by C. Miles),,8,19
45,1,5:08.0,C. Watson misses 3-pt jump shot from 23 ft,,8,19
46,1,5:07.0,Offensive rebound by R. Hibbert,,8,19
47,1,5:05.0,R. Hibbert makes 2-pt hook shot from 2 ft,,10,19
48,1,4:54.0,,J. Smith misses 2-pt hook shot from 4 ft,10,19
49,1,4:53.0,Defensive rebound by D. West,,10,19
50,1,4:43.0,C. Miles makes 2-pt jump shot from 19 ft (assist by C. Watson),,12,19
51,1,4:23.0,,J. Harden makes 3-pt jump shot from 26 ft (assist by D. Howard),12,22
52,1,4:05.0,C. Miles makes 3-pt jump shot from 24 ft (assist by S. Hill),,15,22
53,1,3:55.0,,D. Howard makes 2-pt dunk at rim (assist by J. Harden),15,24
54,1,3:55.0,,Shooting foul by S. Hill (drawn by D. Howard),15,24
55,1,3:55.0,,D. Howard makes free throw 1 of 1,15,25
56,1,3:36.0,R. Hibbert makes 2-pt hook shot from 10 ft,,17,25
57,1,3:18.0,,D. Howard misses 2-pt jump shot from 3 ft,17,25
58,1,3:17.0,Defensive rebound by D. West,,17,25
59,1,3:06.0,R. Hibbert misses 2-pt jump shot from 17 ft,,17,25
60,1,3:05.0,,Defensive rebound by D. Howard,17,25
61,1,3:03.0,,Turnover by D. Howard (bad pass; steal by C. Watson),17,25
62,1,3:02.0,Turnover by C. Watson (bad pass; steal by P. Beverley),,17,25
