,QUARTER,TIME_REMAINING,INDIANA_ACTION,BROOKLYN_ACTION,INDIANA_SCORE,BROOKLYN_SCORE
0,1,11:43.0,,B. Lopez misses 2-pt hook shot from 5 ft (block by R. Hibbert),0,0
1,1,11:41.0,Defensive rebound by G. Hill,,0,0
2,1,11:28.0,Turnover by D. West (bad pass; steal by M. Brown),,0,0
3,1,11:22.0,,T. Young misses 3-pt jump shot from 24 ft,0,0
4,1,11:21.0,Defensive rebound by G. Hill,,0,0
5,1,11:06.0,R. Hibbert misses 2-pt hook shot from 7 ft,,0,0
6,1,11:05.0,Offensive rebound by D. West,,0,0
7,1,11:04.0,D. West makes 2-pt layup from 1 ft,,2,0
8,1,10:45.0,,M. Brown misses 2-pt jump shot from 17 ft,2,0
9,1,10:44.0,Defensive rebound by Team,,2,0
10,1,10:44.0,,Loose ball foul by B. Lopez (drawn by R. Hibbert),2,0
11,1,10:26.0,Def 3 sec tech foul by B. Lopez,,2,0
12,1,10:26.0,G. Hill makes technical free throw,,3,0
13,1,10:12.0,R. Hibbert makes 2-pt hook shot from 9 ft,,5,0
14,1,9:52.0,,J. Johnson misses 3-pt jump shot from 22 ft,5,0
15,1,9:51.0,Defensive rebound by D. West,,5,0
16,1,9:39.0,R. Hibbert makes 2-pt layup from 2 ft (assist by G. Hill),,7,0
17,1,9:39.0,,Brooklyn full timeout,7,0
18,1,9:39.0,R. Stuckey enters the game for C. Miles,,7,0
19,1,9:22.0,,D. Williams makes 3-pt jump shot from 24 ft (assist by M. Brown),7,3
20,1,9:07.0,R. Stuckey misses 2-pt jump shot from 18 ft,,7,3
21,1,9:06.0,Offensive rebound by R. Hibbert,,7,3
22,1,8:56.0,Turnover by R. Hibbert (3 sec),,7,3
23,1,8:41.0,,B. Lopez misses 2-pt hook shot from 5 ft,7,3
24,1,8:39.0,Defensive rebound by G. Hill,,7,3
25,1,8:24.0,,Offensive charge foul by R. Stuckey (drawn by D. Williams),7,3
26,1,8:24.0,Turnover by R. Stuckey (offensive foul),,7,3
27,1,8:15.0,,Shooting foul by D. West (drawn by B. Lopez),7,3
28,1,8:15.0,,B. Lopez makes free throw 1 of 2,7,4
29,1,8:15.0,,B. Lopez makes free throw 2 of 2,7,5
30,1,7:52.0,R. Hibbert misses 2-pt jump shot from 14 ft,,7,5
31,1,7:51.0,,Defensive rebound by J. Johnson,7,5
32,1,7:38.0,,M. Brown misses 3-pt jump shot from 22 ft,7,5
33,1,7:37.0,Defensive rebound by D. West,,7,5
34,1,7:22.0,G. Hill misses 3-pt jump shot from 23 ft,,7,5
35,1,7:21.0,,Defensive rebound by T. Young,7,5
36,1,7:09.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by D. Williams),7,8
37,1,6:55.0,R. Hibbert misses 2-pt jump shot from 17 ft,,7,8
