,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SAN ANTONIO_ACTION,LA LAKERS_SCORE,SAN ANTONIO_SCORE
0,1,11:34.0,J. Hill misses 2-pt jump shot from 5 ft,,0,0
1,1,11:34.0,Offensive rebound by R. Sacre,,0,0
2,1,11:34.0,Turnover by Team (shot clock),,0,0
3,1,11:21.0,,T. Parker misses 2-pt jump shot from 4 ft,0,0
4,1,11:20.0,Defensive rebound by J. Clarkson,,0,0
5,1,11:03.0,R. Sacre misses 2-pt jump shot from 12 ft,,0,0
6,1,11:02.0,,Defensive rebound by M. Bonner,0,0
7,1,10:53.0,,D. Green makes 3-pt jump shot from 24 ft (assist by T. Parker),0,3
8,1,10:35.0,W. Ellington misses 2-pt jump shot from 22 ft,,0,3
9,1,10:34.0,,Defensive rebound by T. Duncan,0,3
10,1,10:19.0,,T. Duncan makes 2-pt jump shot from 6 ft,0,5
11,1,10:03.0,Offensive foul by J. Hill (drawn by M. Bonner),,0,5
12,1,10:03.0,Turnover by J. Hill (offensive foul),,0,5
13,1,9:49.0,,T. Duncan makes 2-pt jump shot from 6 ft,0,7
14,1,9:32.0,J. Hill misses 2-pt jump shot from 3 ft (block by T. Duncan),,0,7
15,1,9:31.0,,Defensive rebound by K. Leonard,0,7
16,1,9:20.0,,T. Parker makes 2-pt jump shot from 18 ft (assist by T. Duncan),0,9
17,1,9:04.0,R. Sacre misses 2-pt jump shot from 15 ft,,0,9
18,1,9:03.0,,Defensive rebound by Team,0,9
19,1,8:40.0,,T. Duncan misses 2-pt jump shot from 19 ft,0,9
20,1,8:39.0,Defensive rebound by W. Ellington,,0,9
21,1,8:25.0,J. Clarkson makes 2-pt jump shot from 19 ft,,2,9
22,1,8:12.0,,T. Parker misses 2-pt layup from 2 ft,2,9
23,1,8:11.0,Defensive rebound by R. Kelly,,2,9
24,1,8:04.0,J. Clarkson makes 2-pt layup at rim,,4,9
25,1,7:50.0,,Turnover by T. Parker (bad pass),4,9
26,1,7:31.0,J. Hill misses 2-pt jump shot from 20 ft,,4,9
