,QUARTER,TIME_REMAINING,ORLANDO_ACTION,SACRAMENTO_ACTION,ORLANDO_SCORE,SACRAMENTO_SCORE
0,1,11:54.0,,B. McLemore makes 2-pt layup from 2 ft (assist by J. Thompson),0,2
1,1,11:39.0,T. Harris makes 2-pt jump shot from 14 ft (assist by K. O'Quinn),,2,2
2,1,11:19.0,,Shooting foul by K. O'Quinn (drawn by R. Hollins),2,2
3,1,11:19.0,,R. Hollins misses free throw 1 of 2,2,2
4,1,11:19.0,,Offensive rebound by Team,2,2
5,1,11:19.0,,R. Hollins makes free throw 2 of 2,2,3
6,1,11:00.0,K. O'Quinn makes 2-pt jump shot from 11 ft (assist by V. Oladipo),,4,3
7,1,10:42.0,,J. Thompson misses 2-pt jump shot from 15 ft,4,3
8,1,10:41.0,Defensive rebound by C. Frye,,4,3
9,1,10:25.0,T. Harris misses 2-pt jump shot from 10 ft,,4,3
10,1,10:24.0,,Defensive rebound by J. Thompson,4,3
11,1,10:10.0,,R. Gay misses 3-pt jump shot from 25 ft,4,3
12,1,10:10.0,,Offensive rebound by Team,4,3
13,1,10:10.0,Loose ball foul by V. Oladipo (drawn by J. Thompson),,4,3
14,1,9:59.0,,J. Thompson makes 2-pt jump shot from 9 ft (assist by D. Collison),4,5
15,1,9:45.0,C. Frye makes 3-pt jump shot from 23 ft (assist by E. Fournier),,7,5
16,1,9:27.0,,D. Collison makes 2-pt jump shot from 16 ft (assist by R. Gay),7,7
17,1,9:07.0,K. O'Quinn makes 2-pt jump shot from 7 ft (assist by V. Oladipo),,9,7
18,1,8:52.0,,D. Collison misses 3-pt jump shot from 26 ft,9,7
19,1,8:52.0,Defensive rebound by T. Harris,,9,7
20,1,8:33.0,K. O'Quinn makes 2-pt layup from 2 ft (assist by C. Frye),,11,7
21,1,8:33.0,,Sacramento full timeout,11,7
22,1,8:08.0,,R. Hollins misses 2-pt jump shot from 17 ft,11,7
23,1,8:07.0,Defensive rebound by V. Oladipo,,11,7
24,1,7:57.0,C. Frye misses 3-pt jump shot from 24 ft,,11,7
25,1,7:56.0,,Defensive rebound by J. Thompson,11,7
26,1,7:48.0,,R. Gay misses 2-pt jump shot from 5 ft,11,7
27,1,7:47.0,Defensive rebound by E. Fournier,,11,7
28,1,7:38.0,E. Fournier misses 3-pt jump shot from 24 ft,,11,7
29,1,7:38.0,,Defensive rebound by Team,11,7
30,1,7:22.0,,Turnover by R. Gay (bad pass; steal by C. Frye),11,7
31,1,7:15.0,T. Harris misses 2-pt layup from 2 ft,,11,7
32,1,7:14.0,,Defensive rebound by B. McLemore,11,7
33,1,7:08.0,,D. Collison misses 2-pt jump shot from 15 ft,11,7
34,1,7:07.0,Defensive rebound by E. Fournier,,11,7
35,1,6:50.0,V. Oladipo misses 2-pt jump shot from 3 ft,,11,7
36,1,6:49.0,Offensive rebound by K. O'Quinn,,11,7
37,1,6:48.0,K. O'Quinn makes 2-pt layup from 1 ft,,13,7
38,1,6:27.0,D. Dedmon enters the game for K. O'Quinn,,13,7
39,1,6:22.0,,J. Thompson makes 2-pt jump shot from 6 ft (assist by R. Gay),13,9
40,1,6:00.0,E. Fournier misses 2-pt jump shot from 3 ft,,13,9
41,1,6:00.0,Offensive rebound by D. Dedmon,,13,9
42,1,5:59.0,Shooting foul by R. Hollins (drawn by D. Dedmon),,13,9
43,1,5:59.0,D. Dedmon makes free throw 1 of 2,,14,9
44,1,5:59.0,D. Dedmon misses free throw 2 of 2,,14,9
45,1,5:58.0,,Defensive rebound by J. Thompson,14,9
46,1,5:49.0,,Personal foul by T. Harris (drawn by R. Gay),14,9
47,1,5:41.0,,Personal block foul by D. Dedmon (drawn by J. Thompson),14,9
48,1,5:28.0,,J. Thompson makes 2-pt jump shot from 18 ft (assist by D. Collison),14,11
49,1,5:14.0,E. Fournier makes 2-pt jump shot from 11 ft (assist by D. Dedmon),,16,11
50,1,4:56.0,,R. Hollins makes 2-pt hook shot from 6 ft (assist by J. Thompson),16,13
51,1,4:44.0,Turnover by V. Oladipo (bad pass; steal by R. Gay),,16,13
52,1,4:42.0,,R. Gay makes 2-pt dunk at rim,16,15
53,1,4:17.0,V. Oladipo misses 2-pt layup from 2 ft,,16,15
54,1,4:16.0,Offensive rebound by E. Fournier,,16,15
55,1,4:12.0,V. Oladipo makes 2-pt layup from 1 ft (assist by E. Fournier),,18,15
56,1,3:53.0,,R. Hollins makes 2-pt layup from 2 ft (assist by J. Thompson),18,17
57,1,3:45.0,Orlando full timeout,,18,17
