,QUARTER,TIME_REMAINING,BOSTON_ACTION,LA LAKERS_ACTION,BOSTON_SCORE,LA LAKERS_SCORE
0,1,11:45.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by T. Zeller),,3,0
1,1,11:35.0,,Turnover by J. Clarkson (lost ball; steal by M. Smart),3,0
2,1,11:35.0,Clear path foul by J. Clarkson,,3,0
3,1,11:35.0,M. Smart misses clear path free throw 1 of 2,,3,0
4,1,11:35.0,Offensive rebound by Team,,3,0
5,1,11:35.0,M. Smart makes clear path free throw 2 of 2,,4,0
6,1,11:21.0,M. Smart misses 3-pt jump shot from 26 ft,,4,0
7,1,11:18.0,,Defensive rebound by R. Kelly,4,0
8,1,11:02.0,,R. Kelly makes 2-pt jump shot from 13 ft (assist by W. Ellington),4,2
9,1,10:38.0,B. Bass misses 2-pt jump shot from 12 ft,,4,2
10,1,10:37.0,,Defensive rebound by C. Boozer,4,2
11,1,10:20.0,,J. Clarkson makes 2-pt jump shot from 13 ft,4,4
12,1,9:56.0,T. Zeller makes 2-pt hook shot from 6 ft (assist by E. Turner),,6,4
13,1,9:42.0,,C. Boozer misses 2-pt jump shot from 13 ft,6,4
14,1,9:39.0,Defensive rebound by T. Zeller,,6,4
15,1,9:34.0,E. Turner makes 2-pt jump shot from 18 ft,,8,4
16,1,9:14.0,,W. Ellington makes 3-pt jump shot from 26 ft,8,7
17,1,9:01.0,T. Zeller makes 2-pt jump shot from 3 ft (assist by E. Turner),,10,7
18,1,8:50.0,,J. Clarkson makes 2-pt layup from 2 ft,10,9
19,1,8:50.0,,Shooting foul by T. Zeller (drawn by J. Clarkson),10,9
20,1,8:50.0,,J. Clarkson makes free throw 1 of 1,10,10
21,1,8:31.0,B. Bass makes 2-pt layup from 3 ft,,12,10
22,1,8:17.0,,C. Boozer misses 2-pt hook shot from 2 ft (block by T. Zeller),12,10
23,1,8:12.0,Defensive rebound by M. Smart,,12,10
24,1,8:10.0,Turnover by E. Turner (bad pass),,12,10
25,1,7:50.0,,C. Boozer misses 2-pt jump shot from 13 ft (block by B. Bass),12,10
26,1,7:45.0,Defensive rebound by T. Zeller,,12,10
27,1,7:38.0,E. Turner misses 2-pt jump shot from 14 ft,,12,10
28,1,7:35.0,,Defensive rebound by R. Sacre,12,10
29,1,7:31.0,,C. Boozer makes 2-pt layup from 1 ft (assist by J. Clarkson),12,12
30,1,7:18.0,A. Bradley makes 2-pt jump shot from 13 ft (assist by E. Turner),,14,12
31,1,7:00.0,,R. Kelly misses 2-pt jump shot from 6 ft,14,12
32,1,6:57.0,Defensive rebound by B. Bass,,14,12
