,QUARTER,TIME_REMAINING,TORONTO_ACTION,PHILADELPHIA_ACTION,TORONTO_SCORE,PHILADELPHIA_SCORE
0,1,11:34.0,,I. Canaan misses 2-pt jump shot from 12 ft,0,0
1,1,11:32.0,Defensive rebound by J. Valančiūnas,,0,0
2,1,11:13.0,Shooting foul by N. Noel (drawn by D. DeRozan),,0,0
3,1,11:13.0,D. DeRozan makes free throw 1 of 2,,1,0
4,1,11:13.0,D. DeRozan makes free throw 2 of 2,,2,0
5,1,11:02.0,,Turnover by J. Sampson (lost ball),2,0
6,1,10:41.0,D. DeRozan misses 2-pt jump shot from 10 ft,,2,0
7,1,10:40.0,,Defensive rebound by N. Noel,2,0
8,1,10:24.0,,J. Sampson makes 2-pt layup at rim (assist by N. Noel),2,2
9,1,10:05.0,A. Johnson makes 2-pt layup from 1 ft (assist by J. Johnson),,4,2
10,1,9:50.0,,H. Sims misses 2-pt jump shot from 3 ft,4,2
11,1,9:49.0,Defensive rebound by A. Johnson,,4,2
12,1,9:30.0,Shooting foul by J. Sampson (drawn by J. Valančiūnas),,4,2
13,1,9:30.0,J. Valančiūnas makes free throw 1 of 2,,5,2
14,1,9:30.0,J. Valančiūnas makes free throw 2 of 2,,6,2
15,1,9:21.0,,Turnover by L. Mbah a Moute (bad pass; steal by D. DeRozan),6,2
16,1,9:07.0,D. DeRozan misses 2-pt jump shot from 13 ft (block by J. Sampson),,6,2
17,1,9:05.0,,Defensive rebound by I. Canaan,6,2
18,1,9:00.0,,L. Mbah a Moute makes 2-pt layup at rim (assist by I. Canaan),6,4
19,1,8:47.0,Turnover by J. Valančiūnas (offensive foul),,6,4
20,1,8:47.0,Offensive foul by J. Valančiūnas (drawn by J. Sampson),,6,4
21,1,8:37.0,,Turnover by H. Sims (bad pass),6,4
22,1,8:26.0,Turnover by D. DeRozan (bad pass),,6,4
23,1,8:17.0,,H. Sims misses 2-pt jump shot from 14 ft,6,4
24,1,8:15.0,Defensive rebound by D. DeRozan,,6,4
25,1,8:05.0,G. Vásquez makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,9,4
26,1,7:39.0,,L. Mbah a Moute misses 2-pt jump shot from 20 ft (block by J. Johnson),9,4
27,1,7:38.0,Defensive rebound by G. Vásquez,,9,4
28,1,7:31.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by G. Vásquez),,11,4
29,1,7:14.0,,H. Sims misses 2-pt layup from 2 ft,11,4
30,1,7:12.0,Defensive rebound by A. Johnson,,11,4
31,1,7:07.0,Turnover by G. Vásquez (bad pass; steal by N. Noel),,11,4
32,1,6:57.0,,H. Sims makes 2-pt dunk at rim (assist by J. Sampson),11,6
33,1,6:35.0,Personal foul by H. Sims (drawn by J. Valančiūnas),,11,6
34,1,6:24.0,D. DeRozan misses 2-pt jump shot from 18 ft,,11,6
35,1,6:24.0,,Defensive rebound by Team,11,6
36,1,6:24.0,,Philadelphia full timeout,11,6
37,1,6:24.0,,H. Thompson enters the game for J. Sampson,11,6
38,1,6:00.0,,I. Canaan misses 3-pt jump shot from 25 ft,11,6
39,1,5:59.0,,Offensive rebound by H. Sims,11,6
40,1,5:52.0,,L. Mbah a Moute makes 3-pt jump shot from 25 ft (assist by I. Canaan),11,9
41,1,5:33.0,J. Valančiūnas misses 2-pt jump shot from 3 ft (block by N. Noel),,11,9
42,1,5:31.0,,Defensive rebound by H. Sims,11,9
43,1,5:22.0,,H. Sims makes 2-pt jump shot from 17 ft (assist by I. Canaan),11,11
44,1,5:00.0,D. DeRozan makes 2-pt jump shot from 11 ft,,13,11
45,1,4:39.0,,H. Sims makes 2-pt jump shot from 14 ft (assist by L. Mbah a Moute),13,13
46,1,4:23.0,Shooting foul by H. Thompson (drawn by D. DeRozan),,13,13
47,1,4:23.0,D. DeRozan makes free throw 1 of 2,,14,13
48,1,4:23.0,,J. Grant enters the game for I. Canaan,14,13
49,1,4:23.0,,I. Smith enters the game for L. Mbah a Moute,14,13
50,1,4:23.0,,T. Robinson enters the game for N. Noel,14,13
51,1,4:23.0,D. DeRozan makes free throw 2 of 2,,15,13
52,1,4:11.0,,T. Robinson misses 2-pt jump shot from 5 ft (block by J. Valančiūnas),15,13
53,1,4:09.0,Defensive rebound by D. DeRozan,,15,13
54,1,4:07.0,D. DeRozan makes 2-pt layup at rim,,17,13
55,1,4:07.0,Shooting foul by I. Smith (drawn by D. DeRozan),,17,13
56,1,4:07.0,D. DeRozan makes free throw 1 of 1,,18,13
57,1,4:01.0,,Shooting foul by G. Vásquez (drawn by I. Smith),18,13
58,1,4:01.0,,I. Smith makes free throw 1 of 2,18,14
59,1,4:01.0,L. Williams enters the game for G. Vásquez,,18,14
60,1,4:01.0,,I. Smith misses free throw 2 of 2,18,14
61,1,4:00.0,Defensive rebound by A. Johnson,,18,14
62,1,3:46.0,D. DeRozan makes 2-pt jump shot from 20 ft,,20,14
63,1,3:25.0,,H. Thompson misses 3-pt jump shot from 23 ft,20,14
64,1,3:23.0,Defensive rebound by D. DeRozan,,20,14
65,1,3:14.0,A. Johnson misses 2-pt layup from 1 ft,,20,14
66,1,3:12.0,,Defensive rebound by T. Robinson,20,14
67,1,3:04.0,,Personal foul by D. DeRozan (drawn by H. Thompson),20,14
68,1,2:47.0,,I. Smith makes 2-pt jump shot from 5 ft (assist by J. Grant),20,16
69,1,2:41.0,Shooting foul by T. Robinson (drawn by L. Williams),,20,16
70,1,2:41.0,Toronto full timeout,,20,16
71,1,2:41.0,P. Patterson enters the game for J. Valančiūnas,,20,16
72,1,2:41.0,,F. Aldemir enters the game for H. Sims,20,16
73,1,2:41.0,L. Williams makes free throw 1 of 2,,21,16
74,1,2:41.0,L. Williams makes free throw 2 of 2,,22,16
75,1,2:26.0,,Turnover by T. Robinson (bad pass),22,16
76,1,2:09.0,Shooting foul by F. Aldemir (drawn by D. DeRozan),,22,16
77,1,2:09.0,D. DeRozan makes free throw 1 of 2,,23,16
78,1,2:09.0,D. DeRozan makes free throw 2 of 2,,24,16
79,1,1:42.0,,I. Smith makes 2-pt jump shot from 9 ft (assist by F. Aldemir),24,18
80,1,1:26.0,D. DeRozan makes 2-pt jump shot from 18 ft,,26,18
81,1,1:06.0,,H. Thompson misses 2-pt jump shot from 5 ft,26,18
82,1,1:04.0,,Offensive rebound by T. Robinson,26,18
83,1,1:04.0,,T. Robinson makes 2-pt layup from 1 ft,26,20
84,1,0:39.0,Turnover by Team (shot clock),,26,20
85,1,0:39.0,T. Ross enters the game for J. Johnson,,26,20
86,1,0:32.0,,T. Robinson makes 2-pt layup at rim (assist by I. Smith),26,22
87,1,0:08.0,L. Williams misses 3-pt jump shot from 26 ft,,26,22
