,QUARTER,TIME_REMAINING,HOUSTON_ACTION,BOSTON_ACTION,HOUSTON_SCORE,BOSTON_SCORE
0,1,11:38.0,,A. Bradley makes 2-pt jump shot from 21 ft,0,2
1,1,11:24.0,T. Ariza misses 3-pt jump shot from 23 ft,,0,2
2,1,11:23.0,Offensive rebound by Team,,0,2
3,1,11:19.0,D. Motiejūnas makes 2-pt layup at rim (assist by T. Ariza),,2,2
4,1,11:05.0,,J. Sullinger misses 2-pt jump shot from 11 ft,2,2
5,1,11:04.0,Defensive rebound by D. Motiejūnas,,2,2
6,1,10:53.0,J. Dorsey makes 2-pt dunk at rim (assist by D. Motiejūnas),,4,2
7,1,10:38.0,,J. Sullinger misses 2-pt jump shot from 21 ft,4,2
8,1,10:37.0,Defensive rebound by T. Ariza,,4,2
9,1,10:24.0,D. Motiejūnas makes 3-pt jump shot from 25 ft (assist by J. Harden),,7,2
10,1,10:06.0,,Shooting foul by J. Dorsey (drawn by B. Bass),7,2
11,1,10:06.0,,B. Bass misses free throw 1 of 2,7,2
12,1,10:06.0,,Offensive rebound by Team,7,2
13,1,10:06.0,,B. Bass misses free throw 2 of 2,7,2
14,1,10:05.0,,Offensive rebound by B. Bass,7,2
15,1,10:02.0,,B. Bass makes 2-pt layup at rim,7,4
16,1,9:43.0,D. Motiejūnas makes 2-pt hook shot from 5 ft,,9,4
17,1,9:12.0,,J. Sullinger makes 2-pt jump shot from 15 ft,9,6
18,1,8:54.0,D. Motiejūnas makes 2-pt hook shot from 8 ft (assist by T. Ariza),,11,6
19,1,8:40.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by E. Turner),11,9
20,1,8:22.0,T. Ariza misses 3-pt jump shot from 24 ft,,11,9
21,1,8:21.0,,Defensive rebound by B. Bass,11,9
22,1,8:10.0,,Turnover by E. Turner (lost ball; steal by J. Harden),11,9
23,1,8:04.0,J. Harden misses 2-pt jump shot from 5 ft (block by J. Sullinger),,11,9
24,1,8:04.0,Offensive rebound by Team,,11,9
25,1,7:45.0,P. Beverley makes 2-pt jump shot from 6 ft,,13,9
26,1,7:30.0,,B. Bass misses 2-pt layup from 1 ft,13,9
27,1,7:29.0,Defensive rebound by D. Motiejūnas,,13,9
28,1,7:26.0,J. Harden misses 2-pt layup from 1 ft (block by J. Crowder),,13,9
29,1,7:25.0,Offensive rebound by Team,,13,9
30,1,7:21.0,P. Beverley misses 2-pt jump shot from 18 ft,,13,9
31,1,7:20.0,,Defensive rebound by J. Sullinger,13,9
32,1,7:08.0,,B. Bass misses 2-pt layup from 1 ft,13,9
33,1,7:06.0,Defensive rebound by T. Ariza,,13,9
34,1,6:57.0,Turnover by T. Ariza (bad pass; steal by E. Turner),,13,9
35,1,6:45.0,,E. Turner makes 2-pt layup at rim,13,11
36,1,6:28.0,J. Dorsey makes 2-pt layup at rim (assist by P. Beverley),,15,11
37,1,6:11.0,,E. Turner misses 3-pt jump shot from 25 ft,15,11
38,1,6:10.0,Defensive rebound by D. Motiejūnas,,15,11
39,1,6:03.0,Turnover by T. Ariza (bad pass; steal by A. Bradley),,15,11
40,1,5:59.0,Offensive charge foul by J. Crowder (drawn by P. Beverley),,15,11
41,1,5:59.0,,Turnover by J. Crowder (offensive foul),15,11
42,1,5:59.0,,Boston full timeout,15,11
43,1,5:59.0,J. Smith enters the game for D. Motiejūnas,,15,11
44,1,5:59.0,,T. Zeller enters the game for J. Sullinger,15,11
45,1,5:40.0,J. Harden makes 3-pt jump shot from 25 ft (assist by P. Beverley),,18,11
46,1,5:23.0,,A. Bradley misses 2-pt jump shot from 19 ft,18,11
47,1,5:23.0,Defensive rebound by J. Dorsey,,18,11
48,1,5:16.0,P. Beverley misses 3-pt jump shot from 24 ft,,18,11
49,1,5:16.0,,Defensive rebound by Team,18,11
50,1,4:58.0,,Shooting foul by J. Smith (drawn by B. Bass),18,11
51,1,4:58.0,,B. Bass makes free throw 1 of 2,18,12
52,1,4:58.0,T. Jones enters the game for J. Dorsey,,18,12
53,1,4:58.0,,M. Smart enters the game for E. Turner,18,12
54,1,4:58.0,,B. Bass misses free throw 2 of 2,18,12
55,1,4:57.0,Defensive rebound by T. Ariza,,18,12
56,1,4:44.0,T. Ariza misses 3-pt jump shot from 23 ft,,18,12
57,1,4:43.0,,Defensive rebound by B. Bass,18,12
58,1,4:28.0,,B. Bass makes 2-pt dunk at rim (assist by A. Bradley),18,14
59,1,4:16.0,J. Smith makes 2-pt layup at rim,,20,14
60,1,4:04.0,,B. Bass makes 2-pt layup from 1 ft (assist by M. Smart),20,16
61,1,3:46.0,J. Smith misses 2-pt jump shot from 19 ft,,20,16
62,1,3:45.0,,Defensive rebound by J. Crowder,20,16
63,1,3:37.0,,J. Crowder misses 2-pt jump shot from 18 ft,20,16
64,1,3:36.0,Defensive rebound by J. Smith,,20,16
65,1,3:21.0,T. Jones makes 2-pt jump shot from 6 ft,,22,16
66,1,3:04.0,,T. Zeller misses 2-pt jump shot from 5 ft,22,16
67,1,3:03.0,,Offensive rebound by T. Zeller,22,16
68,1,3:00.0,,T. Zeller misses 2-pt hook shot from 6 ft (block by T. Jones),22,16
69,1,2:59.0,Defensive rebound by T. Jones,,22,16
70,1,2:52.0,Offensive foul by J. Harden (drawn by J. Crowder),,22,16
71,1,2:52.0,Turnover by J. Harden (offensive foul),,22,16
72,1,2:52.0,Houston full timeout,,22,16
73,1,2:52.0,J. Terry enters the game for T. Ariza,,22,16
74,1,2:52.0,C. Brewer enters the game for P. Beverley,,22,16
75,1,2:52.0,,M. Thornton enters the game for J. Crowder,22,16
76,1,2:52.0,,T. Prince enters the game for A. Bradley,22,16
77,1,2:39.0,,B. Bass misses 2-pt jump shot from 16 ft,22,16
78,1,2:38.0,Defensive rebound by J. Harden,,22,16
79,1,2:27.0,J. Harden misses 2-pt jump shot from 16 ft,,22,16
80,1,2:26.0,,Defensive rebound by T. Zeller,22,16
81,1,2:11.0,,T. Zeller misses 2-pt jump shot from 17 ft,22,16
82,1,2:10.0,,Offensive rebound by B. Bass,22,16
83,1,2:06.0,,B. Bass makes 2-pt layup at rim,22,18
84,1,1:50.0,C. Brewer makes 2-pt layup from 1 ft,,24,18
85,1,1:35.0,,T. Prince misses 2-pt jump shot from 19 ft,24,18
86,1,1:33.0,Defensive rebound by J. Smith,,24,18
87,1,1:25.0,Shooting foul by B. Bass (drawn by T. Jones),,24,18
88,1,1:25.0,T. Jones misses free throw 1 of 2,,24,18
89,1,1:25.0,Offensive rebound by Team,,24,18
90,1,1:25.0,T. Jones makes free throw 2 of 2,,25,18
91,1,1:04.0,,T. Zeller misses 2-pt hook shot from 4 ft (block by J. Smith),25,18
92,1,1:03.0,,Offensive rebound by M. Thornton,25,18
93,1,1:02.0,,M. Thornton misses 2-pt jump shot from 12 ft (block by T. Jones),25,18
94,1,1:01.0,,Offensive rebound by Team,25,18
95,1,1:01.0,,Turnover by Team (shot clock),25,18
96,1,0:53.0,J. Harden makes 3-pt jump shot from 25 ft (assist by J. Smith),,28,18
97,1,0:53.0,Shooting foul by M. Smart (drawn by J. Harden),,28,18
98,1,0:53.0,J. Harden makes free throw 1 of 1,,29,18
99,1,0:32.0,,M. Thornton makes 2-pt layup at rim,29,20
100,1,0:32.0,,Shooting block foul by T. Jones (drawn by M. Thornton),29,20
101,1,0:32.0,,M. Thornton makes free throw 1 of 1,29,21
102,1,0:20.0,J. Harden misses 3-pt jump shot from 25 ft,,29,21
103,1,0:19.0,,Defensive rebound by T. Zeller,29,21
104,1,0:00.0,,M. Thornton misses 2-pt jump shot from 14 ft,29,21
105,1,0:00.0,,Offensive rebound by Team,29,21
106,2,11:43.0,D. Motiejūnas misses 2-pt jump shot from 7 ft,,29,21
107,2,11:42.0,Offensive rebound by T. Ariza,,29,21
108,2,11:42.0,T. Ariza misses 2-pt tip-in from 1 ft,,29,21
109,2,11:40.0,,Defensive rebound by M. Smart,29,21
110,2,11:30.0,,T. Prince makes 2-pt jump shot from 17 ft,29,23
111,2,11:23.0,D. Motiejūnas makes 2-pt layup at rim (assist by J. Terry),,31,23
112,2,11:05.0,,Personal foul by C. Brewer (drawn by M. Thornton),31,23
113,2,11:00.0,,Offensive foul by J. Sullinger (drawn by T. Ariza),31,23
114,2,11:00.0,,Turnover by J. Sullinger (offensive foul),31,23
115,2,10:47.0,D. Motiejūnas makes 2-pt layup at rim (assist by J. Smith),,33,23
116,2,10:29.0,,T. Prince misses 2-pt jump shot from 15 ft,33,23
117,2,10:29.0,Defensive rebound by D. Motiejūnas,,33,23
118,2,10:23.0,J. Smith misses 2-pt layup from 1 ft (block by G. Wallace),,33,23
119,2,10:22.0,Offensive rebound by J. Terry,,33,23
120,2,10:11.0,J. Smith makes 2-pt layup at rim,,35,23
121,2,9:55.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by J. Sullinger),35,26
122,2,9:34.0,T. Ariza makes 2-pt layup at rim (assist by J. Smith),,37,26
123,2,9:34.0,,Boston full timeout,37,26
124,2,9:20.0,,J. Sullinger makes 2-pt jump shot from 6 ft,37,28
125,2,9:09.0,J. Smith makes 2-pt layup at rim,,39,28
126,2,8:42.0,,T. Prince makes 2-pt jump shot from 19 ft (assist by J. Sullinger),39,30
127,2,8:29.0,C. Brewer makes 2-pt jump shot from 17 ft (assist by J. Terry),,41,30
128,2,8:14.0,Offensive charge foul by J. Sullinger (drawn by D. Motiejūnas),,41,30
129,2,8:14.0,,Turnover by J. Sullinger (offensive foul),41,30
130,2,7:57.0,D. Motiejūnas makes 3-pt jump shot from 25 ft (assist by J. Terry),,44,30
131,2,7:46.0,,Personal foul by C. Brewer (drawn by M. Thornton),44,30
132,2,7:37.0,,M. Thornton makes 3-pt jump shot from 24 ft (assist by M. Smart),44,33
133,2,7:25.0,T. Ariza makes 2-pt layup at rim (assist by J. Terry),,46,33
134,2,7:09.0,,M. Smart misses 3-pt jump shot from 24 ft,46,33
135,2,7:08.0,Defensive rebound by J. Smith,,46,33
136,2,7:00.0,J. Terry misses 3-pt jump shot from 23 ft,,46,33
