,QUARTER,TIME_REMAINING,PORTLAND_ACTION,BOSTON_ACTION,PORTLAND_SCORE,BOSTON_SCORE
0,1,11:46.0,,J. Green misses 2-pt hook shot from 1 ft,0,0
1,1,11:45.0,,Offensive rebound by J. Green,0,0
2,1,11:43.0,,J. Green misses 2-pt jump shot from 7 ft,0,0
3,1,11:42.0,,Offensive rebound by J. Sullinger,0,0
4,1,11:40.0,,J. Sullinger makes 2-pt layup at rim,0,2
5,1,11:18.0,L. Aldridge misses 2-pt hook shot from 5 ft,,0,2
6,1,11:17.0,,Defensive rebound by J. Sullinger,0,2
7,1,11:03.0,,J. Sullinger makes 3-pt jump shot from 25 ft (assist by R. Rondo),0,5
8,1,10:39.0,N. Batum misses 2-pt jump shot from 16 ft,,0,5
9,1,10:37.0,,Defensive rebound by R. Rondo,0,5
10,1,10:31.0,,R. Rondo makes 2-pt layup from 1 ft,0,7
11,1,10:16.0,R. Lopez misses 2-pt jump shot from 8 ft,,0,7
12,1,10:15.0,,Defensive rebound by A. Bradley,0,7
13,1,9:59.0,,A. Bradley misses 3-pt jump shot from 25 ft,0,7
14,1,9:58.0,Defensive rebound by R. Lopez,,0,7
15,1,9:46.0,L. Aldridge misses 2-pt jump shot from 6 ft,,0,7
16,1,9:45.0,Offensive rebound by L. Aldridge,,0,7
17,1,9:44.0,Shooting foul by J. Sullinger (drawn by L. Aldridge),,0,7
18,1,9:44.0,L. Aldridge makes free throw 1 of 2,,1,7
19,1,9:44.0,L. Aldridge makes free throw 2 of 2,,2,7
20,1,9:29.0,,A. Bradley misses 3-pt jump shot from 24 ft,2,7
21,1,9:27.0,,Offensive rebound by K. Olynyk,2,7
22,1,9:17.0,,J. Green misses 2-pt hook shot from 8 ft,2,7
23,1,9:16.0,Defensive rebound by L. Aldridge,,2,7
24,1,9:02.0,Personal foul by J. Green (drawn by R. Lopez),,2,7
25,1,8:56.0,D. Lillard misses 2-pt jump shot from 7 ft,,2,7
26,1,8:55.0,,Defensive rebound by R. Rondo,2,7
27,1,8:50.0,,A. Bradley misses 2-pt jump shot from 20 ft,2,7
28,1,8:48.0,Defensive rebound by L. Aldridge,,2,7
29,1,8:39.0,Turnover by R. Lopez (lost ball; steal by K. Olynyk),,2,7
30,1,8:36.0,,Turnover by R. Rondo (bad pass),2,7
31,1,8:25.0,D. Lillard misses 2-pt layup at rim,,2,7
32,1,8:24.0,,Defensive rebound by K. Olynyk,2,7
33,1,8:17.0,,A. Bradley misses 2-pt jump shot from 6 ft,2,7
34,1,8:16.0,,Offensive rebound by K. Olynyk,2,7
35,1,8:16.0,,K. Olynyk misses 2-pt tip-in at rim,2,7
36,1,8:14.0,Defensive rebound by D. Lillard,,2,7
37,1,8:13.0,Personal block foul by R. Rondo (drawn by L. Aldridge),,2,7
38,1,8:05.0,D. Lillard misses 2-pt jump shot from 18 ft,,2,7
39,1,8:04.0,,Defensive rebound by K. Olynyk,2,7
40,1,7:54.0,,J. Sullinger misses 2-pt jump shot from 20 ft,2,7
41,1,7:53.0,Defensive rebound by R. Lopez,,2,7
42,1,7:44.0,L. Aldridge misses 2-pt jump shot from 17 ft,,2,7
43,1,7:43.0,,Defensive rebound by J. Sullinger,2,7
44,1,7:38.0,,J. Green makes 2-pt layup at rim (assist by J. Sullinger),2,9
45,1,7:17.0,L. Aldridge misses 2-pt layup at rim,,2,9
46,1,7:16.0,Offensive rebound by R. Lopez,,2,9
47,1,7:16.0,R. Lopez makes 2-pt tip-in from 1 ft,,4,9
48,1,7:00.0,,R. Rondo makes 2-pt jump shot from 17 ft,4,11
49,1,6:46.0,Shooting foul by K. Olynyk (drawn by R. Lopez),,4,11
50,1,6:46.0,R. Lopez misses free throw 1 of 2,,4,11
51,1,6:46.0,Offensive rebound by Team,,4,11
52,1,6:46.0,R. Lopez makes free throw 2 of 2,,5,11
53,1,6:37.0,,J. Sullinger misses 3-pt jump shot from 24 ft,5,11
54,1,6:36.0,Defensive rebound by W. Matthews,,5,11
55,1,6:19.0,L. Aldridge misses 2-pt layup at rim,,5,11
56,1,6:18.0,,Defensive rebound by J. Green,5,11
57,1,6:13.0,,Boston full timeout,5,11
58,1,6:11.0,,Turnover by J. Green (bad pass; steal by N. Batum),5,11
59,1,6:05.0,W. Matthews misses 2-pt layup at rim,,5,11
60,1,6:04.0,,Defensive rebound by K. Olynyk,5,11
61,1,5:55.0,,J. Sullinger makes 2-pt layup at rim (assist by R. Rondo),5,13
62,1,5:32.0,R. Lopez makes 2-pt hook shot from 8 ft (assist by N. Batum),,7,13
63,1,5:17.0,,M. Thornton enters the game for A. Bradley,7,13
64,1,5:05.0,,R. Rondo makes 2-pt layup at rim,7,15
65,1,4:50.0,N. Batum makes 3-pt jump shot from 24 ft (assist by W. Matthews),,10,15
66,1,4:36.0,,J. Green makes 3-pt jump shot from 25 ft (assist by J. Sullinger),10,18
67,1,4:15.0,N. Batum misses 2-pt layup from 2 ft,,10,18
68,1,4:14.0,,Defensive rebound by K. Olynyk,10,18
69,1,4:12.0,,Turnover by K. Olynyk (bad pass; steal by D. Lillard),10,18
70,1,4:02.0,N. Batum makes 2-pt layup at rim,,12,18
71,1,3:52.0,,R. Rondo makes 2-pt layup at rim,12,20
72,1,3:35.0,N. Batum makes 3-pt jump shot from 24 ft (assist by L. Aldridge),,15,20
73,1,3:19.0,,R. Rondo misses 2-pt jump shot from 17 ft,15,20
74,1,3:18.0,Defensive rebound by L. Aldridge,,15,20
75,1,3:06.0,W. Matthews misses 2-pt jump shot from 9 ft,,15,20
76,1,3:04.0,Offensive rebound by Team,,15,20
77,1,3:04.0,Portland full timeout,,15,20
78,1,3:04.0,,B. Bass enters the game for J. Sullinger,15,20
79,1,3:04.0,,E. Turner enters the game for R. Rondo,15,20
80,1,3:04.0,S. Blake enters the game for N. Batum,,15,20
