,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SAN ANTONIO_ACTION,CHARLOTTE_SCORE,SAN ANTONIO_SCORE
0,1,11:39.0,,T. Parker misses 2-pt layup from 1 ft,0,0
1,1,11:38.0,Defensive rebound by A. Jefferson,,0,0
2,1,11:25.0,C. Zeller misses 2-pt jump shot from 15 ft,,0,0
3,1,11:24.0,,Defensive rebound by K. Leonard,0,0
4,1,11:07.0,,K. Leonard misses 3-pt jump shot from 25 ft,0,0
5,1,11:06.0,Defensive rebound by Team,,0,0
6,1,10:52.0,G. Henderson misses 2-pt jump shot from 13 ft,,0,0
7,1,10:51.0,,Defensive rebound by T. Duncan,0,0
8,1,10:40.0,,T. Parker makes 2-pt layup from 3 ft (assist by T. Duncan),0,2
9,1,10:18.0,M. Kidd-Gilchrist misses 2-pt jump shot from 6 ft,,0,2
10,1,10:16.0,,Defensive rebound by M. Bonner,0,2
11,1,10:08.0,,T. Duncan makes 2-pt layup from 2 ft (assist by T. Parker),0,4
12,1,9:50.0,A. Jefferson makes 2-pt layup from 1 ft,,2,4
13,1,9:39.0,,T. Parker makes 2-pt jump shot from 7 ft,2,6
14,1,9:39.0,,Shooting foul by A. Jefferson (drawn by T. Parker),2,6
15,1,9:39.0,,T. Parker makes free throw 1 of 1,2,7
16,1,9:17.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by A. Jefferson),,4,7
17,1,8:55.0,,T. Parker misses 3-pt jump shot from 24 ft,4,7
18,1,8:54.0,Defensive rebound by A. Jefferson,,4,7
19,1,8:29.0,A. Jefferson makes 2-pt jump shot from 5 ft,,6,7
20,1,8:15.0,,T. Duncan misses 2-pt jump shot from 3 ft (block by G. Henderson),6,7
21,1,8:14.0,,Offensive rebound by Team,6,7
22,1,8:06.0,,T. Parker makes 2-pt layup from 2 ft,6,9
23,1,7:48.0,G. Henderson makes 2-pt layup from 2 ft (assist by C. Zeller),,8,9
24,1,7:34.0,,Shooting foul by A. Jefferson (drawn by T. Duncan),8,9
25,1,7:34.0,,T. Duncan makes free throw 1 of 2,8,10
26,1,7:34.0,J. Maxiell enters the game for A. Jefferson,,8,10
27,1,7:34.0,,T. Duncan makes free throw 2 of 2,8,11
28,1,7:20.0,G. Henderson makes 2-pt jump shot from 16 ft (assist by B. Roberts),,10,11
29,1,7:08.0,,D. Green misses 2-pt layup from 3 ft,10,11
30,1,7:07.0,Defensive rebound by C. Zeller,,10,11
31,1,6:55.0,C. Zeller misses 2-pt jump shot from 16 ft,,10,11
32,1,6:54.0,,Defensive rebound by T. Duncan,10,11
33,1,6:44.0,,Turnover by T. Duncan (lost ball; steal by B. Roberts),10,11
34,1,6:39.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by B. Roberts),,12,11
35,1,6:19.0,,T. Parker makes 2-pt jump shot from 16 ft,12,13
36,1,6:05.0,B. Roberts misses 2-pt jump shot from 21 ft,,12,13
37,1,6:05.0,,Defensive rebound by K. Leonard,12,13
38,1,5:58.0,,Shooting foul by M. Kidd-Gilchrist (drawn by K. Leonard),12,13
39,1,5:58.0,,San Antonio full timeout,12,13
40,1,5:58.0,,M. Ginóbili enters the game for D. Green,12,13
41,1,5:58.0,,B. Diaw enters the game for M. Bonner,12,13
42,1,5:58.0,,K. Leonard makes free throw 1 of 2,12,14
