,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DENVER_ACTION,MINNESOTA_SCORE,DENVER_SCORE
0,1,11:46.0,,Turnover by K. Faried (bad pass),0,0
1,1,11:33.0,A. Wiggins misses 2-pt jump shot from 20 ft,,0,0
2,1,11:31.0,Offensive rebound by G. Dieng,,0,0
3,1,11:28.0,G. Dieng misses 2-pt jump shot from 11 ft,,0,0
4,1,11:27.0,,Defensive rebound by A. Afflalo,0,0
5,1,11:16.0,,T. Lawson makes 2-pt jump shot from 16 ft,0,2
6,1,10:58.0,A. Wiggins misses 3-pt jump shot from 23 ft,,0,2
7,1,10:57.0,,Defensive rebound by K. Faried,0,2
8,1,10:48.0,,A. Afflalo misses 2-pt jump shot from 15 ft,0,2
9,1,10:47.0,,Offensive rebound by K. Faried,0,2
10,1,10:46.0,,K. Faried makes 2-pt layup from 1 ft,0,4
11,1,10:46.0,Violation by G. Dieng (def goaltending),,0,4
12,1,10:24.0,T. Young makes 2-pt layup from 2 ft (assist by G. Dieng),,2,4
13,1,10:02.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by T. Lawson),2,7
14,1,9:46.0,S. Muhammad makes 3-pt jump shot from 25 ft (assist by T. Young),,5,7
15,1,9:26.0,,K. Faried makes 2-pt jump shot from 5 ft,5,9
16,1,9:26.0,,Shooting foul by T. Young (drawn by K. Faried),5,9
17,1,9:26.0,,K. Faried makes free throw 1 of 1,5,10
18,1,9:13.0,A. Wiggins misses 2-pt jump shot from 9 ft,,5,10
19,1,9:12.0,,Defensive rebound by T. Mozgov,5,10
20,1,8:59.0,,T. Lawson makes 2-pt jump shot from 9 ft,5,12
21,1,8:45.0,S. Muhammad makes 3-pt jump shot from 25 ft (assist by Z. LaVine),,8,12
22,1,8:27.0,,A. Afflalo misses 2-pt jump shot from 11 ft,8,12
23,1,8:26.0,,Offensive rebound by T. Mozgov,8,12
24,1,8:23.0,,T. Mozgov misses 2-pt hook shot from 4 ft,8,12
25,1,8:22.0,Defensive rebound by G. Dieng,,8,12
26,1,8:11.0,G. Dieng misses 2-pt layup from 2 ft,,8,12
27,1,8:10.0,,Defensive rebound by K. Faried,8,12
28,1,8:06.0,,Offensive foul by K. Faried (drawn by Z. LaVine),8,12
29,1,8:06.0,,Turnover by K. Faried (offensive foul),8,12
30,1,7:49.0,S. Muhammad misses 2-pt jump shot from 5 ft,,8,12
31,1,7:48.0,Offensive rebound by T. Young,,8,12
32,1,7:44.0,S. Muhammad misses 2-pt dunk at rim (block by W. Chandler),,8,12
