,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHICAGO_ACTION,MILWAUKEE_SCORE,CHICAGO_SCORE
0,1,11:46.0,Z. Pachulia makes 2-pt jump shot from 17 ft (assist by G. Antetokounmpo),,2,0
1,1,11:32.0,,Turnover by M. Dunleavy (lost ball),2,0
2,1,11:26.0,K. Middleton makes 2-pt jump shot from 18 ft,,4,0
3,1,11:13.0,,J. Noah makes 2-pt layup from 1 ft (assist by D. Rose),4,2
4,1,10:57.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,4,2
5,1,10:55.0,Offensive rebound by E. İlyasova,,4,2
6,1,10:55.0,E. İlyasova makes 2-pt tip-in from 1 ft,,6,2
7,1,10:30.0,,D. Rose misses 3-pt jump shot from 26 ft,6,2
8,1,10:29.0,Defensive rebound by Team,,6,2
9,1,10:16.0,Z. Pachulia makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,8,2
10,1,9:57.0,,P. Gasol makes 2-pt jump shot from 21 ft (assist by J. Butler),8,4
11,1,9:33.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,10,4
12,1,9:26.0,,D. Rose makes 2-pt layup at rim,10,6
13,1,9:17.0,E. İlyasova misses 3-pt jump shot from 26 ft,,10,6
14,1,9:16.0,,Defensive rebound by J. Noah,10,6
15,1,9:01.0,,D. Rose misses 3-pt jump shot from 25 ft,10,6
16,1,9:00.0,Defensive rebound by Z. Pachulia,,10,6
17,1,8:56.0,,Offensive charge foul by G. Antetokounmpo (drawn by J. Butler),10,6
18,1,8:56.0,Turnover by G. Antetokounmpo (offensive foul),,10,6
19,1,8:33.0,,Turnover by J. Noah (bad pass; steal by K. Middleton),10,6
20,1,8:27.0,G. Antetokounmpo misses 2-pt jump shot from 7 ft (block by D. Rose),,10,6
21,1,8:25.0,,Defensive rebound by J. Noah,10,6
22,1,8:13.0,,M. Dunleavy makes 3-pt jump shot from 23 ft (assist by D. Rose),10,9
23,1,7:56.0,Turnover by M. Carter-Williams (lost ball; steal by J. Butler),,10,9
24,1,7:43.0,,Personal foul by M. Carter-Williams (drawn by D. Rose),10,9
25,1,7:32.0,,P. Gasol makes 2-pt jump shot from 9 ft (assist by M. Dunleavy),10,11
26,1,7:19.0,M. Carter-Williams makes 2-pt jump shot from 15 ft,,12,11
27,1,7:05.0,,J. Butler makes 3-pt jump shot from 25 ft (assist by D. Rose),12,14
28,1,6:49.0,K. Middleton misses 2-pt jump shot from 21 ft,,12,14
29,1,6:49.0,,Defensive rebound by J. Butler,12,14
30,1,6:40.0,,J. Butler makes 2-pt layup from 1 ft (assist by P. Gasol),12,16
31,1,6:28.0,Turnover by M. Carter-Williams (bad pass; steal by M. Dunleavy),,12,16
32,1,6:11.0,,Shooting foul by K. Middleton (drawn by J. Butler),12,16
33,1,6:11.0,,J. Butler makes free throw 1 of 2,12,17
34,1,6:11.0,,T. Snell enters the game for D. Rose,12,17
35,1,6:11.0,,J. Butler makes free throw 2 of 2,12,18
36,1,5:54.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by E. İlyasova),,14,18
37,1,5:35.0,,P. Gasol misses 3-pt jump shot from 23 ft,14,18
38,1,5:34.0,Defensive rebound by M. Carter-Williams,,14,18
39,1,5:29.0,M. Carter-Williams makes 2-pt jump shot from 9 ft,,16,18
40,1,5:29.0,Shooting foul by M. Dunleavy (drawn by M. Carter-Williams),,16,18
41,1,5:29.0,,Chicago full timeout,16,18
42,1,5:29.0,J. Bayless enters the game for G. Antetokounmpo,,16,18
43,1,5:29.0,,A. Brooks enters the game for T. Snell,16,18
44,1,5:29.0,M. Carter-Williams makes free throw 1 of 1,,17,18
45,1,5:17.0,,Turnover by J. Noah (bad pass; steal by M. Carter-Williams),17,18
46,1,5:13.0,E. İlyasova makes 2-pt jump shot from 14 ft (assist by K. Middleton),,19,18
47,1,4:58.0,,P. Gasol makes 2-pt layup from 2 ft (assist by J. Noah),19,20
48,1,4:44.0,Turnover by M. Carter-Williams (traveling),,19,20
49,1,4:31.0,,J. Butler makes 2-pt dunk at rim (assist by J. Noah),19,22
50,1,4:16.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by M. Carter-Williams),,22,22
51,1,3:55.0,,A. Brooks makes 3-pt jump shot from 26 ft (assist by P. Gasol),22,25
52,1,3:32.0,Z. Pachulia misses 2-pt jump shot from 17 ft,,22,25
53,1,3:31.0,,Defensive rebound by J. Noah,22,25
54,1,3:21.0,,Turnover by A. Brooks (lost ball; steal by E. İlyasova),22,25
55,1,3:17.0,J. Bayless makes 2-pt layup from 2 ft (assist by Z. Pachulia),,24,25
56,1,2:53.0,,P. Gasol misses 2-pt hook shot from 7 ft,24,25
57,1,2:52.0,Defensive rebound by Z. Pachulia,,24,25
58,1,2:37.0,Turnover by Z. Pachulia (lost ball; steal by J. Noah),,24,25
59,1,2:37.0,,Personal foul by Z. Pachulia (drawn by J. Noah),24,25
60,1,2:37.0,Milwaukee full timeout,,24,25
61,1,2:37.0,,T. Gibson enters the game for J. Noah,24,25
62,1,2:37.0,O. Mayo enters the game for M. Carter-Williams,,24,25
63,1,2:37.0,J. Henson enters the game for Z. Pachulia,,24,25
64,1,2:21.0,Offensive charge foul by A. Brooks (drawn by E. İlyasova),,24,25
65,1,2:21.0,,Turnover by A. Brooks (offensive foul),24,25
66,1,2:09.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by J. Bayless),,27,25
