,QUARTER,TIME_REMAINING,MIAMI_ACTION,SAN ANTONIO_ACTION,MIAMI_SCORE,SAN ANTONIO_SCORE
0,1,11:39.0,,K. Leonard misses 3-pt jump shot from 25 ft,0,0
1,1,11:38.0,,Offensive rebound by T. Duncan,0,0
2,1,11:35.0,,D. Green misses 3-pt jump shot from 24 ft,0,0
3,1,11:34.0,Defensive rebound by M. Chalmers,,0,0
4,1,11:13.0,C. Bosh misses 2-pt jump shot from 16 ft,,0,0
5,1,11:11.0,Offensive rebound by S. Napier,,0,0
6,1,11:01.0,M. Chalmers misses 2-pt layup from 2 ft,,0,0
7,1,11:00.0,Offensive rebound by C. Andersen,,0,0
8,1,11:00.0,C. Andersen misses 2-pt tip-in at rim,,0,0
9,1,10:57.0,,Defensive rebound by T. Duncan,0,0
10,1,10:42.0,,T. Parker misses 2-pt jump shot from 6 ft,0,0
11,1,10:41.0,Defensive rebound by C. Bosh,,0,0
12,1,10:31.0,S. Napier makes 2-pt jump shot from 18 ft,,2,0
13,1,10:11.0,,Turnover by A. Baynes (bad pass),2,0
14,1,10:00.0,C. Bosh makes 2-pt jump shot from 16 ft (assist by M. Chalmers),,4,0
15,1,9:37.0,,A. Baynes misses 2-pt jump shot from 5 ft,4,0
16,1,9:36.0,Defensive rebound by C. Andersen,,4,0
17,1,9:22.0,M. Chalmers misses 3-pt jump shot from 25 ft,,4,0
18,1,9:21.0,,Defensive rebound by D. Green,4,0
19,1,9:18.0,,Turnover by T. Duncan (lost ball; steal by M. Chalmers),4,0
20,1,9:14.0,M. Chalmers misses 2-pt jump shot from 3 ft,,4,0
21,1,9:13.0,,Defensive rebound by D. Green,4,0
22,1,9:00.0,,Personal foul by C. Andersen (drawn by T. Duncan),4,0
23,1,8:52.0,,D. Green makes 2-pt jump shot from 18 ft (assist by T. Parker),4,2
24,1,8:39.0,Personal foul by T. Parker (drawn by S. Napier),,4,2
25,1,8:36.0,M. Chalmers makes 3-pt jump shot from 23 ft (assist by S. Napier),,7,2
26,1,8:26.0,,San Antonio full timeout,7,2
27,1,8:14.0,,A. Baynes makes 2-pt jump shot from 15 ft (assist by T. Parker),7,4
28,1,7:50.0,C. Bosh makes 2-pt jump shot from 9 ft,,9,4
29,1,7:40.0,,Def 3 sec tech foul by C. Bosh,9,4
30,1,7:40.0,,D. Green makes technical free throw,9,5
31,1,7:27.0,,T. Duncan misses 2-pt jump shot from 8 ft,9,5
32,1,7:26.0,Defensive rebound by C. Andersen,,9,5
33,1,7:20.0,Personal foul by T. Parker (drawn by S. Napier),,9,5
34,1,7:12.0,S. Napier misses 3-pt jump shot from 24 ft,,9,5
35,1,7:11.0,,Defensive rebound by T. Duncan,9,5
36,1,7:00.0,,T. Parker makes 2-pt jump shot from 8 ft,9,7
37,1,6:37.0,L. Deng makes 2-pt layup from 2 ft,,11,7
38,1,6:30.0,,Turnover by T. Parker (step out of bounds),11,7
39,1,6:30.0,J. Hamilton enters the game for C. Bosh,,11,7
40,1,6:17.0,M. Chalmers misses 2-pt jump shot from 6 ft (block by D. Green),,11,7
41,1,6:16.0,,Defensive rebound by T. Duncan,11,7
42,1,6:08.0,,T. Parker makes 2-pt layup from 1 ft,11,9
43,1,5:56.0,C. Andersen makes 2-pt dunk from 1 ft (assist by M. Chalmers),,13,9
44,1,5:39.0,,A. Baynes misses 2-pt jump shot from 3 ft (block by J. Hamilton),13,9
45,1,5:38.0,,Offensive rebound by T. Duncan,13,9
46,1,5:35.0,,D. Green misses 3-pt jump shot from 24 ft,13,9
47,1,5:34.0,Defensive rebound by J. Hamilton,,13,9
48,1,5:20.0,J. Hamilton misses 2-pt jump shot from 9 ft,,13,9
49,1,5:19.0,,Defensive rebound by T. Duncan,13,9
50,1,5:13.0,,T. Parker makes 2-pt layup from 2 ft,13,11
51,1,5:13.0,Miami full timeout,,13,11
52,1,5:13.0,,M. Ginóbili enters the game for D. Green,13,11
53,1,5:13.0,,T. Splitter enters the game for T. Duncan,13,11
54,1,5:13.0,,B. Diaw enters the game for A. Baynes,13,11
55,1,5:13.0,U. Haslem enters the game for C. Andersen,,13,11
56,1,5:02.0,Turnover by L. Deng (bad pass; steal by K. Leonard),,13,11
57,1,5:00.0,,K. Leonard makes 2-pt dunk at rim,13,13
58,1,4:43.0,Shooting foul by T. Splitter (drawn by L. Deng),,13,13
59,1,4:43.0,L. Deng makes free throw 1 of 2,,14,13
60,1,4:43.0,L. Deng makes free throw 2 of 2,,15,13
61,1,4:23.0,,T. Parker makes 2-pt jump shot from 18 ft (assist by B. Diaw),15,15
62,1,4:08.0,L. Deng misses 2-pt jump shot from 16 ft,,15,15
63,1,4:07.0,,Defensive rebound by M. Ginóbili,15,15
64,1,3:48.0,,M. Ginóbili makes 3-pt jump shot from 25 ft (assist by B. Diaw),15,18
65,1,3:21.0,U. Haslem misses 2-pt jump shot from 15 ft,,15,18
66,1,3:20.0,Offensive rebound by J. Hamilton,,15,18
67,1,3:13.0,U. Haslem makes 2-pt jump shot from 7 ft (assist by M. Chalmers),,17,18
68,1,2:52.0,,K. Leonard makes 3-pt jump shot from 23 ft (assist by B. Diaw),17,21
69,1,2:40.0,Turnover by L. Deng (bad pass; steal by K. Leonard),,17,21
70,1,2:39.0,,Personal foul by L. Deng (drawn by T. Splitter),17,21
71,1,2:39.0,,P. Mills enters the game for T. Parker,17,21
72,1,2:39.0,N. Cole enters the game for M. Chalmers,,17,21
73,1,2:39.0,T. Johnson enters the game for S. Napier,,17,21
74,1,2:39.0,C. Bosh enters the game for J. Hamilton,,17,21
75,1,2:22.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by M. Ginóbili),17,24
76,1,2:00.0,U. Haslem misses 2-pt jump shot from 14 ft,,17,24
77,1,1:59.0,,Defensive rebound by B. Diaw,17,24
78,1,1:50.0,,T. Splitter makes 2-pt layup from 2 ft (assist by M. Ginóbili),17,26
79,1,1:24.0,L. Deng misses 2-pt jump shot from 21 ft,,17,26
80,1,1:21.0,,Defensive rebound by M. Ginóbili,17,26
81,1,1:15.0,,B. Diaw makes 2-pt layup from 1 ft (assist by M. Ginóbili),17,28
82,1,1:07.0,Miami full timeout,,17,28
83,1,1:07.0,J. Hamilton enters the game for U. Haslem,,17,28
84,1,1:07.0,J. Ennis enters the game for L. Deng,,17,28
85,1,1:02.0,Turnover by T. Johnson (step out of bounds),,17,28
86,1,0:49.0,,P. Mills misses 3-pt jump shot from 24 ft,17,28
87,1,0:48.0,,Offensive rebound by M. Ginóbili,17,28
88,1,0:46.0,,M. Ginóbili misses 3-pt jump shot from 24 ft,17,28
89,1,0:44.0,Defensive rebound by N. Cole,,17,28
90,1,0:42.0,,Violation by M. Ginóbili (kicked ball),17,28
91,1,0:29.0,Personal foul by T. Splitter (drawn by J. Hamilton),,17,28
92,1,0:19.0,Turnover by N. Cole (bad pass; steal by T. Splitter),,17,28
93,1,0:15.0,,P. Mills makes 2-pt layup from 1 ft (assist by K. Leonard),17,30
94,1,0:01.0,T. Johnson makes 2-pt jump shot from 15 ft (assist by N. Cole),,19,30
95,2,11:44.0,Turnover by J. Ennis (bad pass; steal by M. Ginóbili),,19,30
96,2,11:34.0,,Turnover by M. Ginóbili (bad pass; steal by C. Bosh),19,30
97,2,11:29.0,T. Johnson makes 2-pt layup from 1 ft (assist by N. Cole),,21,30
98,2,11:11.0,,B. Diaw misses 2-pt jump shot from 5 ft,21,30
99,2,11:10.0,,Offensive rebound by T. Splitter,21,30
100,2,10:59.0,,M. Ginóbili misses 3-pt jump shot from 24 ft,21,30
101,2,10:58.0,Defensive rebound by C. Bosh,,21,30
102,2,10:52.0,Personal foul by T. Splitter (drawn by N. Cole),,21,30
103,2,10:52.0,,T. Duncan enters the game for T. Splitter,21,30
104,2,10:42.0,N. Cole makes 2-pt layup from 1 ft (assist by C. Bosh),,23,30
105,2,10:26.0,,Turnover by B. Diaw (lost ball; steal by J. Hamilton),23,30
106,2,10:22.0,J. Ennis misses 2-pt layup from 1 ft,,23,30
107,2,10:21.0,Offensive rebound by J. Ennis,,23,30
108,2,10:20.0,J. Ennis makes 2-pt layup from 1 ft,,25,30
109,2,10:18.0,,San Antonio full timeout,25,30
110,2,10:18.0,,M. Belinelli enters the game for D. Green,25,30
111,2,9:57.0,,Turnover by T. Duncan (lost ball; steal by J. Ennis),25,30
112,2,9:52.0,,Offensive charge foul by T. Johnson (drawn by M. Belinelli),25,30
113,2,9:52.0,Turnover by T. Johnson (offensive foul),,25,30
114,2,9:30.0,,M. Belinelli misses 3-pt jump shot from 24 ft,25,30
115,2,9:29.0,Defensive rebound by J. Ennis,,25,30
116,2,9:16.0,T. Johnson makes 3-pt jump shot from 25 ft (assist by J. Ennis),,28,30
117,2,9:04.0,,T. Duncan makes 2-pt jump shot from 10 ft (assist by M. Belinelli),28,32
118,2,8:48.0,N. Cole makes 2-pt layup from 2 ft,,30,32
119,2,8:29.0,,P. Mills misses 3-pt jump shot from 23 ft,30,32
120,2,8:27.0,,Offensive rebound by M. Belinelli,30,32
121,2,8:21.0,,T. Duncan makes 2-pt jump shot from 3 ft (assist by M. Ginóbili),30,34
122,2,8:05.0,J. Ennis misses 3-pt jump shot from 22 ft,,30,34
123,2,8:04.0,,Defensive rebound by M. Ginóbili,30,34
124,2,7:53.0,,Personal foul by J. Hamilton (drawn by T. Duncan),30,34
125,2,7:53.0,,M. Bonner enters the game for B. Diaw,30,34
126,2,7:53.0,,K. Leonard enters the game for M. Ginóbili,30,34
127,2,7:53.0,,T. Parker enters the game for P. Mills,30,34
128,2,7:42.0,,M. Belinelli misses 3-pt jump shot from 25 ft,30,34
129,2,7:41.0,Defensive rebound by C. Bosh,,30,34
130,2,7:34.0,Turnover by N. Cole (bad pass; steal by T. Duncan),,30,34
131,2,7:13.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by M. Belinelli),30,37
132,2,7:12.0,Miami full timeout,,30,37
133,2,7:12.0,C. Andersen enters the game for C. Bosh,,30,37
134,2,7:12.0,M. Chalmers enters the game for N. Cole,,30,37
135,2,7:12.0,L. Deng enters the game for J. Hamilton,,30,37
136,2,6:55.0,T. Johnson misses 2-pt jump shot from 18 ft,,30,37
137,2,6:54.0,,Defensive rebound by T. Duncan,30,37
138,2,6:33.0,,T. Parker makes 2-pt layup from 1 ft (assist by M. Bonner),30,39
139,2,6:15.0,Turnover by J. Ennis (bad pass; steal by M. Bonner),,30,39
140,2,6:10.0,,Turnover by T. Duncan (traveling),30,39
141,2,5:51.0,Turnover by M. Chalmers (bad pass),,30,39
142,2,5:36.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by M. Belinelli),30,42
143,2,5:36.0,Miami full timeout,,30,42
144,2,5:36.0,S. Napier enters the game for T. Johnson,,30,42
145,2,5:15.0,L. Deng misses 2-pt jump shot from 8 ft,,30,42
146,2,5:14.0,,Defensive rebound by M. Belinelli,30,42
147,2,5:06.0,,Turnover by T. Parker (step out of bounds),30,42
148,2,4:42.0,S. Napier misses 3-pt jump shot from 24 ft,,30,42
149,2,4:41.0,,Defensive rebound by T. Duncan,30,42
150,2,4:35.0,,Shooting foul by J. Ennis (drawn by T. Parker),30,42
