,QUARTER,TIME_REMAINING,UTAH_ACTION,LA CLIPPERS_ACTION,UTAH_SCORE,LA CLIPPERS_SCORE
0,1,11:38.0,Turnover by G. Hayward (lost ball),,0,0
1,1,11:20.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Griffin),0,3
2,1,10:59.0,Personal foul by M. Barnes (drawn by E. Freedom),,0,3
3,1,10:46.0,D. Favors makes 2-pt layup from 2 ft (assist by G. Hayward),,2,3
4,1,10:22.0,,B. Griffin misses 2-pt jump shot from 21 ft,2,3
5,1,10:21.0,,Offensive rebound by D. Jordan,2,3
6,1,10:08.0,,M. Barnes misses 2-pt jump shot from 19 ft,2,3
7,1,10:07.0,Defensive rebound by E. Freedom,,2,3
8,1,9:53.0,D. Favors misses 2-pt jump shot from 12 ft,,2,3
9,1,9:51.0,,Defensive rebound by C. Paul,2,3
10,1,9:42.0,,C. Paul misses 2-pt jump shot from 13 ft,2,3
11,1,9:41.0,,Offensive rebound by D. Jordan,2,3
12,1,9:40.0,,D. Jordan misses 2-pt layup from 2 ft,2,3
13,1,9:38.0,Defensive rebound by T. Burke,,2,3
14,1,9:31.0,G. Hayward misses 2-pt layup from 2 ft,,2,3
15,1,9:30.0,,Defensive rebound by J. Redick,2,3
16,1,9:23.0,,M. Barnes misses 3-pt jump shot from 23 ft,2,3
17,1,9:19.0,Defensive rebound by T. Burke,,2,3
18,1,9:04.0,E. Freedom misses 3-pt jump shot from 25 ft,,2,3
19,1,9:03.0,,Defensive rebound by B. Griffin,2,3
20,1,8:53.0,,Turnover by J. Redick (bad pass; steal by E. Freedom),2,3
21,1,8:49.0,Shooting foul by C. Paul (drawn by T. Burke),,2,3
22,1,8:49.0,T. Burke makes free throw 1 of 2,,3,3
23,1,8:49.0,T. Burke makes free throw 2 of 2,,4,3
24,1,8:35.0,,C. Paul makes 2-pt jump shot from 18 ft (assist by B. Griffin),4,5
25,1,8:19.0,A. Burks makes 3-pt jump shot from 24 ft (assist by G. Hayward),,7,5
26,1,8:08.0,,B. Griffin makes 2-pt jump shot from 22 ft (assist by C. Paul),7,7
27,1,7:50.0,A. Burks misses 2-pt jump shot from 8 ft,,7,7
28,1,7:48.0,,Defensive rebound by B. Griffin,7,7
29,1,7:37.0,,B. Griffin makes 2-pt jump shot from 19 ft (assist by J. Redick),7,9
30,1,7:18.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by T. Burke),,10,9
31,1,6:56.0,,M. Barnes makes 3-pt jump shot from 27 ft (assist by C. Paul),10,12
32,1,6:38.0,D. Favors makes 2-pt hook shot from 7 ft (assist by A. Burks),,12,12
33,1,6:22.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Griffin),12,15
34,1,6:11.0,Turnover by T. Burke (bad pass; steal by M. Barnes),,12,15
35,1,6:02.0,,J. Redick misses 3-pt jump shot from 28 ft,12,15
36,1,6:01.0,Defensive rebound by D. Favors,,12,15
37,1,5:49.0,Turnover by T. Burke (lost ball),,12,15
38,1,5:49.0,Loose ball foul by T. Burke (drawn by C. Paul),,12,15
39,1,5:49.0,,LA Clippers full timeout,12,15
40,1,5:49.0,R. Hood enters the game for G. Hayward,,12,15
41,1,5:38.0,,B. Griffin misses 2-pt jump shot from 18 ft,12,15
42,1,5:36.0,Defensive rebound by R. Hood,,12,15
43,1,5:19.0,A. Burks misses 3-pt jump shot from 26 ft,,12,15
44,1,5:17.0,Offensive rebound by E. Freedom,,12,15
45,1,5:17.0,E. Freedom misses 2-pt tip-in from 2 ft,,12,15
46,1,5:13.0,,Defensive rebound by B. Griffin,12,15
47,1,5:10.0,,Personal foul by D. Favors (drawn by D. Jordan),12,15
48,1,5:01.0,,M. Barnes misses 3-pt jump shot from 25 ft,12,15
49,1,5:00.0,Defensive rebound by D. Favors,,12,15
50,1,4:35.0,E. Freedom makes 2-pt hook shot from 8 ft (assist by T. Burke),,14,15
51,1,4:23.0,,J. Redick misses 2-pt jump shot from 18 ft,14,15
52,1,4:21.0,,Offensive rebound by D. Jordan,14,15
53,1,4:20.0,,Turnover by D. Jordan (bad pass),14,15
54,1,4:20.0,,J. Crawford enters the game for J. Redick,14,15
55,1,4:06.0,Turnover by A. Burks (lost ball),,14,15
56,1,4:06.0,,R. Bullock enters the game for M. Barnes,14,15
57,1,3:46.0,,R. Bullock misses 3-pt jump shot from 23 ft,14,15
58,1,3:45.0,Defensive rebound by A. Burks,,14,15
59,1,3:44.0,Turnover by A. Burks (bad pass; steal by C. Paul),,14,15
60,1,3:29.0,,J. Crawford makes 2-pt layup from 2 ft,14,17
61,1,3:10.0,E. Freedom makes 2-pt layup from 2 ft,,16,17
62,1,2:48.0,,B. Griffin makes 2-pt jump shot from 19 ft (assist by C. Paul),16,19
63,1,2:39.0,Utah full timeout,,16,19
64,1,2:39.0,T. Booker enters the game for D. Favors,,16,19
65,1,2:39.0,R. Gobert enters the game for E. Freedom,,16,19
66,1,2:39.0,D. Exum enters the game for T. Burke,,16,19
67,1,2:33.0,A. Burks misses 2-pt layup from 3 ft,,16,19
