,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,INDIANA_ACTION,PHILADELPHIA_SCORE,INDIANA_SCORE
0,1,11:43.0,,Turnover by D. Sloan (bad pass; steal by T. Wroten),0,0
1,1,11:42.0,Personal take foul by L. Scola (drawn by T. Wroten),,0,0
2,1,11:30.0,H. Thompson misses 3-pt jump shot from 26 ft,,0,0
3,1,11:28.0,,Defensive rebound by R. Hibbert,0,0
4,1,11:17.0,,C. Miles misses 2-pt jump shot from 21 ft,0,0
5,1,11:16.0,Defensive rebound by N. Noel,,0,0
6,1,11:10.0,T. Wroten makes 2-pt layup at rim,,2,0
7,1,10:53.0,,L. Scola makes 2-pt jump shot from 17 ft (assist by D. Sloan),2,2
8,1,10:32.0,C. Johnson makes 2-pt jump shot from 12 ft,,4,2
9,1,10:08.0,,S. Hill makes 3-pt jump shot from 26 ft (assist by D. Sloan),4,5
10,1,9:47.0,H. Sims makes 2-pt jump shot from 19 ft (assist by T. Wroten),,6,5
11,1,9:35.0,,Personal foul by H. Thompson (drawn by S. Hill),6,5
12,1,9:29.0,,Personal foul by N. Noel (drawn by L. Scola),6,5
13,1,9:22.0,,Turnover by L. Scola (lost ball; steal by T. Wroten),6,5
14,1,9:14.0,H. Sims makes 2-pt jump shot from 9 ft (assist by H. Thompson),,8,5
15,1,8:57.0,,C. Miles misses 2-pt jump shot from 17 ft,8,5
16,1,8:56.0,Defensive rebound by T. Wroten,,8,5
17,1,8:47.0,C. Johnson misses 3-pt jump shot from 24 ft,,8,5
18,1,8:45.0,,Defensive rebound by S. Hill,8,5
19,1,8:42.0,,Personal foul by H. Sims (drawn by R. Hibbert),8,5
20,1,8:32.0,,C. Miles misses 2-pt layup from 3 ft (block by N. Noel),8,5
21,1,8:31.0,Defensive rebound by N. Noel,,8,5
22,1,8:26.0,T. Wroten misses 2-pt layup from 1 ft (block by S. Hill),,8,5
23,1,8:24.0,,Defensive rebound by S. Hill,8,5
24,1,8:10.0,,Turnover by L. Scola (lost ball; steal by H. Thompson),8,5
25,1,7:59.0,Offensive foul by H. Sims (drawn by C. Miles),,8,5
26,1,7:59.0,Turnover by H. Sims (offensive foul),,8,5
27,1,7:59.0,B. Davies enters the game for H. Sims,,8,5
28,1,7:45.0,,C. Miles misses 2-pt jump shot from 20 ft,8,5
29,1,7:44.0,,Offensive rebound by R. Hibbert,8,5
30,1,7:25.0,,C. Miles misses 3-pt jump shot from 25 ft,8,5
31,1,7:24.0,,Offensive rebound by L. Scola,8,5
32,1,7:24.0,Loose ball foul by N. Noel (drawn by L. Scola),,8,5
33,1,7:20.0,,Turnover by S. Hill (bad pass; steal by T. Wroten),8,5
34,1,7:16.0,T. Wroten makes 2-pt dunk at rim,,10,5
35,1,7:09.0,,Offensive foul by D. Sloan (drawn by H. Thompson),10,5
36,1,7:09.0,,Turnover by D. Sloan (offensive foul),10,5
37,1,7:01.0,Turnover by C. Johnson (bad pass; steal by L. Scola),,10,5
38,1,6:58.0,,L. Scola makes 2-pt dunk at rim,10,7
39,1,6:38.0,C. Johnson makes 2-pt layup at rim (assist by T. Wroten),,12,7
40,1,6:24.0,,C. Miles misses 3-pt jump shot from 25 ft,12,7
41,1,6:23.0,,Offensive rebound by D. Sloan,12,7
42,1,6:20.0,,Shooting foul by B. Davies (drawn by R. Hibbert),12,7
43,1,6:20.0,,R. Hibbert makes free throw 1 of 2,12,8
44,1,6:20.0,,R. Hibbert makes free throw 2 of 2,12,9
45,1,6:20.0,Philadelphia full timeout,,12,9
46,1,6:10.0,B. Davies misses 2-pt jump shot from 3 ft (block by R. Hibbert),,12,9
47,1,6:08.0,Offensive rebound by B. Davies,,12,9
48,1,6:08.0,B. Davies makes 2-pt tip-in from 1 ft,,14,9
49,1,5:52.0,,Turnover by C. Miles (bad pass; steal by H. Thompson),14,9
50,1,5:49.0,T. Wroten makes 2-pt dunk at rim (assist by H. Thompson),,16,9
51,1,5:26.0,,L. Scola makes 2-pt jump shot from 20 ft (assist by S. Hill),16,11
52,1,5:06.0,N. Noel makes 2-pt hook shot from 8 ft,,18,11
53,1,4:47.0,,Turnover by R. Hibbert (bad pass; steal by H. Thompson),18,11
54,1,4:30.0,T. Wroten misses 2-pt jump shot from 11 ft,,18,11
55,1,4:30.0,Offensive rebound by Team,,18,11
56,1,4:30.0,,Loose ball foul by S. Hill (drawn by B. Davies),18,11
57,1,4:30.0,K. McDaniels enters the game for C. Johnson,,18,11
58,1,4:30.0,J. Sampson enters the game for N. Noel,,18,11
59,1,4:30.0,M. Thomas enters the game for H. Thompson,,18,11
60,1,4:30.0,,C. Copeland enters the game for S. Hill,18,11
61,1,4:14.0,T. Wroten misses 2-pt layup from 1 ft,,18,11
62,1,4:14.0,Offensive rebound by B. Davies,,18,11
63,1,4:14.0,B. Davies makes 2-pt tip-in at rim,,20,11
64,1,4:14.0,,Indiana full timeout,20,11
65,1,4:04.0,,Personal foul by B. Davies (drawn by R. Hibbert),20,11
66,1,4:04.0,,R. Hibbert misses free throw 1 of 2,20,11
67,1,4:04.0,,Offensive rebound by Team,20,11
68,1,4:04.0,,R. Hibbert makes free throw 2 of 2,20,12
69,1,3:48.0,J. Sampson misses 3-pt jump shot from 23 ft,,20,12
70,1,3:47.0,,Defensive rebound by D. Sloan,20,12
71,1,3:44.0,,Turnover by D. Sloan (step out of bounds),20,12
72,1,3:30.0,T. Wroten makes 2-pt layup at rim,,22,12
73,1,3:14.0,,D. Sloan makes 2-pt jump shot from 19 ft,22,14
74,1,3:01.0,Shooting foul by L. Scola (drawn by K. McDaniels),,22,14
75,1,3:01.0,K. McDaniels misses free throw 1 of 2,,22,14
76,1,3:01.0,Offensive rebound by Team,,22,14
77,1,3:01.0,A. Shved enters the game for T. Wroten,,22,14
78,1,3:01.0,,L. Allen enters the game for L. Scola,22,14
79,1,3:01.0,K. McDaniels misses free throw 2 of 2,,22,14
80,1,2:59.0,Offensive rebound by M. Thomas,,22,14
81,1,2:45.0,M. Thomas makes 2-pt dunk at rim (assist by A. Shved),,24,14
82,1,2:28.0,,Shooting foul by M. Thomas (drawn by R. Hibbert),24,14
83,1,2:28.0,,R. Hibbert makes free throw 1 of 2,24,15
84,1,2:28.0,,R. Hibbert makes free throw 2 of 2,24,16
85,1,2:11.0,J. Sampson misses 2-pt layup from 2 ft (block by R. Hibbert),,24,16
86,1,2:09.0,,Defensive rebound by C. Copeland,24,16
