,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA CLIPPERS_ACTION,SAN ANTONIO_SCORE,LA CLIPPERS_SCORE
0,1,11:46.0,,Shooting foul by T. Splitter (drawn by B. Griffin),0,0
1,1,11:46.0,,B. Griffin misses free throw 1 of 2,0,0
2,1,11:46.0,,Offensive rebound by Team,0,0
3,1,11:46.0,,B. Griffin makes free throw 2 of 2,0,1
4,1,11:24.0,T. Parker misses 2-pt jump shot from 14 ft,,0,1
5,1,11:23.0,,Defensive rebound by B. Griffin,0,1
6,1,11:17.0,,C. Paul misses 3-pt jump shot from 26 ft,0,1
7,1,11:16.0,Defensive rebound by T. Duncan,,0,1
8,1,11:03.0,T. Parker misses 2-pt jump shot from 19 ft,,0,1
9,1,11:01.0,,Defensive rebound by B. Griffin,0,1
10,1,10:57.0,,B. Griffin makes 2-pt layup from 2 ft,0,3
11,1,10:43.0,K. Leonard makes 2-pt jump shot from 14 ft (assist by D. Green),,2,3
12,1,10:23.0,,Turnover by J. Redick (traveling),2,3
13,1,10:07.0,T. Parker misses 2-pt jump shot from 20 ft,,2,3
14,1,10:06.0,,Defensive rebound by D. Jordan,2,3
15,1,9:51.0,,M. Barnes makes 3-pt jump shot from 26 ft (assist by C. Paul),2,6
16,1,9:31.0,Shooting foul by D. Jordan (drawn by T. Duncan),,2,6
17,1,9:31.0,T. Duncan misses free throw 1 of 2,,2,6
18,1,9:31.0,Offensive rebound by Team,,2,6
19,1,9:31.0,T. Duncan makes free throw 2 of 2,,3,6
20,1,9:18.0,,M. Barnes misses 3-pt jump shot from 28 ft,3,6
21,1,9:17.0,Defensive rebound by K. Leonard,,3,6
22,1,9:14.0,Shooting foul by M. Barnes (drawn by K. Leonard),,3,6
23,1,9:14.0,K. Leonard makes free throw 1 of 2,,4,6
24,1,9:14.0,K. Leonard makes free throw 2 of 2,,5,6
25,1,8:49.0,,B. Griffin makes 2-pt jump shot from 21 ft,5,8
26,1,8:39.0,K. Leonard misses 2-pt jump shot from 10 ft,,5,8
27,1,8:37.0,Offensive rebound by T. Splitter,,5,8
28,1,8:33.0,D. Green misses 3-pt jump shot from 26 ft,,5,8
29,1,8:32.0,,Defensive rebound by D. Jordan,5,8
30,1,8:17.0,,J. Redick makes 2-pt jump shot from 10 ft (assist by B. Griffin),5,10
31,1,8:09.0,Personal foul by M. Barnes (drawn by T. Splitter),,5,10
32,1,7:58.0,T. Splitter misses 2-pt layup from 3 ft (block by M. Barnes),,5,10
33,1,7:57.0,,Defensive rebound by Team,5,10
34,1,7:45.0,,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),5,12
35,1,7:45.0,San Antonio full timeout,,5,12
36,1,7:45.0,B. Diaw enters the game for T. Splitter,,5,12
37,1,7:31.0,Turnover by T. Parker (bad pass; steal by C. Paul),,5,12
38,1,7:22.0,,D. Jordan misses 2-pt hook shot from 5 ft,5,12
39,1,7:19.0,Defensive rebound by B. Diaw,,5,12
40,1,7:06.0,K. Leonard makes 2-pt jump shot from 12 ft (assist by D. Green),,7,12
41,1,6:48.0,,B. Griffin makes 2-pt jump shot from 5 ft (assist by C. Paul),7,14
42,1,6:30.0,T. Parker makes 2-pt jump shot from 6 ft,,9,14
43,1,6:09.0,,J. Redick misses 2-pt jump shot from 12 ft,9,14
44,1,6:07.0,Defensive rebound by T. Duncan,,9,14
45,1,5:54.0,D. Green misses 3-pt jump shot from 26 ft,,9,14
46,1,5:53.0,,Defensive rebound by B. Griffin,9,14
