,QUARTER,TIME_REMAINING,MIAMI_ACTION,INDIANA_ACTION,MIAMI_SCORE,INDIANA_SCORE
0,1,11:44.0,,C. Miles makes 3-pt jump shot from 28 ft (assist by G. Hill),0,3
1,1,11:21.0,U. Haslem misses 2-pt jump shot from 14 ft,,0,3
2,1,11:20.0,,Defensive rebound by C. Miles,0,3
3,1,11:05.0,,S. Hill makes 2-pt layup at rim (assist by G. Hill),0,5
4,1,10:49.0,D. Wade misses 2-pt jump shot from 20 ft,,0,5
5,1,10:48.0,,Defensive rebound by G. Hill,0,5
6,1,10:35.0,,R. Hibbert misses 2-pt jump shot from 9 ft (block by H. Walker),0,5
7,1,10:33.0,,Offensive rebound by R. Hibbert,0,5
8,1,10:31.0,,R. Hibbert misses 2-pt layup from 2 ft,0,5
9,1,10:30.0,,Offensive rebound by R. Hibbert,0,5
10,1,10:30.0,,R. Hibbert misses 2-pt tip-in from 2 ft,0,5
11,1,10:29.0,Defensive rebound by Team,,0,5
12,1,10:18.0,Turnover by D. Wade (bad pass; steal by G. Hill),,0,5
13,1,10:14.0,,Shooting foul by H. Walker (drawn by D. West),0,5
14,1,10:14.0,,D. West makes free throw 1 of 2,0,6
15,1,10:14.0,,D. West makes free throw 2 of 2,0,7
16,1,10:02.0,H. Walker misses 3-pt jump shot from 27 ft,,0,7
17,1,10:01.0,,Defensive rebound by S. Hill,0,7
18,1,9:57.0,,Shooting foul by L. Deng (drawn by S. Hill),0,7
19,1,9:57.0,,S. Hill makes free throw 1 of 2,0,8
20,1,9:57.0,,S. Hill makes free throw 2 of 2,0,9
21,1,9:47.0,L. Deng misses 2-pt layup at rim (block by R. Hibbert),,0,9
22,1,9:45.0,Offensive rebound by U. Haslem,,0,9
23,1,9:43.0,U. Haslem makes 2-pt layup at rim,,2,9
24,1,9:21.0,,R. Hibbert misses 2-pt layup at rim (block by U. Haslem),2,9
25,1,9:20.0,Defensive rebound by L. Deng,,2,9
26,1,9:09.0,Turnover by L. Deng (3 sec),,2,9
27,1,8:59.0,,D. West misses 2-pt jump shot from 17 ft,2,9
28,1,8:58.0,Defensive rebound by L. Deng,,2,9
29,1,8:43.0,G. Dragić makes 2-pt layup at rim,,4,9
30,1,8:43.0,Shooting foul by G. Hill (drawn by G. Dragić),,4,9
31,1,8:43.0,G. Dragić makes free throw 1 of 1,,5,9
32,1,8:33.0,,C. Miles misses 3-pt jump shot from 25 ft,5,9
33,1,8:32.0,Defensive rebound by U. Haslem,,5,9
34,1,8:20.0,L. Deng makes 2-pt dunk at rim (assist by G. Dragić),,7,9
35,1,8:20.0,Shooting foul by D. West (drawn by L. Deng),,7,9
36,1,8:20.0,L. Deng makes free throw 1 of 1,,8,9
37,1,7:57.0,,D. West misses 3-pt jump shot from 26 ft,8,9
38,1,7:55.0,Defensive rebound by L. Deng,,8,9
39,1,7:53.0,Offensive foul by H. Walker (drawn by S. Hill),,8,9
40,1,7:53.0,Turnover by H. Walker (offensive foul),,8,9
41,1,7:53.0,M. Beasley enters the game for H. Walker,,8,9
42,1,7:38.0,,S. Hill makes 3-pt jump shot from 27 ft (assist by G. Hill),8,12
43,1,7:24.0,D. Wade misses 2-pt jump shot from 10 ft,,8,12
44,1,7:23.0,,Defensive rebound by S. Hill,8,12
45,1,7:07.0,,D. West misses 2-pt jump shot from 12 ft,8,12
46,1,7:07.0,Defensive rebound by U. Haslem,,8,12
47,1,6:56.0,L. Deng misses 3-pt jump shot from 26 ft,,8,12
48,1,6:55.0,,Defensive rebound by S. Hill,8,12
49,1,6:43.0,,Turnover by R. Hibbert (lost ball; steal by L. Deng),8,12
50,1,6:33.0,Turnover by U. Haslem (bad pass),,8,12
51,1,6:33.0,,Indiana full timeout,8,12
52,1,6:33.0,M. Chalmers enters the game for G. Dragić,,8,12
53,1,6:15.0,,Shooting foul by U. Haslem (drawn by D. West),8,12
54,1,6:15.0,,D. West makes free throw 1 of 2,8,13
55,1,6:15.0,,D. West misses free throw 2 of 2,8,13
56,1,6:15.0,Defensive rebound by M. Beasley,,8,13
57,1,5:56.0,D. Wade makes 2-pt jump shot from 7 ft,,10,13
