,QUARTER,TIME_REMAINING,NEW YORK_ACTION,OKLAHOMA CITY_ACTION,NEW YORK_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),0,2
1,1,11:23.0,J. Smith misses 2-pt jump shot from 19 ft,,0,2
2,1,11:22.0,,Defensive rebound by S. Adams,0,2
3,1,11:16.0,,L. Thomas makes 2-pt jump shot from 14 ft (assist by R. Westbrook),0,4
4,1,10:52.0,S. Dalembert makes 2-pt dunk at rim (assist by J. Calderón),,2,4
5,1,10:35.0,,S. Ibaka makes 2-pt jump shot from 19 ft (assist by R. Westbrook),2,6
6,1,10:20.0,Shooting foul by S. Adams (drawn by S. Dalembert),,2,6
7,1,10:20.0,S. Dalembert makes 2-pt jump shot from 3 ft,,4,6
8,1,10:20.0,S. Dalembert makes free throw 1 of 1,,5,6
9,1,10:06.0,,S. Ibaka misses 3-pt jump shot from 23 ft,5,6
10,1,10:05.0,,Offensive rebound by Team,5,6
11,1,10:05.0,Loose ball foul by S. Dalembert (drawn by S. Adams),,5,6
12,1,9:58.0,,R. Westbrook makes 2-pt dunk at rim,5,8
13,1,9:52.0,I. Shumpert misses 3-pt jump shot from 24 ft,,5,8
14,1,9:48.0,,Defensive rebound by S. Adams,5,8
15,1,9:41.0,,L. Thomas misses 2-pt layup from 2 ft (block by S. Dalembert),5,8
16,1,9:41.0,,Offensive rebound by S. Ibaka,5,8
17,1,9:41.0,,Shooting foul by Q. Acy (drawn by S. Ibaka),5,8
18,1,9:41.0,,S. Ibaka makes free throw 1 of 2,5,9
19,1,9:41.0,,S. Ibaka misses free throw 2 of 2,5,9
20,1,9:40.0,Defensive rebound by S. Dalembert,,5,9
21,1,9:31.0,Personal foul by L. Thomas (drawn by Q. Acy),,5,9
22,1,9:16.0,Q. Acy misses 2-pt jump shot from 11 ft,,5,9
23,1,9:15.0,Offensive rebound by J. Smith,,5,9
24,1,9:11.0,J. Calderón misses 3-pt jump shot from 24 ft,,5,9
25,1,9:10.0,,Defensive rebound by S. Adams,5,9
26,1,9:03.0,,R. Westbrook misses 2-pt jump shot from 16 ft,5,9
27,1,9:02.0,Defensive rebound by S. Dalembert,,5,9
