,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MILWAUKEE_ACTION,CHARLOTTE_SCORE,MILWAUKEE_SCORE
0,1,11:48.0,,B. Knight misses 3-pt jump shot from 24 ft,0,0
1,1,11:47.0,,Offensive rebound by Team,0,0
2,1,11:47.0,Loose ball foul by M. Kidd-Gilchrist (drawn by J. O'Bryant),,0,0
3,1,11:39.0,,Turnover by B. Knight (bad pass),0,0
4,1,11:24.0,G. Henderson misses 2-pt jump shot from 18 ft,,0,0
5,1,11:23.0,,Defensive rebound by G. Antetokounmpo,0,0
6,1,11:12.0,,J. O'Bryant misses 2-pt jump shot from 19 ft,0,0
7,1,11:10.0,Defensive rebound by G. Henderson,,0,0
8,1,10:59.0,M. Kidd-Gilchrist makes 2-pt jump shot from 6 ft,,2,0
9,1,10:45.0,,O. Mayo misses 2-pt jump shot from 18 ft,2,0
10,1,10:44.0,Defensive rebound by Team,,2,0
11,1,10:19.0,A. Jefferson makes 2-pt jump shot from 17 ft (assist by G. Henderson),,4,0
12,1,10:06.0,,J. O'Bryant makes 2-pt jump shot from 17 ft (assist by B. Knight),4,2
13,1,9:47.0,Turnover by C. Zeller (bad pass; steal by O. Mayo),,4,2
14,1,9:42.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by O. Mayo),4,4
15,1,9:30.0,Shooting block foul by B. Knight (drawn by C. Zeller),,4,4
16,1,9:30.0,C. Zeller makes free throw 1 of 2,,5,4
17,1,9:30.0,C. Zeller makes free throw 2 of 2,,6,4
18,1,9:21.0,,B. Knight misses 3-pt jump shot from 24 ft,6,4
19,1,9:21.0,Defensive rebound by Team,,6,4
20,1,9:02.0,M. Kidd-Gilchrist misses 2-pt jump shot from 19 ft,,6,4
21,1,9:00.0,,Defensive rebound by L. Sanders,6,4
22,1,8:52.0,,L. Sanders makes 2-pt layup from 2 ft (assist by O. Mayo),6,6
23,1,8:41.0,A. Jefferson makes 2-pt layup from 1 ft (assist by K. Walker),,8,6
24,1,8:21.0,,B. Knight makes 3-pt jump shot from 23 ft (assist by J. O'Bryant),8,9
25,1,8:08.0,K. Walker makes 2-pt jump shot from 7 ft,,10,9
26,1,8:02.0,,B. Knight makes 2-pt layup from 1 ft,10,11
27,1,8:02.0,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Knight),10,11
28,1,8:02.0,,B. Knight makes free throw 1 of 1,10,12
29,1,7:50.0,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by A. Jefferson),,12,12
30,1,7:28.0,,Turnover by B. Knight (bad pass),12,12
31,1,7:27.0,Shooting foul by O. Mayo (drawn by G. Henderson),,12,12
32,1,7:27.0,G. Henderson makes free throw 1 of 2,,13,12
33,1,7:27.0,G. Henderson makes free throw 2 of 2,,14,12
34,1,7:14.0,,O. Mayo makes 3-pt jump shot from 23 ft (assist by B. Knight),14,15
35,1,7:08.0,Charlotte full timeout,,14,15
36,1,6:57.0,Personal foul by L. Sanders (drawn by G. Henderson),,14,15
37,1,6:51.0,A. Jefferson misses 2-pt jump shot from 13 ft,,14,15
38,1,6:50.0,,Defensive rebound by J. O'Bryant,14,15
39,1,6:33.0,,L. Sanders misses 2-pt layup from 2 ft,14,15
40,1,6:32.0,Defensive rebound by A. Jefferson,,14,15
41,1,6:24.0,K. Walker misses 3-pt jump shot from 26 ft,,14,15
42,1,6:22.0,,Defensive rebound by G. Antetokounmpo,14,15
43,1,6:10.0,,J. O'Bryant makes 2-pt hook shot from 6 ft,14,17
44,1,6:02.0,Personal foul by J. O'Bryant (drawn by K. Walker),,14,17
45,1,6:02.0,,E. İlyasova enters the game for J. O'Bryant,14,17
46,1,6:02.0,P. Hairston enters the game for M. Kidd-Gilchrist,,14,17
47,1,5:57.0,G. Henderson makes 2-pt jump shot from 18 ft,,16,17
48,1,5:46.0,,O. Mayo misses 2-pt jump shot from 21 ft,16,17
49,1,5:44.0,Defensive rebound by A. Jefferson,,16,17
50,1,5:33.0,A. Jefferson makes 2-pt layup from 2 ft (assist by K. Walker),,18,17
51,1,5:22.0,,B. Knight misses 2-pt jump shot from 5 ft,18,17
52,1,5:20.0,,Offensive rebound by L. Sanders,18,17
53,1,5:20.0,,L. Sanders misses 2-pt tip-in from 1 ft,18,17
54,1,5:20.0,,Offensive rebound by L. Sanders,18,17
55,1,5:20.0,,Shooting foul by K. Walker (drawn by L. Sanders),18,17
56,1,5:20.0,,L. Sanders makes free throw 1 of 2,18,18
57,1,5:20.0,M. Williams enters the game for C. Zeller,,18,18
58,1,5:20.0,,L. Sanders makes free throw 2 of 2,18,19
59,1,5:05.0,P. Hairston misses 3-pt jump shot from 25 ft,,18,19
60,1,5:04.0,,Defensive rebound by E. İlyasova,18,19
61,1,4:52.0,,Turnover by E. İlyasova (lost ball; steal by M. Williams),18,19
62,1,4:40.0,K. Walker makes 2-pt layup from 2 ft (assist by M. Williams),,20,19
63,1,4:25.0,,B. Knight makes 2-pt jump shot from 12 ft,20,21
64,1,4:08.0,Turnover by P. Hairston (step out of bounds),,20,21
65,1,4:08.0,,Z. Pachulia enters the game for L. Sanders,20,21
66,1,3:52.0,,B. Knight makes 2-pt jump shot from 18 ft,20,23
67,1,3:31.0,A. Jefferson misses 2-pt jump shot from 16 ft,,20,23
68,1,3:30.0,,Defensive rebound by O. Mayo,20,23
69,1,3:27.0,,Shooting block foul by P. Hairston (drawn by G. Antetokounmpo),20,23
70,1,3:27.0,,G. Antetokounmpo makes free throw 1 of 2,20,24
71,1,3:27.0,G. Neal enters the game for G. Henderson,,20,24
72,1,3:27.0,B. Biyombo enters the game for A. Jefferson,,20,24
73,1,3:27.0,,G. Antetokounmpo makes free throw 2 of 2,20,25
