,QUARTER,TIME_REMAINING,DETROIT_ACTION,OKLAHOMA CITY_ACTION,DETROIT_SCORE,OKLAHOMA CITY_SCORE
0,1,11:33.0,G. Monroe makes 2-pt jump shot from 7 ft (assist by B. Jennings),,2,0
1,1,11:19.0,,J. Lamb makes 2-pt jump shot from 15 ft,2,2
2,1,10:57.0,Shooting foul by J. Lamb (drawn by K. Caldwell-Pope),,2,2
3,1,10:57.0,K. Caldwell-Pope misses free throw 1 of 2,,2,2
4,1,10:57.0,Offensive rebound by Team,,2,2
5,1,10:57.0,K. Caldwell-Pope makes free throw 2 of 2,,3,2
6,1,10:42.0,,S. Adams makes 2-pt hook shot from 8 ft (assist by R. Jackson),3,4
7,1,10:26.0,G. Monroe makes 2-pt jump shot from 3 ft,,5,4
8,1,10:10.0,,R. Jackson misses 2-pt jump shot from 19 ft,5,4
9,1,10:09.0,,Offensive rebound by S. Ibaka,5,4
10,1,10:07.0,,S. Ibaka misses 2-pt hook shot from 3 ft,5,4
11,1,10:05.0,Defensive rebound by J. Smith,,5,4
12,1,9:49.0,J. Smith makes 3-pt jump shot from 22 ft (assist by A. Drummond),,8,4
13,1,9:36.0,,S. Ibaka misses 3-pt jump shot from 24 ft,8,4
14,1,9:35.0,Defensive rebound by A. Drummond,,8,4
15,1,9:20.0,K. Caldwell-Pope makes 2-pt jump shot from 10 ft,,10,4
16,1,9:05.0,,S. Adams misses 2-pt jump shot from 5 ft,10,4
17,1,9:04.0,Defensive rebound by J. Smith,,10,4
18,1,8:42.0,B. Jennings misses 2-pt jump shot from 3 ft,,10,4
19,1,8:41.0,Offensive rebound by G. Monroe,,10,4
20,1,8:39.0,G. Monroe makes 2-pt layup from 1 ft,,12,4
21,1,8:35.0,,Oklahoma City full timeout,12,4
22,1,8:28.0,,R. Jackson makes 2-pt jump shot from 15 ft,12,6
23,1,8:05.0,G. Monroe misses 2-pt hook shot from 4 ft,,12,6
24,1,8:04.0,Offensive rebound by G. Monroe,,12,6
25,1,7:59.0,Turnover by G. Monroe (bad pass; steal by J. Lamb),,12,6
26,1,7:45.0,,J. Lamb makes 3-pt jump shot from 24 ft (assist by L. Thomas),12,9
27,1,7:27.0,A. Drummond misses 2-pt jump shot from 4 ft,,12,9
28,1,7:24.0,Offensive rebound by A. Drummond,,12,9
29,1,7:21.0,Turnover by A. Drummond (bad pass; steal by J. Lamb),,12,9
30,1,7:15.0,,L. Thomas misses 2-pt layup from 1 ft (block by B. Jennings),12,9
31,1,7:14.0,Defensive rebound by B. Jennings,,12,9
32,1,7:10.0,A. Drummond makes 2-pt layup from 1 ft (assist by B. Jennings),,14,9
33,1,6:53.0,,J. Lamb makes 2-pt layup from 1 ft (assist by R. Jackson),14,11
34,1,6:42.0,B. Jennings makes 2-pt layup from 1 ft,,16,11
35,1,6:20.0,,S. Ibaka misses 2-pt jump shot from 16 ft,16,11
36,1,6:19.0,Defensive rebound by B. Jennings,,16,11
37,1,6:14.0,J. Smith makes 2-pt dunk at rim (assist by B. Jennings),,18,11
38,1,5:58.0,,Personal foul by B. Jennings (drawn by R. Jackson),18,11
39,1,5:58.0,,K. Perkins enters the game for S. Adams,18,11
40,1,5:58.0,C. Butler enters the game for G. Monroe,,18,11
41,1,5:47.0,,R. Jackson makes 3-pt jump shot from 24 ft (assist by J. Lamb),18,14
42,1,5:30.0,J. Smith makes 2-pt layup at rim (assist by K. Caldwell-Pope),,20,14
