,QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA LAKERS_ACTION,PORTLAND_SCORE,LA LAKERS_SCORE
0,1,11:42.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. Lillard),,2,0
1,1,11:29.0,,W. Johnson misses 2-pt jump shot from 21 ft,2,0
2,1,11:27.0,Defensive rebound by C. Kaman,,2,0
3,1,11:18.0,C. Kaman makes 2-pt hook shot from 6 ft (assist by D. Lillard),,4,0
4,1,11:01.0,,Turnover by R. Price (bad pass; steal by W. Matthews),4,0
5,1,10:56.0,Turnover by W. Matthews (bad pass),,4,0
6,1,10:46.0,,W. Ellington misses 2-pt jump shot from 17 ft,4,0
7,1,10:44.0,Defensive rebound by L. Aldridge,,4,0
8,1,10:38.0,D. Lillard misses 2-pt jump shot from 20 ft,,4,0
9,1,10:37.0,,Defensive rebound by W. Johnson,4,0
10,1,10:24.0,,W. Johnson misses 2-pt jump shot from 20 ft,4,0
11,1,10:23.0,Defensive rebound by D. Lillard,,4,0
12,1,10:10.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. Lillard),,6,0
13,1,9:49.0,,R. Price makes 2-pt jump shot from 10 ft,6,2
14,1,9:30.0,N. Batum misses 3-pt jump shot from 26 ft,,6,2
15,1,9:28.0,,Defensive rebound by J. Hill,6,2
16,1,9:16.0,,E. Davis misses 2-pt layup from 2 ft,6,2
17,1,9:15.0,Defensive rebound by C. Kaman,,6,2
18,1,9:06.0,Turnover by W. Matthews (traveling),,6,2
19,1,8:48.0,,W. Ellington misses 2-pt jump shot from 21 ft,6,2
20,1,8:46.0,Defensive rebound by Team,,6,2
21,1,8:34.0,Turnover by D. Lillard (lost ball; steal by R. Price),,6,2
22,1,8:26.0,,E. Davis misses 2-pt dunk at rim,6,2
23,1,8:21.0,Defensive rebound by C. Kaman,,6,2
24,1,8:15.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by N. Batum),,9,2
25,1,7:54.0,,W. Johnson makes 3-pt jump shot from 27 ft (assist by E. Davis),9,5
26,1,7:27.0,C. Kaman misses 2-pt jump shot from 18 ft,,9,5
27,1,7:26.0,,Defensive rebound by E. Davis,9,5
28,1,7:20.0,,R. Price misses 2-pt jump shot from 16 ft,9,5
29,1,7:16.0,Defensive rebound by N. Batum,,9,5
