,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MILWAUKEE_ACTION,PORTLAND_SCORE,MILWAUKEE_SCORE
0,1,11:36.0,,B. Knight misses 2-pt jump shot from 19 ft,0,0
1,1,11:35.0,Defensive rebound by L. Aldridge,,0,0
2,1,11:23.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by D. Lillard),,2,0
3,1,11:07.0,,K. Middleton makes 2-pt jump shot from 15 ft,2,2
4,1,10:55.0,M. Leonard makes 2-pt layup at rim (assist by N. Batum),,4,2
5,1,10:42.0,,J. Henson misses 2-pt hook shot from 7 ft,4,2
6,1,10:41.0,Defensive rebound by L. Aldridge,,4,2
7,1,10:21.0,D. Lillard misses 3-pt jump shot from 26 ft,,4,2
8,1,10:20.0,Offensive rebound by N. Batum,,4,2
9,1,10:09.0,Turnover by W. Matthews (lost ball; steal by G. Antetokounmpo),,4,2
10,1,10:02.0,,B. Knight misses 3-pt jump shot from 23 ft,4,2
11,1,10:01.0,Defensive rebound by M. Leonard,,4,2
12,1,9:55.0,N. Batum makes 2-pt layup at rim,,6,2
13,1,9:37.0,,J. Henson makes 2-pt layup from 2 ft (assist by B. Knight),6,4
14,1,9:18.0,Turnover by N. Batum (lost ball; steal by K. Middleton),,6,4
15,1,9:14.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by B. Knight),6,6
16,1,8:50.0,Personal foul by G. Antetokounmpo (drawn by D. Lillard),,6,6
17,1,8:41.0,Turnover by L. Aldridge (bad pass),,6,6
18,1,8:29.0,,Turnover by J. Henson (lost ball; steal by D. Lillard),6,6
19,1,8:26.0,Turnover by W. Matthews (lost ball; steal by B. Knight),,6,6
20,1,8:21.0,,K. Middleton misses 2-pt jump shot from 19 ft,6,6
21,1,8:20.0,Defensive rebound by N. Batum,,6,6
22,1,8:17.0,D. Lillard misses 2-pt layup at rim (block by J. Henson),,6,6
23,1,8:13.0,,Defensive rebound by J. Dudley,6,6
24,1,8:03.0,,J. Henson makes 2-pt layup from 1 ft (assist by B. Knight),6,8
25,1,7:40.0,M. Leonard makes 2-pt layup at rim,,8,8
26,1,7:33.0,,J. Dudley misses 3-pt jump shot from 25 ft,8,8
27,1,7:32.0,Defensive rebound by D. Lillard,,8,8
28,1,7:27.0,Turnover by D. Lillard (lost ball; steal by B. Knight),,8,8
29,1,7:23.0,,B. Knight misses 2-pt layup at rim,8,8
30,1,7:21.0,,Offensive rebound by J. Dudley,8,8
31,1,7:19.0,,J. Dudley misses 2-pt jump shot from 6 ft,8,8
32,1,7:19.0,Defensive rebound by Team,,8,8
33,1,7:06.0,Personal block foul by K. Middleton (drawn by W. Matthews),,8,8
34,1,6:59.0,W. Matthews misses 2-pt jump shot from 9 ft,,8,8
35,1,6:59.0,,Defensive rebound by Team,8,8
36,1,6:59.0,Loose ball foul by L. Aldridge (drawn by J. Henson),,8,8
37,1,6:38.0,,Turnover by K. Middleton (lost ball; steal by D. Lillard),8,8
38,1,6:33.0,M. Leonard misses 2-pt layup at rim,,8,8
39,1,6:31.0,,Defensive rebound by J. Henson,8,8
40,1,6:24.0,,J. Dudley makes 3-pt jump shot from 25 ft (assist by B. Knight),8,11
41,1,6:04.0,L. Aldridge misses 2-pt jump shot from 19 ft,,8,11
42,1,6:03.0,,Defensive rebound by G. Antetokounmpo,8,11
43,1,5:53.0,,K. Middleton misses 3-pt jump shot from 23 ft,8,11
44,1,5:52.0,,Offensive rebound by J. Dudley,8,11
45,1,5:46.0,,K. Middleton makes 2-pt jump shot from 15 ft (assist by J. Dudley),8,13
46,1,5:40.0,Portland full timeout,,8,13
47,1,5:40.0,C. McCollum enters the game for W. Matthews,,8,13
48,1,5:30.0,D. Lillard makes 2-pt layup from 1 ft,,10,13
49,1,5:10.0,,B. Knight makes 3-pt jump shot from 25 ft,10,16
50,1,4:59.0,Turnover by N. Batum (traveling),,10,16
51,1,4:55.0,C. Kaman enters the game for M. Leonard,,10,16
52,1,4:53.0,,Personal foul by C. McCollum (drawn by K. Middleton),10,16
53,1,4:43.0,,J. Dudley makes 3-pt jump shot from 27 ft (assist by K. Middleton),10,19
