,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,TORONTO_ACTION,MEMPHIS_SCORE,TORONTO_SCORE
0,1,11:42.0,Z. Randolph misses 2-pt hook shot from 5 ft,,0,0
1,1,11:41.0,,Defensive rebound by J. Valančiūnas,0,0
2,1,11:26.0,,J. Valančiūnas makes 2-pt jump shot from 15 ft (assist by K. Lowry),0,2
3,1,10:57.0,T. Prince misses 2-pt jump shot from 13 ft,,0,2
4,1,10:56.0,,Defensive rebound by K. Lowry,0,2
5,1,10:38.0,,K. Lowry makes 3-pt jump shot from 24 ft,0,5
6,1,10:26.0,M. Conley misses 2-pt jump shot from 7 ft,,0,5
7,1,10:25.0,,Defensive rebound by J. Valančiūnas,0,5
8,1,10:22.0,,Turnover by J. Valančiūnas (bad pass; steal by Z. Randolph),0,5
9,1,10:10.0,Z. Randolph misses 2-pt jump shot from 5 ft (block by J. Valančiūnas),,0,5
10,1,10:09.0,,Defensive rebound by D. DeRozan,0,5
11,1,9:59.0,,Shooting foul by M. Gasol (drawn by J. Valančiūnas),0,5
12,1,9:59.0,,J. Valančiūnas makes free throw 1 of 2,0,6
13,1,9:59.0,,J. Valančiūnas makes free throw 2 of 2,0,7
14,1,9:37.0,Q. Pondexter misses 3-pt jump shot from 26 ft,,0,7
15,1,9:36.0,,Defensive rebound by D. DeRozan,0,7
16,1,9:20.0,,A. Johnson makes 2-pt hook shot from 3 ft (assist by K. Lowry),0,9
17,1,8:59.0,M. Gasol makes 2-pt jump shot from 5 ft,,2,9
18,1,8:34.0,,A. Johnson misses 3-pt jump shot from 25 ft,2,9
19,1,8:33.0,Defensive rebound by M. Gasol,,2,9
20,1,8:20.0,Z. Randolph makes 2-pt hook shot from 5 ft (assist by Q. Pondexter),,4,9
21,1,8:00.0,,J. Valančiūnas misses 2-pt hook shot from 4 ft,4,9
22,1,7:59.0,Defensive rebound by Z. Randolph,,4,9
23,1,7:52.0,Q. Pondexter misses 3-pt jump shot from 22 ft,,4,9
24,1,7:51.0,,Defensive rebound by K. Lowry,4,9
25,1,7:39.0,,T. Ross misses 2-pt jump shot from 15 ft (block by Q. Pondexter),4,9
26,1,7:37.0,Defensive rebound by T. Prince,,4,9
27,1,7:32.0,M. Conley makes 2-pt jump shot from 17 ft (assist by T. Prince),,6,9
28,1,7:08.0,,D. DeRozan misses 2-pt jump shot from 19 ft,6,9
29,1,7:07.0,Defensive rebound by M. Conley,,6,9
30,1,6:57.0,Q. Pondexter makes 2-pt dunk at rim (assist by M. Gasol),,8,9
31,1,6:38.0,,D. DeRozan makes 2-pt jump shot from 18 ft (assist by A. Johnson),8,11
32,1,6:15.0,M. Gasol misses 2-pt jump shot from 11 ft,,8,11
33,1,6:14.0,,Defensive rebound by D. DeRozan,8,11
34,1,6:06.0,,T. Ross misses 3-pt jump shot from 22 ft,8,11
35,1,6:05.0,Defensive rebound by M. Gasol,,8,11
36,1,6:00.0,M. Conley misses 2-pt layup from 4 ft (block by J. Valančiūnas),,8,11
37,1,5:58.0,Offensive rebound by M. Conley,,8,11
38,1,5:54.0,Turnover by T. Prince (lost ball),,8,11
39,1,5:54.0,,Toronto full timeout,8,11
40,1,5:37.0,,K. Lowry misses 2-pt jump shot from 15 ft,8,11
41,1,5:36.0,Defensive rebound by M. Conley,,8,11
42,1,5:27.0,T. Prince makes 2-pt dunk at rim (assist by M. Conley),,10,11
43,1,5:08.0,,D. DeRozan makes 2-pt jump shot from 13 ft (assist by K. Lowry),10,13
44,1,4:43.0,Q. Pondexter misses 2-pt jump shot from 10 ft,,10,13
45,1,4:41.0,,Defensive rebound by A. Johnson,10,13
46,1,4:30.0,,Personal foul by M. Conley (drawn by D. DeRozan),10,13
47,1,4:30.0,V. Carter enters the game for Q. Pondexter,,10,13
48,1,4:23.0,,D. DeRozan makes 2-pt jump shot from 19 ft (assist by K. Lowry),10,15
49,1,4:01.0,T. Prince makes 2-pt dunk at rim (assist by V. Carter),,12,15
50,1,3:30.0,,T. Ross misses 3-pt jump shot from 22 ft,12,15
51,1,3:29.0,Defensive rebound by Z. Randolph,,12,15
52,1,3:22.0,Turnover by M. Conley (bad pass; steal by D. DeRozan),,12,15
53,1,3:10.0,,K. Lowry misses 3-pt jump shot from 24 ft,12,15
54,1,3:09.0,Defensive rebound by M. Gasol,,12,15
55,1,2:56.0,M. Gasol makes 2-pt jump shot from 16 ft (assist by M. Conley),,14,15
56,1,2:39.0,,J. Valančiūnas misses 2-pt jump shot from 16 ft,14,15
57,1,2:38.0,Defensive rebound by M. Conley,,14,15
58,1,2:23.0,M. Gasol makes 2-pt hook shot from 5 ft,,16,15
59,1,2:14.0,,Toronto full timeout,16,15
60,1,2:14.0,Memphis full timeout,,16,15
61,1,2:14.0,,G. Vásquez enters the game for T. Ross,16,15
62,1,2:14.0,,P. Patterson enters the game for J. Valančiūnas,16,15
63,1,2:14.0,K. Lucas enters the game for M. Conley,,16,15
64,1,2:00.0,,A. Johnson makes 2-pt layup from 2 ft (assist by K. Lowry),16,17
65,1,1:42.0,M. Gasol misses 2-pt hook shot from 5 ft,,16,17
66,1,1:41.0,Offensive rebound by Z. Randolph,,16,17
67,1,1:40.0,Z. Randolph makes 2-pt hook shot from 1 ft,,18,17
68,1,1:28.0,,G. Vásquez misses 3-pt jump shot from 25 ft (block by V. Carter),18,17
69,1,1:27.0,Defensive rebound by Z. Randolph,,18,17
70,1,1:11.0,T. Prince makes 2-pt jump shot from 19 ft (assist by V. Carter),,20,17
71,1,0:49.0,,D. DeRozan makes 2-pt jump shot from 14 ft,20,19
72,1,0:32.0,K. Lucas misses 2-pt jump shot from 14 ft,,20,19
73,1,0:32.0,Offensive rebound by Team,,20,19
74,1,0:32.0,,Loose ball foul by G. Vásquez (drawn by Z. Randolph),20,19
75,1,0:32.0,,L. Williams enters the game for K. Lowry,20,19
76,1,0:32.0,M. Conley enters the game for K. Lucas,,20,19
77,1,0:32.0,J. Adams enters the game for T. Prince,,20,19
78,1,0:32.0,,T. Hansbrough enters the game for A. Johnson,20,19
79,1,0:16.0,Z. Randolph misses 2-pt jump shot from 20 ft,,20,19
80,1,0:15.0,,Defensive rebound by L. Williams,20,19
81,1,0:00.0,,G. Vásquez makes 3-pt jump shot from 27 ft (assist by L. Williams),20,22
82,2,11:46.0,,P. Patterson makes 3-pt jump shot from 26 ft (assist by G. Vásquez),20,25
83,2,11:28.0,V. Carter misses 3-pt jump shot from 27 ft,,20,25
84,2,11:27.0,,Defensive rebound by L. Williams,20,25
85,2,11:21.0,,Personal foul by J. Adams (drawn by L. Williams),20,25
86,2,11:08.0,,G. Vásquez misses 2-pt jump shot from 8 ft,20,25
87,2,11:07.0,Defensive rebound by M. Gasol,,20,25
88,2,10:56.0,J. Adams misses 3-pt jump shot from 23 ft,,20,25
89,2,10:55.0,Offensive rebound by Team,,20,25
90,2,10:38.0,V. Carter misses 3-pt jump shot from 25 ft,,20,25
91,2,10:37.0,,Defensive rebound by T. Hansbrough,20,25
92,2,10:22.0,,L. Williams makes 3-pt jump shot from 24 ft,20,28
