,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ORLANDO_ACTION,CHARLOTTE_SCORE,ORLANDO_SCORE
0,1,11:44.0,G. Henderson makes 2-pt jump shot from 16 ft (assist by M. Kidd-Gilchrist),,2,0
1,1,11:29.0,,E. Payton makes 2-pt jump shot from 5 ft,2,2
2,1,11:18.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by E. Payton),,2,2
3,1,11:13.0,,T. Harris misses 2-pt layup from 1 ft,2,2
4,1,11:11.0,Defensive rebound by C. Zeller,,2,2
5,1,10:57.0,G. Henderson misses 2-pt jump shot from 14 ft,,2,2
6,1,10:56.0,,Defensive rebound by N. Vučević,2,2
7,1,10:42.0,,N. Vučević makes 2-pt hook shot from 5 ft (assist by E. Payton),2,4
8,1,10:27.0,M. Kidd-Gilchrist misses 2-pt jump shot from 5 ft,,2,4
9,1,10:25.0,Offensive rebound by M. Kidd-Gilchrist,,2,4
10,1,10:11.0,K. Walker makes 3-pt jump shot from 26 ft,,5,4
11,1,9:47.0,,T. Harris makes 2-pt jump shot from 14 ft (assist by E. Payton),5,6
12,1,9:34.0,K. Walker misses 2-pt jump shot from 5 ft (block by N. Vučević),,5,6
13,1,9:32.0,,Defensive rebound by K. O'Quinn,5,6
14,1,9:28.0,,E. Payton misses 2-pt layup from 1 ft (block by M. Kidd-Gilchrist),5,6
15,1,9:28.0,,Offensive rebound by Team,5,6
16,1,9:15.0,,N. Vučević misses 2-pt hook shot from 7 ft,5,6
17,1,9:14.0,Defensive rebound by G. Henderson,,5,6
18,1,9:05.0,G. Henderson misses 2-pt jump shot from 14 ft,,5,6
19,1,9:03.0,,Defensive rebound by N. Vučević,5,6
20,1,8:44.0,,K. O'Quinn misses 2-pt jump shot from 5 ft,5,6
21,1,8:43.0,Defensive rebound by B. Biyombo,,5,6
22,1,8:28.0,C. Zeller makes 2-pt jump shot from 19 ft (assist by K. Walker),,7,6
23,1,8:11.0,,T. Harris misses 3-pt jump shot from 23 ft,7,6
24,1,8:10.0,Defensive rebound by G. Henderson,,7,6
