,QUARTER,TIME_REMAINING,INDIANA_ACTION,CHICAGO_ACTION,INDIANA_SCORE,CHICAGO_SCORE
0,1,11:33.0,R. Hibbert misses 2-pt jump shot from 10 ft,,0,0
1,1,11:32.0,Offensive rebound by L. Scola,,0,0
2,1,11:24.0,L. Scola misses 2-pt layup from 2 ft (block by J. Noah),,0,0
3,1,11:19.0,,Defensive rebound by K. Hinrich,0,0
4,1,11:11.0,,P. Gasol misses 2-pt jump shot from 15 ft,0,0
5,1,11:10.0,Defensive rebound by D. Sloan,,0,0
6,1,11:10.0,Turnover by D. Sloan (lost ball),,0,0
7,1,11:01.0,,M. Dunleavy makes 2-pt jump shot from 19 ft (assist by K. Hinrich),0,2
8,1,10:38.0,R. Hibbert misses 2-pt jump shot from 20 ft,,0,2
9,1,10:38.0,,Defensive rebound by J. Butler,0,2
10,1,10:26.0,,K. Hinrich misses 3-pt jump shot from 25 ft,0,2
11,1,10:25.0,Defensive rebound by L. Scola,,0,2
12,1,10:13.0,Personal foul by M. Dunleavy,,0,2
13,1,10:07.0,D. Sloan makes 3-pt jump shot from 25 ft (assist by R. Hibbert),,3,2
14,1,10:07.0,Shooting foul by K. Hinrich (drawn by D. Sloan),,3,2
15,1,10:07.0,D. Sloan makes free throw 1 of 1,,4,2
16,1,9:57.0,,Personal foul by S. Hill,4,2
17,1,9:50.0,,P. Gasol misses 2-pt jump shot from 3 ft (block by L. Scola),4,2
18,1,9:50.0,,Offensive rebound by Team,4,2
19,1,9:43.0,,J. Noah makes 2-pt hook shot from 3 ft (assist by P. Gasol),4,4
20,1,9:34.0,S. Hill makes 2-pt jump shot from 15 ft,,6,4
21,1,9:11.0,,J. Butler makes 2-pt jump shot from 14 ft (assist by J. Noah),6,6
22,1,8:52.0,S. Hill misses 3-pt jump shot from 24 ft,,6,6
23,1,8:51.0,,Defensive rebound by K. Hinrich,6,6
24,1,8:41.0,,P. Gasol makes 2-pt hook shot from 4 ft,6,8
25,1,8:20.0,L. Scola makes 2-pt jump shot from 15 ft (assist by R. Hibbert),,8,8
26,1,8:04.0,,K. Hinrich makes 2-pt layup from 2 ft,8,10
27,1,7:41.0,S. Hill makes 2-pt jump shot from 4 ft,,10,10
28,1,7:16.0,,J. Butler misses 2-pt jump shot from 19 ft,10,10
29,1,7:15.0,Defensive rebound by L. Scola,,10,10
30,1,7:09.0,L. Scola makes 2-pt layup from 2 ft (assist by D. Sloan),,12,10
31,1,6:53.0,,K. Hinrich misses 2-pt jump shot from 16 ft,12,10
32,1,6:52.0,Defensive rebound by L. Scola,,12,10
33,1,6:32.0,R. Hibbert misses 2-pt jump shot from 7 ft,,12,10
34,1,6:31.0,,Defensive rebound by M. Dunleavy,12,10
35,1,6:23.0,,Shooting foul by R. Hibbert (drawn by J. Butler),12,10
36,1,6:23.0,,J. Butler makes free throw 1 of 2,12,11
37,1,6:23.0,,J. Butler makes free throw 2 of 2,12,12
38,1,6:07.0,R. Hibbert makes 2-pt hook shot from 4 ft,,14,12
39,1,5:55.0,,Personal foul by D. Sloan,14,12
40,1,5:55.0,,Chicago full timeout,14,12
41,1,5:47.0,,J. Butler makes 2-pt jump shot from 20 ft,14,14
42,1,5:30.0,C. Copeland misses 3-pt jump shot from 25 ft,,14,14
43,1,5:28.0,,Defensive rebound by M. Dunleavy,14,14
44,1,5:14.0,,P. Gasol misses 2-pt jump shot from 6 ft (block by R. Hibbert),14,14
45,1,5:13.0,,Offensive rebound by J. Butler,14,14
46,1,5:10.0,,M. Dunleavy misses 3-pt jump shot from 25 ft,14,14
47,1,5:09.0,Defensive rebound by L. Scola,,14,14
48,1,4:59.0,L. Scola makes 2-pt jump shot from 22 ft (assist by D. Sloan),,16,14
49,1,4:40.0,,P. Gasol misses 2-pt jump shot from 8 ft (block by R. Hibbert),16,14
50,1,4:39.0,Defensive rebound by R. Hibbert,,16,14
51,1,4:21.0,D. Sloan misses 3-pt jump shot from 25 ft,,16,14
52,1,4:20.0,,Defensive rebound by M. Dunleavy,16,14
53,1,4:10.0,,K. Hinrich misses 2-pt jump shot from 17 ft,16,14
54,1,4:08.0,Defensive rebound by R. Hibbert,,16,14
55,1,3:57.0,Turnover by R. Hibbert (discontinued dribble),,16,14
56,1,3:57.0,,A. Brooks enters the game for J. Noah,16,14
57,1,3:57.0,,T. Gibson enters the game for K. Hinrich,16,14
58,1,3:33.0,,A. Brooks misses 2-pt jump shot from 22 ft,16,14
59,1,3:32.0,,Offensive rebound by P. Gasol,16,14
60,1,3:28.0,,J. Butler misses 2-pt layup from 2 ft (block by L. Scola),16,14
61,1,3:27.0,Defensive rebound by S. Hill,,16,14
62,1,3:22.0,S. Hill misses 2-pt layup from 2 ft (block by P. Gasol),,16,14
63,1,3:20.0,Offensive rebound by L. Scola,,16,14
64,1,3:18.0,L. Scola makes 2-pt layup from 2 ft,,18,14
65,1,2:59.0,,P. Gasol misses 2-pt jump shot from 18 ft,18,14
66,1,2:58.0,Defensive rebound by S. Hill,,18,14
67,1,2:49.0,R. Hibbert misses 2-pt jump shot from 19 ft,,18,14
68,1,2:48.0,,Defensive rebound by M. Dunleavy,18,14
69,1,2:43.0,Indiana full timeout,,18,14
70,1,2:43.0,I. Mahinmi enters the game for R. Hibbert,,18,14
71,1,2:43.0,D. Rudež enters the game for C. Copeland,,18,14
72,1,2:28.0,,P. Gasol misses 2-pt layup from 2 ft,18,14
73,1,2:25.0,,Offensive rebound by P. Gasol,18,14
74,1,2:25.0,,P. Gasol makes 2-pt layup from 1 ft,18,16
75,1,2:06.0,I. Mahinmi makes 2-pt jump shot from 5 ft (assist by D. Sloan),,20,16
76,1,1:49.0,,Personal foul by I. Mahinmi,20,16
77,1,1:49.0,A. Price enters the game for D. Sloan,,20,16
78,1,1:49.0,L. Allen enters the game for L. Scola,,20,16
79,1,1:34.0,,T. Gibson makes 2-pt jump shot from 7 ft,20,18
80,1,1:20.0,S. Hill makes 2-pt jump shot from 9 ft,,22,18
81,1,1:07.0,,M. Dunleavy misses 2-pt jump shot from 18 ft,22,18
82,1,1:06.0,,Offensive rebound by T. Gibson,22,18
83,1,0:56.0,,Turnover by A. Brooks (lost ball; steal by A. Price),22,18
84,1,0:38.0,Shooting foul by A. Brooks (drawn by A. Price),,22,18
85,1,0:38.0,A. Price makes free throw 1 of 2,,23,18
86,1,0:38.0,A. Price misses free throw 2 of 2,,23,18
87,1,0:37.0,,Defensive rebound by M. Dunleavy,23,18
88,1,0:26.0,,A. Brooks makes 2-pt jump shot from 20 ft,23,20
89,1,0:01.0,S. Hill misses 2-pt jump shot from 17 ft,,23,20
90,1,0:00.0,,Defensive rebound by A. Brooks,23,20
91,2,11:50.0,,Turnover by D. McDermott (traveling),23,20
92,2,11:31.0,C. Copeland misses 2-pt layup from 2 ft,,23,20
93,2,11:30.0,Offensive rebound by I. Mahinmi,,23,20
94,2,11:23.0,L. Allen misses 2-pt jump shot from 11 ft (block by N. Mirotić),,23,20
95,2,11:21.0,,Defensive rebound by A. Brooks,23,20
96,2,11:09.0,,N. Mirotić makes 2-pt layup from 2 ft,23,22
97,2,11:09.0,,Shooting foul by I. Mahinmi (drawn by N. Mirotić),23,22
98,2,11:09.0,,N. Mirotić misses free throw 1 of 1,23,22
99,2,11:08.0,Defensive rebound by A. Price,,23,22
100,2,10:54.0,L. Allen makes 2-pt jump shot from 21 ft (assist by A. Price),,25,22
101,2,10:34.0,,J. Butler makes 2-pt layup from 1 ft,25,24
102,2,10:20.0,Shooting foul by A. Brooks (drawn by A. Price),,25,24
103,2,10:20.0,A. Price makes free throw 1 of 2,,26,24
104,2,10:20.0,A. Price makes free throw 2 of 2,,27,24
105,2,9:59.0,,T. Snell enters the game for J. Butler,27,24
106,2,9:55.0,,T. Gibson misses 2-pt jump shot from 20 ft,27,24
107,2,9:54.0,,Offensive rebound by T. Snell,27,24
108,2,9:52.0,,N. Mirotić misses 3-pt jump shot from 24 ft,27,24
109,2,9:51.0,Defensive rebound by Team,,27,24
110,2,9:51.0,,Loose ball foul by T. Gibson,27,24
111,2,9:36.0,A. Price makes 2-pt layup from 2 ft,,29,24
112,2,9:29.0,,Personal foul by I. Mahinmi,29,24
113,2,9:29.0,R. Hibbert enters the game for I. Mahinmi,,29,24
114,2,9:19.0,,T. Gibson misses 2-pt jump shot from 14 ft,29,24
115,2,9:17.0,Defensive rebound by A. Price,,29,24
116,2,9:10.0,A. Price makes 2-pt jump shot from 14 ft,,31,24
117,2,9:04.0,,Chicago full timeout,31,24
118,2,8:53.0,,N. Mirotić misses 3-pt jump shot from 25 ft,31,24
119,2,8:52.0,Defensive rebound by R. Hibbert,,31,24
120,2,8:36.0,L. Allen misses 2-pt jump shot from 20 ft,,31,24
121,2,8:35.0,,Defensive rebound by T. Gibson,31,24
122,2,8:21.0,,Turnover by T. Gibson (lost ball; steal by R. Hibbert),31,24
123,2,8:18.0,Personal foul by N. Mirotić,,31,24
124,2,8:09.0,Def 3 sec tech foul by N. Mirotić,,31,24
125,2,8:09.0,D. Rudež makes technical free throw,,32,24
126,2,8:05.0,Turnover by C. Copeland (lost ball; steal by T. Gibson),,32,24
127,2,7:50.0,,Turnover by A. Brooks (traveling),32,24
128,2,7:42.0,Turnover by D. Rudež (lost ball; steal by T. Gibson),,32,24
129,2,7:34.0,,D. McDermott makes 3-pt jump shot from 27 ft (assist by A. Brooks),32,27
130,2,7:17.0,Turnover by C. Copeland (traveling),,32,27
131,2,7:05.0,,Personal foul by C. Copeland,32,27
132,2,7:02.0,,Personal foul by D. Rudež,32,27
133,2,6:58.0,,Turnover by D. McDermott (traveling),32,27
134,2,6:38.0,A. Price makes 2-pt jump shot from 15 ft,,34,27
135,2,6:37.0,,Chicago full timeout,34,27
136,2,6:37.0,,Technical foul by A. Brooks,34,27
137,2,6:37.0,,J. Noah enters the game for A. Brooks,34,27
138,2,6:37.0,,K. Hinrich enters the game for N. Mirotić,34,27
139,2,6:37.0,D. Rudež misses technical free throw,,34,27
140,2,6:37.0,,Offensive rebound by Team,34,27
141,2,6:27.0,,Turnover by D. McDermott (bad pass),34,27
142,2,6:11.0,C. Copeland makes 3-pt jump shot from 22 ft (assist by L. Allen),,37,27
143,2,5:53.0,,T. Snell misses 2-pt jump shot from 21 ft,37,27
144,2,5:52.0,Defensive rebound by R. Hibbert,,37,27
145,2,5:39.0,Turnover by C. Copeland (lost ball; steal by D. McDermott),,37,27
