,QUARTER,TIME_REMAINING,BOSTON_ACTION,BROOKLYN_ACTION,BOSTON_SCORE,BROOKLYN_SCORE
0,1,11:44.0,Turnover by T. Zeller (bad pass; steal by J. Johnson),,0,0
1,1,11:31.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by J. Jack),0,2
2,1,11:11.0,J. Green misses 2-pt jump shot from 17 ft,,0,2
3,1,11:09.0,Offensive rebound by T. Zeller,,0,2
4,1,11:08.0,T. Zeller misses 2-pt layup from 1 ft,,0,2
5,1,11:07.0,,Defensive rebound by M. Plumlee,0,2
6,1,10:51.0,,Personal foul by J. Green (drawn by J. Johnson),0,2
7,1,10:38.0,,J. Johnson misses 3-pt jump shot from 25 ft,0,2
8,1,10:37.0,Defensive rebound by A. Bradley,,0,2
9,1,10:34.0,Turnover by A. Bradley (bad pass),,0,2
10,1,10:18.0,,J. Johnson makes 2-pt jump shot from 14 ft,0,4
11,1,9:52.0,T. Zeller makes 2-pt dunk at rim (assist by J. Sullinger),,2,4
12,1,9:32.0,,K. Garnett misses 2-pt jump shot from 15 ft,2,4
13,1,9:31.0,Defensive rebound by A. Bradley,,2,4
14,1,9:21.0,T. Zeller misses 2-pt layup from 2 ft,,2,4
15,1,9:20.0,,Defensive rebound by M. Plumlee,2,4
16,1,9:10.0,,K. Garnett makes 2-pt jump shot from 18 ft (assist by J. Jack),2,6
17,1,8:56.0,J. Sullinger misses 2-pt jump shot from 7 ft,,2,6
18,1,8:55.0,,Defensive rebound by K. Garnett,2,6
19,1,8:51.0,,M. Plumlee misses 2-pt layup from 2 ft,2,6
20,1,8:49.0,,Offensive rebound by S. Karasev,2,6
21,1,8:28.0,,S. Karasev misses 2-pt jump shot from 8 ft,2,6
22,1,8:27.0,Defensive rebound by J. Sullinger,,2,6
23,1,8:12.0,J. Green misses 2-pt jump shot from 7 ft,,2,6
24,1,8:11.0,,Defensive rebound by K. Garnett,2,6
25,1,8:00.0,,Personal foul by J. Green (drawn by J. Johnson),2,6
26,1,7:47.0,,J. Jack makes 2-pt jump shot from 7 ft (assist by K. Garnett),2,8
27,1,7:30.0,A. Bradley misses 2-pt layup from 2 ft,,2,8
28,1,7:29.0,,Defensive rebound by K. Garnett,2,8
29,1,7:23.0,,M. Plumlee makes 2-pt dunk at rim (assist by J. Jack),2,10
30,1,7:21.0,Boston full timeout,,2,10
31,1,7:07.0,T. Zeller makes 2-pt hook shot from 7 ft,,4,10
32,1,6:42.0,,J. Johnson misses 3-pt jump shot from 22 ft,4,10
33,1,6:41.0,Defensive rebound by T. Zeller,,4,10
34,1,6:36.0,Personal foul by M. Plumlee (drawn by T. Zeller),,4,10
35,1,6:25.0,J. Green makes 2-pt jump shot from 15 ft,,6,10
36,1,6:10.0,,Shooting foul by E. Turner (drawn by J. Johnson),6,10
37,1,6:10.0,,J. Johnson makes free throw 1 of 2,6,11
38,1,6:10.0,,J. Johnson makes free throw 2 of 2,6,12
39,1,5:50.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by T. Zeller),,9,12
40,1,5:30.0,,M. Plumlee makes 2-pt hook shot from 6 ft (assist by S. Karasev),9,14
41,1,5:19.0,T. Zeller makes 2-pt hook shot from 6 ft (assist by E. Turner),,11,14
42,1,5:05.0,,Personal foul by A. Bradley (drawn by J. Jack),11,14
43,1,5:05.0,K. Olynyk enters the game for T. Zeller,,11,14
44,1,4:58.0,,K. Garnett misses 2-pt jump shot from 17 ft,11,14
45,1,4:57.0,Defensive rebound by J. Sullinger,,11,14
46,1,4:40.0,E. Turner misses 3-pt jump shot from 24 ft,,11,14
47,1,4:39.0,,Defensive rebound by K. Garnett,11,14
48,1,4:30.0,,J. Jack makes 3-pt jump shot from 25 ft (assist by J. Johnson),11,17
49,1,4:16.0,A. Bradley misses 2-pt jump shot from 18 ft,,11,17
50,1,4:15.0,Offensive rebound by J. Sullinger,,11,17
51,1,4:11.0,J. Sullinger misses 2-pt hook shot from 7 ft,,11,17
52,1,4:10.0,,Defensive rebound by J. Johnson,11,17
53,1,4:01.0,,Turnover by K. Garnett (bad pass; steal by J. Sullinger),11,17
54,1,3:56.0,J. Green misses 3-pt jump shot from 24 ft,,11,17
55,1,3:55.0,,Defensive rebound by S. Karasev,11,17
56,1,3:50.0,,Brooklyn full timeout,11,17
57,1,3:50.0,,M. Teletović enters the game for K. Garnett,11,17
58,1,3:50.0,,A. Anderson enters the game for J. Johnson,11,17
59,1,3:50.0,M. Smart enters the game for E. Turner,,11,17
60,1,3:50.0,B. Bass enters the game for J. Sullinger,,11,17
61,1,3:35.0,,S. Karasev makes 2-pt layup from 2 ft (assist by J. Jack),11,19
62,1,3:14.0,Turnover by J. Green (traveling),,11,19
63,1,3:04.0,,Turnover by S. Karasev (traveling),11,19
64,1,2:41.0,A. Bradley misses 2-pt jump shot from 20 ft,,11,19
65,1,2:40.0,,Defensive rebound by M. Teletović,11,19
66,1,2:33.0,J. Crowder enters the game for J. Green,,11,19
67,1,2:33.0,,B. Lopez enters the game for M. Plumlee,11,19
68,1,2:31.0,,J. Jack misses 2-pt jump shot from 11 ft,11,19
69,1,2:30.0,,Offensive rebound by Team,11,19
70,1,2:28.0,,B. Lopez makes 2-pt layup from 1 ft (assist by S. Karasev),11,21
71,1,2:28.0,,Shooting foul by K. Olynyk (drawn by B. Lopez),11,21
72,1,2:28.0,,D. Williams enters the game for J. Jack,11,21
73,1,2:28.0,,B. Lopez misses free throw 1 of 1,11,21
74,1,2:27.0,Defensive rebound by K. Olynyk,,11,21
75,1,2:18.0,Shooting foul by A. Anderson (drawn by A. Bradley),,11,21
76,1,2:18.0,A. Bradley makes free throw 1 of 2,,12,21
77,1,2:18.0,A. Bradley makes free throw 2 of 2,,13,21
78,1,1:56.0,,A. Anderson misses 2-pt jump shot from 7 ft,13,21
79,1,1:55.0,Defensive rebound by B. Bass,,13,21
80,1,1:48.0,K. Olynyk misses 2-pt jump shot from 19 ft,,13,21
81,1,1:47.0,,Defensive rebound by M. Teletović,13,21
82,1,1:36.0,,S. Karasev misses 2-pt jump shot from 10 ft,13,21
83,1,1:35.0,Defensive rebound by J. Crowder,,13,21
84,1,1:19.0,B. Bass makes 2-pt layup from 2 ft,,15,21
85,1,1:04.0,,Personal foul by J. Crowder (drawn by S. Karasev),15,21
86,1,1:04.0,,S. Karasev makes free throw 1 of 2,15,22
87,1,1:04.0,M. Thornton enters the game for A. Bradley,,15,22
88,1,1:04.0,,S. Karasev makes free throw 2 of 2,15,23
89,1,0:52.0,B. Bass makes 2-pt jump shot from 18 ft (assist by M. Smart),,17,23
90,1,0:38.0,,Personal foul by M. Thornton (drawn by A. Anderson),17,23
91,1,0:38.0,,A. Anderson makes free throw 1 of 2,17,24
92,1,0:38.0,,A. Anderson makes free throw 2 of 2,17,25
93,1,0:27.0,K. Olynyk makes 2-pt layup from 2 ft,,19,25
94,1,0:05.0,,B. Lopez misses 2-pt jump shot from 20 ft,19,25
95,1,0:04.0,Defensive rebound by M. Thornton,,19,25
96,1,0:01.0,M. Smart misses 3-pt jump shot from 27 ft,,19,25
97,1,0:00.0,Offensive rebound by Team,,19,25
98,2,11:40.0,,A. Anderson misses 2-pt jump shot from 14 ft,19,25
99,2,11:38.0,Defensive rebound by M. Smart,,19,25
100,2,11:33.0,M. Thornton misses 2-pt layup from 1 ft (block by B. Lopez),,19,25
101,2,11:32.0,,Defensive rebound by D. Williams,19,25
102,2,11:25.0,,D. Williams misses 2-pt jump shot from 14 ft,19,25
103,2,11:24.0,,Offensive rebound by Team,19,25
104,2,11:24.0,Loose ball foul by K. Olynyk (drawn by B. Lopez),,19,25
105,2,11:15.0,,Turnover by A. Anderson (bad pass; steal by K. Olynyk),19,25
106,2,11:03.0,B. Bass misses 2-pt layup from 1 ft (block by B. Lopez),,19,25
107,2,11:02.0,,Defensive rebound by B. Lopez,19,25
108,2,10:55.0,,S. Karasev misses 3-pt jump shot from 24 ft,19,25
109,2,10:54.0,Defensive rebound by K. Olynyk,,19,25
110,2,10:39.0,M. Thornton misses 2-pt jump shot from 16 ft,,19,25
111,2,10:38.0,,Defensive rebound by S. Karasev,19,25
112,2,10:26.0,,Turnover by D. Williams (bad pass; steal by J. Crowder),19,25
113,2,10:22.0,J. Crowder misses 2-pt layup from 1 ft,,19,25
114,2,10:21.0,,Defensive rebound by M. Teletović,19,25
115,2,10:21.0,,Personal foul by J. Crowder (drawn by M. Teletović),19,25
116,2,10:21.0,,J. Jack enters the game for D. Williams,19,25
117,2,9:58.0,,M. Teletović makes 3-pt jump shot from 24 ft (assist by S. Karasev),19,28
118,2,9:41.0,Shooting foul by A. Anderson (drawn by B. Bass),,19,28
119,2,9:41.0,B. Bass misses free throw 1 of 2,,19,28
120,2,9:41.0,Offensive rebound by Team,,19,28
121,2,9:41.0,T. Zeller enters the game for K. Olynyk,,19,28
122,2,9:41.0,B. Bass misses free throw 2 of 2,,19,28
123,2,9:40.0,,Defensive rebound by M. Teletović,19,28
124,2,9:30.0,,J. Jack makes 2-pt jump shot from 14 ft,19,30
125,2,9:12.0,B. Bass misses 2-pt jump shot from 16 ft,,19,30
126,2,9:11.0,,Defensive rebound by B. Lopez,19,30
127,2,9:01.0,,Personal foul by M. Smart (drawn by M. Teletović),19,30
128,2,8:58.0,,Turnover by M. Teletović (bad pass),19,30
129,2,8:58.0,Official timeout,,19,30
130,2,8:58.0,J. Sullinger enters the game for B. Bass,,19,30
131,2,8:44.0,M. Thornton misses 3-pt jump shot from 24 ft,,19,30
132,2,8:43.0,,Defensive rebound by M. Teletović,19,30
133,2,8:36.0,,Turnover by B. Lopez (offensive foul),19,30
134,2,8:36.0,,Offensive foul by B. Lopez (drawn by M. Smart),19,30
135,2,8:22.0,Personal foul by A. Anderson (drawn by T. Zeller),,19,30
136,2,8:22.0,,B. Bogdanović enters the game for S. Karasev,19,30
137,2,8:22.0,,J. Johnson enters the game for A. Anderson,19,30
138,2,8:16.0,T. Zeller makes 2-pt layup from 2 ft (assist by M. Thornton),,21,30
139,2,8:01.0,,Shooting foul by T. Zeller (drawn by M. Teletović),21,30
140,2,8:01.0,,M. Teletović misses free throw 1 of 2,21,30
141,2,8:01.0,,Offensive rebound by Team,21,30
142,2,8:01.0,,M. Teletović makes free throw 2 of 2,21,31
143,2,7:49.0,Personal foul by M. Teletović (drawn by J. Sullinger),,21,31
144,2,7:49.0,A. Bradley enters the game for M. Thornton,,21,31
145,2,7:39.0,J. Crowder misses 2-pt jump shot from 7 ft,,21,31
146,2,7:38.0,Offensive rebound by Team,,21,31
147,2,7:30.0,M. Smart makes 3-pt jump shot from 24 ft (assist by J. Sullinger),,24,31
148,2,7:17.0,,M. Teletović misses 2-pt layup at rim,24,31
149,2,7:15.0,Defensive rebound by A. Bradley,,24,31
150,2,6:59.0,M. Smart makes 3-pt jump shot from 27 ft (assist by J. Sullinger),,27,31
151,2,6:41.0,Violation by J. Crowder (kicked ball),,27,31
152,2,6:41.0,J. Green enters the game for J. Crowder,,27,31
153,2,6:41.0,,M. Plumlee enters the game for B. Lopez,27,31
154,2,6:41.0,,K. Garnett enters the game for M. Teletović,27,31
155,2,6:32.0,,K. Garnett misses 2-pt jump shot from 18 ft,27,31
156,2,6:31.0,,Offensive rebound by K. Garnett,27,31
157,2,6:20.0,,J. Johnson misses 3-pt jump shot from 23 ft,27,31
158,2,6:19.0,Defensive rebound by T. Zeller,,27,31
159,2,6:08.0,T. Zeller misses 2-pt layup from 1 ft (block by M. Plumlee),,27,31
160,2,6:07.0,,Defensive rebound by B. Bogdanović,27,31
161,2,5:55.0,,J. Jack misses 2-pt jump shot from 4 ft,27,31
162,2,5:54.0,,Offensive rebound by M. Plumlee,27,31
163,2,5:53.0,,M. Plumlee makes 2-pt dunk at rim,27,33
164,2,5:35.0,Personal foul by J. Johnson (drawn by J. Green),,27,33
165,2,5:35.0,,Brooklyn full timeout,27,33
166,2,5:23.0,J. Green misses 3-pt jump shot from 24 ft,,27,33
167,2,5:22.0,,Defensive rebound by J. Jack,27,33
168,2,5:00.0,,M. Plumlee misses 2-pt hook shot from 7 ft,27,33
169,2,4:59.0,Defensive rebound by T. Zeller,,27,33
170,2,4:50.0,Personal foul by J. Jack (drawn by A. Bradley),,27,33
171,2,4:50.0,A. Bradley makes free throw 1 of 2,,28,33
172,2,4:50.0,E. Turner enters the game for M. Smart,,28,33
173,2,4:50.0,A. Bradley makes free throw 2 of 2,,29,33
174,2,4:25.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,29,33
175,2,4:24.0,Defensive rebound by J. Sullinger,,29,33
176,2,4:13.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by J. Green),,32,33
177,2,3:53.0,,K. Garnett makes 2-pt jump shot from 19 ft (assist by B. Bogdanović),32,35
178,2,3:43.0,E. Turner misses 2-pt layup from 1 ft (block by K. Garnett),,32,35
179,2,3:42.0,,Defensive rebound by B. Bogdanović,32,35
180,2,3:31.0,,K. Garnett makes 2-pt layup from 1 ft (assist by M. Plumlee),32,37
181,2,3:10.0,J. Sullinger misses 2-pt layup from 2 ft,,32,37
182,2,3:09.0,,Defensive rebound by K. Garnett,32,37
183,2,3:08.0,,Personal foul by J. Sullinger (drawn by K. Garnett),32,37
184,2,3:08.0,,K. Garnett makes free throw 1 of 2,32,38
185,2,3:08.0,,K. Garnett makes free throw 2 of 2,32,39
186,2,2:52.0,T. Zeller misses 2-pt hook shot from 4 ft,,32,39
187,2,2:52.0,,Defensive rebound by K. Garnett,32,39
188,2,2:46.0,Boston full timeout,,32,39
189,2,2:46.0,K. Olynyk enters the game for J. Sullinger,,32,39
190,2,2:30.0,Personal foul by K. Garnett (drawn by T. Zeller),,32,39
191,2,2:30.0,T. Zeller makes free throw 1 of 2,,33,39
192,2,2:30.0,T. Zeller makes free throw 2 of 2,,34,39
193,2,2:15.0,,Turnover by B. Bogdanović (traveling),34,39
194,2,1:59.0,T. Zeller makes 2-pt hook shot from 9 ft,,36,39
195,2,1:46.0,,K. Garnett misses 2-pt jump shot from 19 ft,36,39
196,2,1:45.0,Defensive rebound by A. Bradley,,36,39
197,2,1:35.0,A. Bradley makes 2-pt layup from 2 ft (assist by E. Turner),,38,39
198,2,1:13.0,,Turnover by J. Jack (bad pass; steal by E. Turner),38,39
199,2,1:08.0,K. Olynyk misses 2-pt layup from 1 ft,,38,39
200,2,1:07.0,,Defensive rebound by M. Plumlee,38,39
201,2,0:56.0,,K. Garnett misses 2-pt jump shot from 19 ft,38,39
202,2,0:55.0,Defensive rebound by E. Turner,,38,39
203,2,0:40.0,A. Bradley misses 3-pt jump shot from 24 ft,,38,39
204,2,0:39.0,,Defensive rebound by Team,38,39
205,2,0:39.0,B. Bass enters the game for K. Olynyk,,38,39
206,2,0:39.0,,S. Karasev enters the game for B. Bogdanović,38,39
207,2,0:31.0,,Turnover by J. Jack (bad pass; steal by J. Green),38,39
208,2,0:27.0,E. Turner makes 2-pt layup from 2 ft,,40,39
209,2,0:05.0,,J. Jack misses 2-pt jump shot from 12 ft,40,39
210,2,0:03.0,,Offensive rebound by J. Johnson,40,39
211,2,0:03.0,,J. Johnson misses 3-pt jump shot from 24 ft,40,39
212,2,0:00.0,,Offensive rebound by Team,40,39
213,3,11:38.0,,M. Plumlee misses 2-pt hook shot from 5 ft (block by T. Zeller),40,39
214,3,11:37.0,Defensive rebound by E. Turner,,40,39
215,3,11:32.0,E. Turner misses 2-pt layup from 1 ft (block by J. Johnson),,40,39
216,3,11:30.0,,Defensive rebound by J. Johnson,40,39
217,3,11:14.0,,J. Johnson makes 2-pt layup from 2 ft (assist by K. Garnett),40,41
218,3,11:01.0,Shooting foul by M. Plumlee (drawn by T. Zeller),,40,41
219,3,11:01.0,T. Zeller makes free throw 1 of 2,,41,41
220,3,11:01.0,T. Zeller makes free throw 2 of 2,,42,41
221,3,10:50.0,,J. Johnson makes 2-pt jump shot from 12 ft,42,43
222,3,10:34.0,Personal foul by K. Garnett (drawn by J. Sullinger),,42,43
223,3,10:27.0,J. Sullinger makes 2-pt layup from 2 ft (assist by T. Zeller),,44,43
224,3,10:09.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by M. Plumlee),44,46
225,3,9:53.0,T. Zeller makes 2-pt dunk at rim (assist by E. Turner),,46,46
226,3,9:35.0,,J. Johnson misses 2-pt jump shot from 8 ft,46,46
227,3,9:34.0,Defensive rebound by E. Turner,,46,46
228,3,9:29.0,A. Bradley makes 2-pt jump shot from 17 ft (assist by E. Turner),,48,46
229,3,9:04.0,,K. Garnett makes 2-pt jump shot from 20 ft (assist by J. Johnson),48,48
230,3,8:42.0,J. Sullinger misses 3-pt jump shot from 24 ft,,48,48
231,3,8:41.0,Offensive rebound by E. Turner,,48,48
232,3,8:39.0,T. Zeller misses 2-pt layup from 1 ft,,48,48
