,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CHARLOTTE_ACTION,SACRAMENTO_SCORE,CHARLOTTE_SCORE
0,1,11:40.0,D. Cousins makes 2-pt jump shot from 9 ft,,2,0
1,1,11:26.0,,M. Williams misses 2-pt jump shot from 16 ft,2,0
2,1,11:25.0,Defensive rebound by R. Gay,,2,0
3,1,11:16.0,D. Cousins makes 2-pt jump shot from 14 ft (assist by R. McCallum),,4,0
4,1,10:59.0,,A. Jefferson misses 2-pt layup from 1 ft,4,0
5,1,10:58.0,Defensive rebound by D. Cousins,,4,0
6,1,10:50.0,D. Cousins misses 3-pt jump shot from 25 ft,,4,0
7,1,10:50.0,,Defensive rebound by Team,4,0
8,1,10:32.0,,A. Jefferson misses 2-pt jump shot from 4 ft,4,0
9,1,10:31.0,Defensive rebound by D. Cousins,,4,0
10,1,10:19.0,R. Gay makes 2-pt jump shot from 8 ft,,6,0
11,1,10:07.0,,Turnover by M. Williams (bad pass),6,0
12,1,9:52.0,B. McLemore makes 2-pt layup from 1 ft (assist by C. Landry),,8,0
13,1,9:31.0,,M. Williams makes 2-pt layup from 1 ft (assist by M. Williams),8,2
14,1,9:08.0,R. Gay misses 2-pt layup from 1 ft (block by M. Kidd-Gilchrist),,8,2
15,1,9:05.0,Offensive rebound by C. Landry,,8,2
16,1,9:05.0,Shooting foul by M. Kidd-Gilchrist (drawn by C. Landry),,8,2
17,1,9:05.0,C. Landry makes free throw 1 of 2,,9,2
18,1,9:05.0,C. Landry makes free throw 2 of 2,,10,2
19,1,8:56.0,,M. Williams makes 2-pt layup from 1 ft,10,4
20,1,8:46.0,R. Gay makes 3-pt jump shot from 25 ft (assist by D. Cousins),,13,4
21,1,8:39.0,,Charlotte full timeout,13,4
22,1,8:33.0,,Shooting foul by B. McLemore (drawn by A. Jefferson),13,4
23,1,8:33.0,,A. Jefferson misses free throw 1 of 2,13,4
24,1,8:33.0,,Offensive rebound by Team,13,4
25,1,8:33.0,,A. Jefferson makes free throw 2 of 2,13,5
26,1,8:13.0,R. Gay misses 2-pt jump shot from 8 ft,,13,5
27,1,8:12.0,,Defensive rebound by M. Kidd-Gilchrist,13,5
28,1,8:04.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft,13,7
29,1,7:43.0,D. Cousins misses 2-pt layup at rim (block by M. Williams),,13,7
30,1,7:43.0,Offensive rebound by Team,,13,7
31,1,7:37.0,D. Cousins misses 3-pt jump shot from 31 ft,,13,7
32,1,7:37.0,Offensive rebound by Team,,13,7
33,1,7:37.0,Turnover by Team (shot clock),,13,7
34,1,7:28.0,,M. Williams misses 3-pt jump shot from 25 ft,13,7
35,1,7:26.0,,Offensive rebound by G. Henderson,13,7
36,1,7:20.0,Offensive charge foul by G. Henderson (drawn by D. Cousins),,13,7
37,1,7:20.0,,Turnover by G. Henderson (offensive foul),13,7
38,1,7:09.0,,Offensive charge foul by R. Gay (drawn by M. Williams),13,7
39,1,7:09.0,Turnover by R. Gay (offensive foul),,13,7
40,1,6:53.0,,G. Henderson misses 3-pt jump shot from 25 ft,13,7
41,1,6:51.0,Defensive rebound by D. Cousins,,13,7
42,1,6:42.0,D. Cousins misses 2-pt layup from 1 ft,,13,7
43,1,6:41.0,,Defensive rebound by M. Kidd-Gilchrist,13,7
44,1,6:36.0,,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by G. Henderson),13,9
45,1,6:18.0,R. Gay misses 3-pt jump shot from 26 ft,,13,9
46,1,6:16.0,Offensive rebound by Team,,13,9
47,1,6:06.0,D. Cousins misses 2-pt jump shot from 18 ft,,13,9
48,1,6:05.0,,Defensive rebound by M. Kidd-Gilchrist,13,9
49,1,5:56.0,,M. Williams misses 2-pt jump shot from 17 ft,13,9
50,1,5:55.0,Defensive rebound by C. Landry,,13,9
51,1,5:42.0,D. Cousins misses 2-pt layup from 2 ft (block by M. Williams),,13,9
52,1,5:39.0,,Defensive rebound by G. Henderson,13,9
53,1,5:36.0,,G. Henderson makes 2-pt layup at rim,13,11
54,1,5:29.0,R. McCallum misses 3-pt jump shot from 23 ft,,13,11
55,1,5:28.0,,Defensive rebound by A. Jefferson,13,11
56,1,5:17.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by G. Henderson),13,14
57,1,5:17.0,Sacramento full timeout,,13,14
58,1,4:59.0,C. Landry misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),,13,14
59,1,4:54.0,,Defensive rebound by M. Kidd-Gilchrist,13,14
60,1,4:52.0,,G. Henderson makes 2-pt dunk at rim (assist by M. Williams),13,16
61,1,4:33.0,B. McLemore makes 3-pt jump shot from 25 ft (assist by R. McCallum),,16,16
