,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CHICAGO_ACTION,MEMPHIS_SCORE,CHICAGO_SCORE
0,1,11:44.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,0,0
1,1,11:43.0,Defensive rebound by M. Conley,,0,0
2,1,12:00.0,Violation by Team (jump ball),,0,0
3,1,11:31.0,J. Green makes 2-pt layup from 3 ft,,2,0
4,1,11:06.0,,A. Brooks misses 2-pt jump shot from 7 ft,2,0
5,1,11:05.0,,Offensive rebound by J. Noah,2,0
6,1,11:05.0,,J. Noah misses 2-pt tip-in from 1 ft,2,0
7,1,11:05.0,,Offensive rebound by J. Noah,2,0
8,1,11:05.0,,J. Noah misses 2-pt tip-in from 1 ft,2,0
9,1,11:05.0,Defensive rebound by Team,,2,0
10,1,10:57.0,M. Conley misses 3-pt jump shot from 24 ft,,2,0
11,1,10:56.0,,Defensive rebound by T. Snell,2,0
12,1,10:44.0,,P. Gasol misses 2-pt jump shot from 13 ft,2,0
13,1,10:43.0,Defensive rebound by Z. Randolph,,2,0
14,1,10:33.0,J. Green makes 3-pt jump shot from 25 ft (assist by C. Lee),,5,0
15,1,10:13.0,,P. Gasol misses 2-pt jump shot from 10 ft,5,0
16,1,10:12.0,Defensive rebound by Z. Randolph,,5,0
17,1,10:04.0,M. Gasol makes 2-pt jump shot from 20 ft (assist by M. Conley),,7,0
18,1,9:44.0,,A. Brooks makes 2-pt jump shot from 3 ft,7,2
19,1,9:22.0,Z. Randolph misses 2-pt jump shot from 20 ft,,7,2
20,1,9:21.0,,Defensive rebound by P. Gasol,7,2
21,1,9:06.0,,M. Dunleavy misses 3-pt jump shot from 26 ft,7,2
22,1,9:05.0,Defensive rebound by Z. Randolph,,7,2
23,1,8:48.0,C. Lee makes 2-pt jump shot from 19 ft,,9,2
24,1,8:29.0,,A. Brooks makes 2-pt jump shot from 6 ft,9,4
25,1,8:13.0,C. Lee misses 2-pt layup from 2 ft,,9,4
26,1,8:12.0,,Defensive rebound by P. Gasol,9,4
27,1,8:06.0,,A. Brooks misses 3-pt jump shot from 25 ft,9,4
28,1,8:04.0,Defensive rebound by J. Green,,9,4
29,1,7:52.0,M. Gasol misses 2-pt jump shot from 17 ft,,9,4
30,1,7:51.0,,Defensive rebound by M. Dunleavy,9,4
31,1,7:39.0,,P. Gasol makes 2-pt jump shot from 14 ft,9,6
32,1,7:18.0,Z. Randolph makes 2-pt hook shot from 7 ft,,11,6
33,1,7:03.0,,T. Snell makes 2-pt jump shot from 10 ft,11,8
34,1,6:41.0,Z. Randolph misses 2-pt jump shot from 12 ft,,11,8
35,1,6:40.0,,Defensive rebound by P. Gasol,11,8
36,1,6:33.0,,Turnover by A. Brooks (lost ball; steal by M. Conley),11,8
37,1,6:29.0,M. Conley makes 2-pt layup from 1 ft (assist by Z. Randolph),,13,8
38,1,6:08.0,,Personal foul by Z. Randolph (drawn by J. Noah),13,8
39,1,6:08.0,T. Allen enters the game for J. Green,,13,8
40,1,6:03.0,,A. Brooks makes 2-pt layup from 2 ft,13,10
41,1,5:44.0,Turnover by C. Lee (step out of bounds),,13,10
42,1,5:44.0,,Chicago full timeout,13,10
43,1,5:24.0,,J. Noah makes 2-pt dunk at rim (assist by P. Gasol),13,12
44,1,4:57.0,M. Conley misses 3-pt jump shot from 25 ft,,13,12
45,1,4:56.0,,Defensive rebound by P. Gasol,13,12
46,1,4:39.0,,M. Dunleavy misses 3-pt jump shot from 23 ft,13,12
47,1,4:38.0,Defensive rebound by M. Gasol,,13,12
48,1,4:31.0,Z. Randolph makes 2-pt hook shot from 8 ft,,15,12
49,1,4:31.0,Shooting foul by P. Gasol (drawn by Z. Randolph),,15,12
50,1,4:31.0,,N. Mirotić enters the game for J. Noah,15,12
