,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DETROIT_ACTION,WASHINGTON_SCORE,DETROIT_SCORE
0,1,11:33.0,,A. Drummond makes 2-pt jump shot from 14 ft (assist by K. Caldwell-Pope),0,2
1,1,11:15.0,M. Gortat makes 2-pt layup from 1 ft (assist by P. Pierce),,2,2
2,1,10:53.0,,K. Caldwell-Pope makes 2-pt jump shot from 22 ft (assist by G. Monroe),2,4
3,1,10:41.0,Personal foul by G. Monroe (drawn by N. Hilário),,2,4
4,1,10:31.0,N. Hilário misses 2-pt jump shot from 13 ft,,2,4
5,1,10:29.0,Offensive rebound by N. Hilário,,2,4
6,1,10:20.0,P. Pierce misses 3-pt jump shot from 25 ft,,2,4
7,1,10:19.0,,Defensive rebound by A. Drummond,2,4
8,1,9:58.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,2,4
9,1,9:56.0,Defensive rebound by M. Gortat,,2,4
10,1,9:53.0,J. Wall misses 2-pt jump shot from 14 ft,,2,4
11,1,9:52.0,Offensive rebound by Team,,2,4
12,1,9:52.0,,Loose ball foul by A. Drummond (drawn by M. Gortat),2,4
13,1,9:42.0,N. Hilário misses 2-pt layup from 2 ft,,2,4
14,1,9:41.0,,Defensive rebound by G. Monroe,2,4
15,1,9:36.0,,R. Jackson misses 2-pt jump shot from 11 ft,2,4
16,1,9:35.0,Defensive rebound by N. Hilário,,2,4
17,1,9:28.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,4,4
18,1,9:10.0,,Personal foul by N. Hilário (drawn by G. Monroe),4,4
19,1,9:03.0,,C. Butler misses 3-pt jump shot from 24 ft,4,4
20,1,9:02.0,,Offensive rebound by A. Drummond,4,4
21,1,8:58.0,,A. Drummond misses 2-pt jump shot from 7 ft,4,4
22,1,8:56.0,Defensive rebound by G. Temple,,4,4
23,1,8:49.0,Personal foul by R. Jackson (drawn by P. Pierce),,4,4
24,1,8:34.0,Turnover by N. Hilário (bad pass; steal by C. Butler),,4,4
25,1,8:22.0,,G. Monroe makes 2-pt layup from 2 ft,4,6
26,1,8:01.0,Turnover by N. Hilário (step out of bounds),,4,6
27,1,7:45.0,,G. Monroe misses 2-pt layup from 2 ft,4,6
28,1,7:44.0,Defensive rebound by P. Pierce,,4,6
29,1,7:41.0,Offensive foul by N. Hilário (drawn by C. Butler),,4,6
30,1,7:41.0,Turnover by N. Hilário (offensive foul),,4,6
31,1,7:41.0,K. Séraphin enters the game for N. Hilário,,4,6
32,1,7:27.0,,R. Jackson misses 2-pt jump shot from 18 ft,4,6
33,1,7:26.0,Defensive rebound by M. Gortat,,4,6
34,1,7:17.0,K. Séraphin makes 2-pt hook shot from 5 ft (assist by J. Wall),,6,6
35,1,6:56.0,,Shooting foul by K. Séraphin (drawn by G. Monroe),6,6
36,1,6:56.0,,G. Monroe misses free throw 1 of 2,6,6
37,1,6:56.0,,Offensive rebound by Team,6,6
38,1,6:56.0,,G. Monroe makes free throw 2 of 2,6,7
39,1,6:49.0,Shooting foul by C. Butler (drawn by P. Pierce),,6,7
40,1,6:49.0,P. Pierce makes free throw 1 of 2,,7,7
41,1,6:49.0,,C. Martin enters the game for C. Butler,7,7
42,1,6:49.0,P. Pierce makes free throw 2 of 2,,8,7
43,1,6:23.0,,G. Monroe misses 2-pt jump shot from 19 ft,8,7
44,1,6:22.0,Defensive rebound by P. Pierce,,8,7
45,1,6:11.0,J. Wall misses 3-pt jump shot from 23 ft,,8,7
46,1,6:10.0,,Defensive rebound by K. Caldwell-Pope,8,7
47,1,6:00.0,,K. Caldwell-Pope makes 2-pt jump shot from 20 ft,8,9
48,1,5:50.0,G. Temple makes 2-pt layup at rim (assist by K. Séraphin),,10,9
49,1,5:26.0,,G. Monroe misses 2-pt jump shot from 7 ft,10,9
50,1,5:25.0,,Offensive rebound by A. Drummond,10,9
51,1,5:23.0,,A. Drummond makes 2-pt tip-in at rim,10,11
52,1,5:14.0,M. Gortat makes 2-pt dunk at rim (assist by K. Séraphin),,12,11
53,1,5:06.0,,Detroit full timeout,12,11
54,1,4:51.0,,R. Jackson misses 2-pt layup at rim,12,11
55,1,4:50.0,,Offensive rebound by Team,12,11
56,1,4:39.0,,A. Drummond makes 2-pt dunk at rim (assist by G. Monroe),12,13
57,1,4:20.0,K. Séraphin misses 2-pt jump shot from 12 ft,,12,13
58,1,4:18.0,Offensive rebound by M. Gortat,,12,13
59,1,4:13.0,M. Gortat makes 2-pt hook shot from 4 ft,,14,13
60,1,3:56.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by R. Jackson),14,16
61,1,3:46.0,K. Séraphin makes 2-pt hook shot from 6 ft (assist by G. Temple),,16,16
62,1,3:25.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by C. Martin),16,19
63,1,3:15.0,J. Wall misses 2-pt layup from 1 ft,,16,19
64,1,3:14.0,Offensive rebound by M. Gortat,,16,19
65,1,3:12.0,M. Gortat makes 2-pt tip-in at rim,,18,19
66,1,2:47.0,,R. Jackson misses 2-pt jump shot from 7 ft,18,19
67,1,2:46.0,,Offensive rebound by G. Monroe,18,19
68,1,2:46.0,,Personal foul by P. Pierce (drawn by G. Monroe),18,19
69,1,2:46.0,Washington full timeout,,18,19
70,1,2:46.0,,J. Meeks enters the game for G. Monroe,18,19
71,1,2:46.0,,A. Tolliver enters the game for K. Caldwell-Pope,18,19
72,1,2:46.0,,S. Dinwiddie enters the game for R. Jackson,18,19
73,1,2:46.0,R. Sessions enters the game for P. Pierce,,18,19
74,1,2:46.0,O. Porter enters the game for J. Wall,,18,19
75,1,2:42.0,,A. Drummond makes 2-pt layup at rim (assist by A. Tolliver),18,21
76,1,2:42.0,,Shooting foul by M. Gortat (drawn by A. Drummond),18,21
77,1,2:42.0,,A. Drummond misses free throw 1 of 1,18,21
78,1,2:40.0,Defensive rebound by M. Gortat,,18,21
79,1,2:22.0,K. Séraphin misses 2-pt hook shot from 6 ft,,18,21
80,1,2:20.0,,Defensive rebound by A. Tolliver,18,21
81,1,2:00.0,,A. Tolliver makes 3-pt jump shot from 26 ft (assist by A. Drummond),18,24
82,1,1:37.0,M. Gortat makes 2-pt layup from 1 ft (assist by R. Sessions),,20,24
83,1,1:14.0,,J. Meeks makes 3-pt jump shot from 25 ft (assist by A. Drummond),20,27
84,1,1:09.0,Offensive foul by K. Séraphin (drawn by A. Drummond),,20,27
85,1,1:09.0,Turnover by K. Séraphin (offensive foul),,20,27
86,1,1:09.0,R. Butler enters the game for G. Temple,,20,27
87,1,1:09.0,K. Humphries enters the game for M. Gortat,,20,27
88,1,0:54.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,20,27
89,1,0:52.0,Defensive rebound by K. Séraphin,,20,27
90,1,0:40.0,R. Sessions misses 2-pt layup from 1 ft,,20,27
91,1,0:39.0,,Defensive rebound by A. Tolliver,20,27
92,1,0:32.0,,S. Dinwiddie misses 2-pt layup at rim,20,27
93,1,0:31.0,,Offensive rebound by A. Drummond,20,27
94,1,0:30.0,,A. Drummond misses 2-pt layup at rim,20,27
95,1,0:29.0,Defensive rebound by O. Porter,,20,27
96,1,0:09.0,K. Humphries makes 2-pt jump shot from 14 ft (assist by R. Sessions),,22,27
97,1,0:02.0,,C. Martin misses 2-pt jump shot from 19 ft,22,27
98,1,0:00.0,Defensive rebound by K. Humphries,,22,27
99,2,11:41.0,Personal foul by G. Monroe (drawn by N. Hilário),,22,27
100,2,11:36.0,R. Sessions makes 2-pt layup at rim,,24,27
101,2,11:36.0,Shooting foul by S. Dinwiddie (drawn by R. Sessions),,24,27
102,2,11:36.0,R. Sessions makes free throw 1 of 1,,25,27
103,2,11:26.0,,Personal foul by R. Butler (drawn by J. Meeks),25,27
104,2,11:13.0,K. Humphries makes 2-pt jump shot from 20 ft (assist by R. Sessions),,27,27
105,2,10:54.0,,A. Tolliver makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),27,30
106,2,10:32.0,N. Hilário misses 2-pt layup at rim,,27,30
107,2,10:31.0,,Defensive rebound by C. Martin,27,30
108,2,10:18.0,,G. Monroe misses 2-pt hook shot from 5 ft,27,30
109,2,10:16.0,Defensive rebound by K. Humphries,,27,30
110,2,10:12.0,Personal foul by J. Meeks (drawn by R. Butler),,27,30
111,2,10:04.0,N. Hilário misses 2-pt jump shot from 16 ft,,27,30
112,2,10:03.0,,Defensive rebound by C. Martin,27,30
113,2,9:51.0,,Turnover by A. Tolliver (bad pass; steal by O. Porter),27,30
114,2,9:45.0,K. Humphries makes 2-pt dunk at rim (assist by R. Sessions),,29,30
115,2,9:23.0,,A. Tolliver misses 3-pt jump shot from 26 ft,29,30
116,2,9:22.0,Defensive rebound by R. Butler,,29,30
117,2,9:07.0,O. Porter makes 2-pt layup from 1 ft (assist by N. Hilário),,31,30
118,2,9:00.0,,Detroit full timeout,31,30
119,2,8:41.0,,G. Monroe makes 2-pt hook shot from 3 ft (assist by S. Dinwiddie),31,32
120,2,8:23.0,N. Hilário makes 2-pt dunk at rim (assist by R. Sessions),,33,32
121,2,8:10.0,,J. Meeks misses 2-pt jump shot from 6 ft,33,32
122,2,8:07.0,Defensive rebound by K. Humphries,,33,32
123,2,8:03.0,R. Sessions misses 2-pt layup at rim,,33,32
124,2,8:02.0,,Defensive rebound by Team,33,32
125,2,7:42.0,,Personal block foul by N. Hilário (drawn by S. Dinwiddie),33,32
126,2,7:42.0,,R. Jackson enters the game for S. Dinwiddie,33,32
127,2,7:42.0,,C. Butler enters the game for C. Martin,33,32
128,2,7:42.0,J. Wall enters the game for R. Sessions,,33,32
129,2,7:42.0,M. Gortat enters the game for N. Hilário,,33,32
130,2,7:29.0,,R. Jackson misses 2-pt jump shot from 20 ft,33,32
131,2,7:28.0,Defensive rebound by J. Wall,,33,32
132,2,7:11.0,K. Humphries makes 2-pt layup at rim (assist by R. Butler),,35,32
133,2,6:43.0,,G. Monroe makes 2-pt hook shot from 5 ft,35,34
134,2,6:23.0,K. Humphries makes 2-pt jump shot from 20 ft (assist by J. Wall),,37,34
135,2,6:08.0,,R. Jackson misses 3-pt jump shot from 26 ft,37,34
136,2,6:07.0,Defensive rebound by R. Butler,,37,34
137,2,5:59.0,J. Wall makes 2-pt layup at rim,,39,34
138,2,5:44.0,,Personal foul by M. Gortat (drawn by G. Monroe),39,34
139,2,5:44.0,Official timeout,,39,34
140,2,5:44.0,,A. Drummond enters the game for A. Tolliver,39,34
141,2,5:44.0,,K. Caldwell-Pope enters the game for J. Meeks,39,34
142,2,5:31.0,,Turnover by K. Caldwell-Pope (bad pass; steal by K. Humphries),39,34
143,2,5:31.0,R. Butler makes 2-pt dunk at rim (assist by J. Wall),,41,34
144,2,5:31.0,Shooting foul by K. Caldwell-Pope (drawn by R. Butler),,41,34
145,2,5:31.0,R. Butler makes free throw 1 of 1,,42,34
146,2,5:18.0,,Personal foul by K. Humphries (drawn by R. Jackson),42,34
147,2,5:07.0,,R. Jackson misses 2-pt jump shot from 7 ft,42,34
148,2,5:06.0,,Offensive rebound by G. Monroe,42,34
149,2,5:04.0,,G. Monroe misses 2-pt layup at rim,42,34
150,2,5:03.0,Defensive rebound by K. Humphries,,42,34
151,2,5:00.0,J. Wall makes 2-pt layup at rim (assist by K. Humphries),,44,34
152,2,4:56.0,,Detroit full timeout,44,34
153,2,4:49.0,,G. Monroe makes 2-pt layup from 1 ft (assist by R. Jackson),44,36
154,2,4:34.0,J. Wall misses 2-pt jump shot from 15 ft,,44,36
155,2,4:32.0,Offensive rebound by K. Humphries,,44,36
156,2,4:32.0,Shooting foul by C. Butler (drawn by K. Humphries),,44,36
157,2,4:32.0,K. Humphries misses free throw 1 of 2,,44,36
158,2,4:32.0,Offensive rebound by Team,,44,36
159,2,4:32.0,K. Humphries makes free throw 2 of 2,,45,36
160,2,4:14.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,45,36
161,2,4:13.0,,Offensive rebound by Team,45,36
162,2,4:13.0,Loose ball foul by K. Humphries (drawn by A. Drummond),,45,36
163,2,4:13.0,,A. Drummond makes free throw 1 of 2,45,37
164,2,4:13.0,,A. Drummond misses free throw 2 of 2,45,37
165,2,4:12.0,Defensive rebound by K. Humphries,,45,37
166,2,3:51.0,M. Gortat makes 2-pt jump shot from 8 ft,,47,37
167,2,3:38.0,,Personal foul by J. Wall (drawn by C. Butler),47,37
168,2,3:38.0,,C. Butler misses free throw 1 of 2,47,37
169,2,3:38.0,,Offensive rebound by Team,47,37
170,2,3:38.0,,C. Butler makes free throw 2 of 2,47,38
171,2,3:25.0,M. Gortat makes 2-pt layup at rim (assist by J. Wall),,49,38
172,2,3:12.0,,R. Jackson misses 2-pt jump shot from 8 ft,49,38
173,2,3:09.0,Defensive rebound by O. Porter,,49,38
174,2,3:02.0,J. Wall misses 2-pt jump shot from 19 ft,,49,38
175,2,3:01.0,,Defensive rebound by G. Monroe,49,38
176,2,2:42.0,,A. Drummond makes 2-pt hook shot from 5 ft,49,40
177,2,2:25.0,O. Porter misses 3-pt jump shot from 27 ft,,49,40
178,2,2:24.0,,Defensive rebound by G. Monroe,49,40
179,2,2:14.0,,C. Butler misses 2-pt jump shot from 12 ft,49,40
180,2,2:13.0,Defensive rebound by K. Humphries,,49,40
181,2,2:08.0,R. Butler makes 2-pt dunk at rim (assist by J. Wall),,51,40
182,2,2:01.0,,Detroit full timeout,51,40
183,2,2:01.0,K. Séraphin enters the game for O. Porter,,51,40
184,2,2:01.0,G. Temple enters the game for K. Humphries,,51,40
185,2,1:46.0,,G. Monroe makes 2-pt hook shot from 5 ft,51,42
186,2,1:39.0,R. Butler misses 3-pt jump shot from 26 ft,,51,42
187,2,1:38.0,,Defensive rebound by R. Jackson,51,42
188,2,1:31.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,51,42
189,2,1:30.0,,Offensive rebound by R. Jackson,51,42
190,2,1:27.0,,A. Drummond misses 2-pt jump shot from 7 ft (block by K. Séraphin),51,42
191,2,1:26.0,,Offensive rebound by A. Drummond,51,42
192,2,1:25.0,,Turnover by A. Drummond (step out of bounds),51,42
193,2,1:18.0,Personal foul by K. Caldwell-Pope (drawn by G. Temple),,51,42
194,2,1:18.0,G. Temple misses free throw 1 of 2,,51,42
195,2,1:18.0,Offensive rebound by Team,,51,42
196,2,1:18.0,D. Blair enters the game for M. Gortat,,51,42
197,2,1:18.0,,C. Martin enters the game for K. Caldwell-Pope,51,42
198,2,1:18.0,,J. Meeks enters the game for C. Butler,51,42
199,2,1:18.0,,A. Tolliver enters the game for G. Monroe,51,42
200,2,1:18.0,P. Pierce enters the game for K. Séraphin,,51,42
201,2,1:18.0,G. Temple makes free throw 2 of 2,,52,42
202,2,1:10.0,,Personal foul by D. Blair (drawn by R. Jackson),52,42
203,2,1:10.0,,R. Jackson makes free throw 1 of 2,52,43
204,2,1:10.0,,R. Jackson makes free throw 2 of 2,52,44
205,2,0:55.0,,Violation by R. Jackson (kicked ball),52,44
206,2,0:45.0,Turnover by D. Blair (lost ball; steal by C. Martin),,52,44
207,2,0:39.0,,J. Meeks misses 3-pt jump shot from 23 ft,52,44
208,2,0:38.0,Defensive rebound by R. Butler,,52,44
209,2,0:32.0,J. Wall misses 3-pt jump shot from 26 ft,,52,44
210,2,0:31.0,,Defensive rebound by J. Meeks,52,44
211,2,0:16.0,,R. Jackson makes 3-pt jump shot from 30 ft,52,47
212,2,0:01.0,R. Butler misses 3-pt jump shot from 24 ft,,52,47
213,2,0:00.0,Offensive rebound by Team,,52,47
