,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHOENIX_ACTION,WASHINGTON_SCORE,PHOENIX_SCORE
0,1,11:39.0,,A. Len misses 2-pt jump shot from 12 ft,0,0
1,1,11:38.0,,Offensive rebound by G. Dragić,0,0
2,1,11:35.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,0,0
3,1,11:34.0,Defensive rebound by P. Pierce,,0,0
4,1,11:11.0,M. Gortat misses 2-pt jump shot from 6 ft,,0,0
5,1,11:10.0,,Defensive rebound by P. Tucker,0,0
6,1,10:48.0,,G. Dragić makes 2-pt jump shot from 17 ft (assist by E. Bledsoe),0,2
7,1,10:42.0,Shooting foul by E. Bledsoe (drawn by P. Pierce),,0,2
8,1,10:42.0,P. Pierce misses free throw 1 of 2,,0,2
9,1,10:42.0,Offensive rebound by Team,,0,2
10,1,10:42.0,P. Pierce makes free throw 2 of 2,,1,2
11,1,10:33.0,,Turnover by G. Dragić (bad pass; steal by J. Wall),1,2
12,1,10:28.0,B. Beal misses 2-pt layup from 1 ft,,1,2
13,1,10:27.0,Offensive rebound by K. Humphries,,1,2
14,1,10:27.0,K. Humphries makes 2-pt tip-in from 1 ft,,3,2
15,1,10:04.0,,A. Len misses 2-pt jump shot from 15 ft,3,2
16,1,10:03.0,Defensive rebound by K. Humphries,,3,2
17,1,9:52.0,M. Gortat makes 2-pt jump shot from 7 ft,,5,2
18,1,9:29.0,,G. Dragić misses 2-pt jump shot from 11 ft,5,2
19,1,9:28.0,Defensive rebound by K. Humphries,,5,2
20,1,9:18.0,J. Wall misses 2-pt jump shot from 19 ft,,5,2
21,1,9:17.0,,Defensive rebound by G. Dragić,5,2
22,1,9:07.0,,A. Len makes 2-pt dunk at rim (assist by M. Morris),5,4
23,1,8:54.0,Turnover by J. Wall (lost ball; steal by E. Bledsoe),,5,4
24,1,8:51.0,,Turnover by E. Bledsoe (lost ball),5,4
25,1,8:42.0,P. Pierce misses 3-pt jump shot from 22 ft,,5,4
26,1,8:41.0,,Defensive rebound by G. Dragić,5,4
27,1,8:35.0,,A. Len makes 2-pt dunk at rim (assist by E. Bledsoe),5,6
