,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MINNESOTA_ACTION,MEMPHIS_SCORE,MINNESOTA_SCORE
0,1,11:41.0,,N. Peković misses 2-pt jump shot from 15 ft (block by M. Gasol),0,0
1,1,11:40.0,,Offensive rebound by A. Wiggins,0,0
2,1,11:39.0,,A. Wiggins misses 2-pt layup from 2 ft (block by J. Green),0,0
3,1,11:37.0,Defensive rebound by Z. Randolph,,0,0
4,1,11:15.0,Z. Randolph misses 2-pt jump shot from 15 ft,,0,0
5,1,11:13.0,,Defensive rebound by K. Garnett,0,0
6,1,11:05.0,,Turnover by N. Peković (offensive foul),0,0
7,1,11:05.0,Offensive charge foul by N. Peković (drawn by M. Gasol),,0,0
8,1,10:53.0,J. Green misses 2-pt jump shot from 19 ft,,0,0
9,1,10:52.0,,Defensive rebound by K. Garnett,0,0
10,1,10:38.0,,N. Peković misses 2-pt jump shot from 12 ft,0,0
11,1,10:37.0,Defensive rebound by J. Green,,0,0
12,1,10:27.0,Personal foul by N. Peković (drawn by M. Gasol),,0,0
13,1,10:27.0,,G. Dieng enters the game for N. Peković,0,0
14,1,10:19.0,Turnover by M. Gasol (3 sec),,0,0
15,1,9:59.0,,A. Wiggins misses 2-pt jump shot from 18 ft,0,0
16,1,9:58.0,Defensive rebound by J. Green,,0,0
17,1,9:52.0,Turnover by J. Green (lost ball; steal by K. Garnett),,0,0
18,1,9:46.0,,Personal foul by M. Gasol (drawn by G. Dieng),0,0
19,1,9:43.0,,Shooting foul by C. Lee (drawn by G. Dieng),0,0
20,1,9:43.0,,G. Dieng makes free throw 1 of 2,0,1
21,1,9:43.0,,G. Dieng misses free throw 2 of 2,0,1
22,1,9:43.0,Defensive rebound by M. Gasol,,0,1
23,1,9:28.0,M. Conley makes 3-pt jump shot from 25 ft (assist by M. Gasol),,3,1
24,1,9:09.0,,R. Rubio makes 2-pt jump shot from 18 ft,3,3
25,1,8:51.0,M. Gasol misses 2-pt jump shot from 4 ft,,3,3
26,1,8:50.0,,Defensive rebound by G. Dieng,3,3
27,1,8:43.0,,K. Martin misses 3-pt jump shot from 25 ft,3,3
28,1,8:42.0,Defensive rebound by J. Green,,3,3
29,1,8:30.0,Turnover by M. Gasol (bad pass; steal by R. Rubio),,3,3
30,1,8:26.0,,Turnover by R. Rubio (bad pass),3,3
31,1,8:09.0,Turnover by Z. Randolph (lost ball; steal by K. Garnett),,3,3
32,1,8:03.0,,K. Garnett makes 2-pt layup at rim (assist by R. Rubio),3,5
33,1,7:42.0,Turnover by Z. Randolph (lost ball; steal by K. Garnett),,3,5
34,1,7:36.0,,A. Wiggins makes 2-pt dunk at rim (assist by K. Garnett),3,7
35,1,7:05.0,M. Gasol makes 2-pt jump shot from 6 ft,,5,7
36,1,6:48.0,,A. Wiggins misses 2-pt jump shot from 6 ft,5,7
37,1,6:47.0,Defensive rebound by M. Gasol,,5,7
38,1,6:43.0,C. Lee makes 2-pt layup from 1 ft (assist by M. Conley),,7,7
39,1,6:43.0,,Minnesota full timeout,7,7
40,1,6:43.0,,A. Payne enters the game for K. Garnett,7,7
41,1,6:20.0,,R. Rubio makes 2-pt layup from 2 ft,7,9
42,1,6:00.0,Turnover by Z. Randolph (lost ball; steal by R. Rubio),,7,9
43,1,5:52.0,,G. Dieng makes 2-pt jump shot from 15 ft (assist by R. Rubio),7,11
44,1,5:31.0,M. Conley misses 2-pt jump shot from 21 ft,,7,11
45,1,5:30.0,,Defensive rebound by R. Rubio,7,11
46,1,5:18.0,,K. Martin makes 2-pt jump shot from 21 ft (assist by R. Rubio),7,13
47,1,5:08.0,Turnover by Z. Randolph (bad pass),,7,13
