,QUARTER,TIME_REMAINING,DENVER_ACTION,CLEVELAND_ACTION,DENVER_SCORE,CLEVELAND_SCORE
0,1,11:46.0,A. Afflalo misses 2-pt jump shot from 18 ft,,0,0
1,1,11:45.0,Offensive rebound by K. Faried,,0,0
2,1,11:30.0,K. Faried misses 2-pt hook shot from 6 ft,,0,0
3,1,11:29.0,,Defensive rebound by K. Irving,0,0
4,1,11:24.0,,Shooting foul by W. Chandler (drawn by L. James),0,0
5,1,11:24.0,,L. James misses free throw 1 of 2,0,0
6,1,11:24.0,,Offensive rebound by Team,0,0
7,1,11:24.0,,L. James makes free throw 2 of 2,0,1
8,1,11:11.0,Turnover by W. Chandler (bad pass; steal by S. Marion),,0,1
9,1,11:06.0,,L. James misses 2-pt layup at rim,0,1
10,1,11:06.0,Defensive rebound by Team,,0,1
11,1,10:57.0,T. Lawson misses 3-pt jump shot from 25 ft,,0,1
12,1,10:56.0,,Defensive rebound by L. James,0,1
13,1,10:36.0,,A. Varejão misses 2-pt jump shot from 4 ft (block by A. Afflalo),0,1
14,1,10:34.0,Defensive rebound by T. Mozgov,,0,1
15,1,10:30.0,Turnover by W. Chandler (step out of bounds),,0,1
16,1,10:10.0,,K. Irving misses 2-pt jump shot from 13 ft,0,1
17,1,10:08.0,Defensive rebound by A. Afflalo,,0,1
18,1,9:53.0,W. Chandler makes 2-pt jump shot from 5 ft,,2,1
19,1,9:33.0,,S. Marion makes 3-pt jump shot from 24 ft (assist by K. Irving),2,4
20,1,9:21.0,K. Faried misses 2-pt hook shot from 5 ft,,2,4
21,1,9:20.0,,Defensive rebound by K. Love,2,4
22,1,9:11.0,,K. Love misses 3-pt jump shot from 25 ft,2,4
23,1,9:10.0,,Offensive rebound by K. Irving,2,4
24,1,9:03.0,,S. Marion misses 3-pt jump shot from 24 ft,2,4
25,1,9:02.0,,Offensive rebound by Team,2,4
26,1,8:54.0,,S. Marion makes 2-pt dunk at rim (assist by L. James),2,6
27,1,8:39.0,W. Chandler makes 2-pt jump shot from 16 ft (assist by T. Lawson),,4,6
28,1,8:16.0,,L. James misses 2-pt jump shot from 14 ft,4,6
29,1,8:15.0,,Offensive rebound by K. Love,4,6
30,1,8:13.0,,K. Love misses 2-pt layup from 2 ft (block by K. Faried),4,6
31,1,8:11.0,,Offensive rebound by K. Love,4,6
32,1,8:11.0,,Shooting foul by T. Lawson (drawn by K. Love),4,6
33,1,8:11.0,,K. Love makes free throw 1 of 2,4,7
34,1,8:11.0,,K. Love makes free throw 2 of 2,4,8
35,1,7:52.0,W. Chandler misses 2-pt layup from 2 ft,,4,8
36,1,7:51.0,,Defensive rebound by K. Love,4,8
37,1,7:38.0,,L. James misses 3-pt jump shot from 26 ft,4,8
38,1,7:37.0,,Offensive rebound by A. Varejão,4,8
39,1,7:26.0,,L. James misses 2-pt jump shot from 13 ft,4,8
40,1,7:25.0,Defensive rebound by W. Chandler,,4,8
41,1,7:15.0,K. Faried makes 2-pt layup from 1 ft (assist by T. Lawson),,6,8
42,1,6:54.0,,K. Love makes 2-pt jump shot from 14 ft,6,10
43,1,6:38.0,T. Mozgov makes 2-pt layup at rim,,8,10
44,1,6:38.0,Shooting foul by A. Varejão (drawn by T. Mozgov),,8,10
45,1,6:38.0,Turnover by K. Faried (offensive goaltending),,8,10
46,1,6:21.0,,Shooting foul by K. Faried (drawn by K. Love),8,10
47,1,6:21.0,,K. Love makes free throw 1 of 2,8,11
48,1,6:21.0,,K. Love makes free throw 2 of 2,8,12
49,1,6:09.0,A. Afflalo makes 3-pt jump shot from 24 ft (assist by T. Lawson),,11,12
50,1,5:48.0,,L. James misses 2-pt jump shot from 5 ft,11,12
51,1,5:46.0,Defensive rebound by T. Mozgov,,11,12
52,1,5:37.0,Turnover by T. Lawson (bad pass),,11,12
53,1,5:37.0,,Cleveland full timeout,11,12
54,1,5:37.0,,D. Waiters enters the game for S. Marion,11,12
55,1,5:37.0,,J. Harris enters the game for K. Irving,11,12
56,1,5:17.0,,Turnover by D. Waiters (bad pass; steal by W. Chandler),11,12
57,1,5:12.0,A. Afflalo makes 2-pt layup at rim (assist by K. Faried),,13,12
58,1,4:57.0,,K. Love makes 2-pt layup at rim,13,14
59,1,4:38.0,Turnover by T. Lawson (bad pass; steal by D. Waiters),,13,14
60,1,4:34.0,,L. James makes 2-pt dunk at rim,13,16
61,1,4:10.0,A. Afflalo misses 2-pt jump shot from 6 ft,,13,16
62,1,4:10.0,Offensive rebound by Team,,13,16
63,1,4:05.0,T. Lawson makes 2-pt jump shot from 18 ft,,15,16
64,1,3:48.0,,J. Harris misses 3-pt jump shot from 23 ft,15,16
65,1,3:47.0,Defensive rebound by W. Chandler,,15,16
66,1,3:39.0,Turnover by A. Afflalo (lost ball; steal by D. Waiters),,15,16
67,1,3:34.0,,Shooting foul by T. Mozgov (drawn by L. James),15,16
68,1,3:34.0,,L. James makes free throw 1 of 2,15,17
69,1,3:34.0,D. Arthur enters the game for K. Faried,,15,17
70,1,3:34.0,,T. Thompson enters the game for A. Varejão,15,17
71,1,3:34.0,,L. James makes free throw 2 of 2,15,18
72,1,3:22.0,W. Chandler misses 2-pt jump shot from 6 ft (block by T. Thompson),,15,18
73,1,3:21.0,,Defensive rebound by K. Love,15,18
74,1,3:09.0,,D. Waiters makes 2-pt jump shot from 17 ft,15,20
75,1,2:56.0,A. Afflalo makes 3-pt jump shot from 23 ft (assist by T. Lawson),,18,20
76,1,2:35.0,,T. Thompson misses 2-pt jump shot from 8 ft,18,20
77,1,2:33.0,Defensive rebound by D. Arthur,,18,20
78,1,2:27.0,T. Lawson misses 3-pt jump shot from 25 ft,,18,20
79,1,2:26.0,Offensive rebound by D. Arthur,,18,20
80,1,2:17.0,A. Afflalo makes 2-pt jump shot from 13 ft (assist by T. Lawson),,20,20
81,1,2:00.0,,Shooting foul by D. Arthur (drawn by T. Thompson),20,20
82,1,2:00.0,Denver full timeout,,20,20
83,1,2:00.0,,K. Irving enters the game for L. James,20,20
84,1,2:00.0,J. McGee enters the game for T. Mozgov,,20,20
85,1,2:00.0,,T. Thompson misses free throw 1 of 2,20,20
86,1,2:00.0,,Offensive rebound by Team,20,20
87,1,2:00.0,,T. Thompson makes free throw 2 of 2,20,21
88,1,1:38.0,A. Afflalo misses 3-pt jump shot from 25 ft,,20,21
89,1,1:37.0,,Defensive rebound by D. Waiters,20,21
90,1,1:20.0,,K. Love makes 2-pt hook shot from 5 ft (assist by K. Irving),20,23
91,1,1:07.0,W. Chandler misses 2-pt layup at rim,,20,23
92,1,1:05.0,Offensive rebound by J. McGee,,20,23
93,1,1:05.0,J. McGee makes 2-pt dunk at rim,,22,23
94,1,0:48.0,,J. Harris makes 3-pt jump shot from 23 ft (assist by K. Irving),22,26
95,1,0:41.0,Turnover by A. Afflalo (traveling),,22,26
96,1,0:41.0,D. Gallinari enters the game for A. Afflalo,,22,26
97,1,0:41.0,R. Foye enters the game for W. Chandler,,22,26
98,1,0:35.0,,Turnover by K. Irving (bad pass; steal by J. McGee),22,26
99,1,0:31.0,T. Lawson makes 2-pt layup at rim (assist by D. Gallinari),,24,26
100,1,0:06.0,,K. Irving misses 2-pt jump shot from 17 ft,24,26
101,1,0:05.0,Defensive rebound by D. Arthur,,24,26
102,2,11:39.0,,D. Waiters misses 3-pt jump shot from 24 ft,24,26
103,2,11:38.0,Defensive rebound by D. Gallinari,,24,26
104,2,11:22.0,D. Arthur makes 3-pt jump shot from 26 ft (assist by N. Robinson),,27,26
105,2,10:57.0,,Turnover by S. Marion (traveling),27,26
106,2,10:38.0,D. Gallinari misses 2-pt jump shot from 5 ft,,27,26
107,2,10:36.0,,Defensive rebound by T. Thompson,27,26
108,2,10:29.0,,K. Irving makes 3-pt jump shot from 24 ft (assist by J. Harris),27,29
109,2,10:12.0,J. McGee misses 2-pt hook shot from 6 ft,,27,29
110,2,10:11.0,,Defensive rebound by T. Thompson,27,29
111,2,10:03.0,,D. Waiters misses 2-pt layup from 1 ft,27,29
112,2,10:00.0,,Offensive rebound by T. Thompson,27,29
113,2,9:58.0,,T. Thompson misses 2-pt layup from 1 ft,27,29
114,2,9:56.0,,Offensive rebound by T. Thompson,27,29
