,QUARTER,TIME_REMAINING,BOSTON_ACTION,PHOENIX_ACTION,BOSTON_SCORE,PHOENIX_SCORE
0,1,11:41.0,,M. Morris misses 2-pt jump shot from 16 ft,0,0
1,1,11:39.0,Defensive rebound by B. Bass,,0,0
2,1,11:21.0,T. Zeller misses 2-pt jump shot from 13 ft,,0,0
3,1,11:19.0,,Defensive rebound by A. Len,0,0
4,1,11:10.0,,B. Knight misses 3-pt jump shot from 24 ft,0,0
5,1,11:09.0,Defensive rebound by Team,,0,0
6,1,10:54.0,Turnover by E. Turner (bad pass; steal by E. Bledsoe),,0,0
7,1,10:50.0,,E. Bledsoe makes 2-pt layup at rim,0,2
8,1,10:35.0,B. Bass makes 2-pt jump shot from 14 ft (assist by M. Smart),,2,2
9,1,10:24.0,,M. Morris misses 2-pt jump shot from 12 ft,2,2
10,1,10:22.0,Defensive rebound by A. Bradley,,2,2
11,1,10:05.0,Turnover by A. Bradley (bad pass; steal by M. Morris),,2,2
12,1,9:58.0,,Turnover by B. Knight (bad pass; steal by A. Bradley),2,2
13,1,9:49.0,Shooting foul by B. Knight (drawn by A. Bradley),,2,2
14,1,9:49.0,A. Bradley makes free throw 1 of 2,,3,2
15,1,9:49.0,A. Bradley makes free throw 2 of 2,,4,2
16,1,9:30.0,,P. Tucker misses 2-pt hook shot from 6 ft,4,2
17,1,9:27.0,Defensive rebound by E. Turner,,4,2
18,1,9:20.0,A. Bradley makes 2-pt layup at rim (assist by E. Turner),,6,2
19,1,9:10.0,,Turnover by B. Knight (lost ball; steal by M. Smart),6,2
20,1,9:01.0,B. Bass misses 2-pt jump shot from 15 ft,,6,2
21,1,8:59.0,,Defensive rebound by A. Len,6,2
22,1,8:49.0,,A. Len makes 2-pt dunk at rim (assist by E. Bledsoe),6,4
23,1,8:34.0,B. Bass misses 2-pt jump shot from 3 ft (block by A. Len),,6,4
24,1,8:31.0,,Defensive rebound by A. Len,6,4
25,1,8:19.0,,P. Tucker misses 3-pt jump shot from 23 ft,6,4
26,1,8:17.0,Defensive rebound by M. Smart,,6,4
27,1,8:08.0,E. Turner makes 2-pt jump shot from 7 ft,,8,4
28,1,7:59.0,,B. Knight misses 2-pt jump shot from 7 ft,8,4
29,1,7:56.0,Defensive rebound by T. Zeller,,8,4
30,1,7:45.0,M. Smart makes 3-pt jump shot from 25 ft (assist by B. Bass),,11,4
31,1,7:22.0,,A. Len makes 2-pt jump shot from 7 ft,11,6
32,1,6:59.0,Turnover by E. Turner (bad pass; steal by M. Morris),,11,6
33,1,6:55.0,,B. Knight makes 2-pt dunk at rim (assist by M. Morris),11,8
34,1,6:35.0,A. Bradley makes 2-pt jump shot from 15 ft,,13,8
35,1,6:25.0,,Personal foul by B. Bass (drawn by M. Morris),13,8
36,1,6:16.0,,Turnover by E. Bledsoe (bad pass; steal by B. Bass),13,8
37,1,6:15.0,B. Bass makes 2-pt layup from 1 ft (assist by M. Smart),,15,8
38,1,6:04.0,,Phoenix full timeout,15,8
39,1,5:45.0,,A. Len makes 2-pt jump shot from 7 ft,15,10
40,1,5:31.0,Turnover by M. Smart (bad pass),,15,10
41,1,5:24.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),15,13
42,1,5:05.0,A. Bradley makes 2-pt jump shot from 18 ft,,17,13
43,1,5:00.0,,Turnover by E. Bledsoe (bad pass),17,13
44,1,5:00.0,I. Thomas enters the game for M. Smart,,17,13
45,1,4:44.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by E. Turner),,20,13
46,1,4:33.0,,E. Bledsoe misses 2-pt layup from 1 ft,20,13
47,1,4:32.0,Defensive rebound by B. Bass,,20,13
48,1,4:25.0,I. Thomas misses 3-pt jump shot from 23 ft,,20,13
49,1,4:23.0,,Defensive rebound by P. Tucker,20,13
50,1,4:12.0,,M. Morris misses 2-pt jump shot from 9 ft,20,13
51,1,4:08.0,Defensive rebound by E. Turner,,20,13
52,1,3:54.0,E. Turner misses 3-pt jump shot from 24 ft,,20,13
53,1,3:52.0,Offensive rebound by E. Turner,,20,13
54,1,3:49.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by E. Turner),,23,13
55,1,3:34.0,,Personal foul by A. Bradley (drawn by B. Knight),23,13
56,1,3:34.0,,M. Morris enters the game for P. Tucker,23,13
57,1,3:34.0,,A. Goodwin enters the game for M. Morris,23,13
58,1,3:34.0,,B. Wright enters the game for B. Knight,23,13
59,1,3:34.0,J. Crowder enters the game for B. Bass,,23,13
60,1,3:27.0,,M. Morris misses 3-pt jump shot from 23 ft,23,13
61,1,3:26.0,,Offensive rebound by Team,23,13
62,1,3:03.0,,Turnover by A. Goodwin (lost ball; steal by A. Bradley),23,13
63,1,2:56.0,I. Thomas misses 2-pt hook shot from 4 ft,,23,13
64,1,2:54.0,,Defensive rebound by M. Morris,23,13
65,1,2:48.0,,B. Wright makes 2-pt layup at rim (assist by M. Morris),23,15
66,1,2:34.0,J. Crowder misses 3-pt jump shot from 24 ft,,23,15
67,1,2:33.0,Offensive rebound by T. Zeller,,23,15
68,1,2:27.0,J. Crowder misses 2-pt jump shot from 17 ft,,23,15
69,1,2:26.0,,Defensive rebound by B. Wright,23,15
70,1,2:09.0,,A. Len misses 2-pt jump shot from 19 ft,23,15
71,1,2:07.0,Defensive rebound by J. Crowder,,23,15
72,1,1:53.0,Personal foul by E. Bledsoe (drawn by J. Crowder),,23,15
73,1,1:53.0,Boston full timeout,,23,15
74,1,1:53.0,,E. Barron enters the game for A. Len,23,15
75,1,1:53.0,J. Young enters the game for E. Turner,,23,15
76,1,1:53.0,G. Wallace enters the game for A. Bradley,,23,15
77,1,1:38.0,J. Young misses 2-pt jump shot from 18 ft,,23,15
78,1,1:36.0,,Defensive rebound by Team,23,15
79,1,1:23.0,,M. Morris makes 2-pt jump shot from 16 ft,23,17
80,1,1:00.0,I. Thomas misses 3-pt jump shot from 25 ft,,23,17
81,1,0:57.0,,Defensive rebound by B. Wright,23,17
82,1,0:48.0,,E. Barron makes 2-pt jump shot from 14 ft (assist by E. Bledsoe),23,19
83,1,0:38.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by I. Thomas),,26,19
84,1,0:33.0,,E. Bledsoe misses 2-pt jump shot from 16 ft,26,19
85,1,0:31.0,,Offensive rebound by Team,26,19
