,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,ORLANDO_ACTION,LA LAKERS_SCORE,ORLANDO_SCORE
0,1,11:46.0,,Turnover by E. Payton (bad pass; steal by R. Kelly),0,0
1,1,11:41.0,J. Clarkson makes 2-pt layup from 1 ft (assist by R. Kelly),,2,0
2,1,11:32.0,,N. Vučević misses 2-pt jump shot from 4 ft,2,0
3,1,11:30.0,Defensive rebound by T. Black,,2,0
4,1,11:11.0,R. Sacre makes 2-pt jump shot from 11 ft,,4,0
5,1,10:56.0,,N. Vučević makes 2-pt hook shot from 11 ft (assist by E. Payton),4,2
6,1,10:29.0,W. Ellington makes 3-pt jump shot from 26 ft (assist by R. Kelly),,7,2
7,1,10:18.0,,N. Vučević makes 2-pt hook shot from 8 ft (assist by E. Payton),7,4
8,1,9:58.0,Turnover by W. Ellington (lost ball; steal by V. Oladipo),,7,4
9,1,9:48.0,,Turnover by V. Oladipo (bad pass; steal by J. Clarkson),7,4
10,1,9:43.0,J. Clarkson makes 2-pt layup at rim,,9,4
11,1,9:17.0,,C. Frye makes 2-pt hook shot from 6 ft (assist by E. Payton),9,6
12,1,8:47.0,R. Sacre misses 2-pt jump shot from 13 ft,,9,6
13,1,8:46.0,,Defensive rebound by N. Vučević,9,6
14,1,8:33.0,,Turnover by E. Payton (lost ball; steal by J. Clarkson),9,6
15,1,8:28.0,J. Clarkson makes 2-pt jump shot from 9 ft,,11,6
16,1,8:07.0,,C. Frye misses 3-pt jump shot from 26 ft,11,6
17,1,8:06.0,Defensive rebound by Team,,11,6
18,1,7:51.0,Shooting foul by N. Vučević (drawn by R. Sacre),,11,6
19,1,7:51.0,R. Sacre makes free throw 1 of 2,,12,6
20,1,7:51.0,R. Sacre makes free throw 2 of 2,,13,6
21,1,7:32.0,,Turnover by V. Oladipo (bad pass),13,6
22,1,7:10.0,R. Kelly misses 2-pt jump shot from 8 ft,,13,6
23,1,7:09.0,Offensive rebound by T. Black,,13,6
24,1,7:09.0,T. Black misses 2-pt dunk at rim,,13,6
25,1,7:06.0,Offensive rebound by J. Clarkson,,13,6
26,1,6:54.0,Turnover by T. Black (3 sec),,13,6
27,1,6:41.0,,T. Harris makes 3-pt jump shot from 22 ft (assist by C. Frye),13,9
28,1,6:15.0,R. Sacre misses 2-pt hook shot from 10 ft,,13,9
29,1,6:14.0,,Defensive rebound by V. Oladipo,13,9
30,1,6:08.0,,Turnover by V. Oladipo (lost ball; steal by J. Clarkson),13,9
31,1,6:03.0,T. Black makes 2-pt dunk at rim (assist by J. Clarkson),,15,9
32,1,6:02.0,,Orlando full timeout,15,9
33,1,6:02.0,,A. Gordon enters the game for C. Frye,15,9
34,1,5:49.0,,N. Vučević misses 2-pt jump shot from 18 ft,15,9
35,1,5:46.0,,Offensive rebound by A. Gordon,15,9
36,1,5:44.0,,Turnover by A. Gordon (lost ball; steal by R. Kelly),15,9
37,1,5:28.0,R. Kelly misses 2-pt jump shot from 20 ft,,15,9
38,1,5:26.0,,Defensive rebound by E. Payton,15,9
39,1,5:16.0,,N. Vučević makes 2-pt layup at rim,15,11
40,1,4:56.0,W. Ellington misses 3-pt jump shot from 27 ft,,15,11
41,1,4:54.0,Offensive rebound by R. Sacre,,15,11
42,1,4:50.0,R. Kelly makes 3-pt jump shot from 26 ft (assist by R. Sacre),,18,11
43,1,4:36.0,,N. Vučević misses 2-pt jump shot from 16 ft,18,11
44,1,4:35.0,Defensive rebound by W. Ellington,,18,11
45,1,4:13.0,R. Sacre misses 2-pt jump shot from 15 ft,,18,11
46,1,4:11.0,,Defensive rebound by Team,18,11
47,1,4:11.0,,L. Ridnour enters the game for E. Payton,18,11
48,1,4:11.0,C. Boozer enters the game for T. Black,,18,11
49,1,4:11.0,E. Davis enters the game for R. Sacre,,18,11
50,1,3:52.0,,T. Harris makes 2-pt layup from 2 ft (assist by V. Oladipo),18,13
51,1,3:40.0,Turnover by J. Clarkson (bad pass; steal by T. Harris),,18,13
52,1,3:35.0,,T. Harris makes 2-pt layup at rim (assist by V. Oladipo),18,15
53,1,3:16.0,C. Boozer misses 2-pt jump shot from 15 ft,,18,15
