,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,BOSTON_ACTION,LA LAKERS_SCORE,BOSTON_SCORE
0,1,11:41.0,J. Hill makes 2-pt jump shot from 3 ft (assist by C. Boozer),,2,0
1,1,11:41.0,Shooting foul by T. Zeller (drawn by J. Hill),,2,0
2,1,11:41.0,J. Hill makes free throw 1 of 1,,3,0
3,1,11:26.0,,A. Bradley makes 2-pt jump shot from 20 ft,3,2
4,1,11:10.0,C. Boozer misses 2-pt jump shot from 14 ft,,3,2
5,1,11:09.0,,Defensive rebound by J. Green,3,2
6,1,11:05.0,,Shooting block foul by K. Bryant (drawn by J. Green),3,2
7,1,11:05.0,,J. Green misses free throw 1 of 2,3,2
8,1,11:05.0,,Offensive rebound by Team,3,2
9,1,11:05.0,,J. Green misses free throw 2 of 2,3,2
10,1,11:04.0,Defensive rebound by W. Johnson,,3,2
11,1,11:00.0,Turnover by J. Lin (bad pass),,3,2
12,1,10:45.0,,J. Green makes 2-pt layup from 3 ft,3,4
13,1,10:30.0,Turnover by K. Bryant (bad pass),,3,4
14,1,10:22.0,,R. Rondo misses 2-pt jump shot from 18 ft,3,4
15,1,10:21.0,Defensive rebound by C. Boozer,,3,4
16,1,10:12.0,C. Boozer misses 2-pt jump shot from 15 ft,,3,4
17,1,10:11.0,,Defensive rebound by T. Zeller,3,4
18,1,10:06.0,,Personal foul by C. Boozer (drawn by J. Sullinger),3,4
19,1,10:00.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by T. Zeller),3,6
20,1,9:48.0,K. Bryant misses 2-pt jump shot from 13 ft,,3,6
21,1,9:47.0,,Defensive rebound by T. Zeller,3,6
22,1,9:39.0,,J. Sullinger makes 3-pt jump shot from 24 ft (assist by R. Rondo),3,9
23,1,9:28.0,Personal foul by A. Bradley (drawn by K. Bryant),,3,9
24,1,9:19.0,J. Hill makes 2-pt layup from 1 ft (assist by K. Bryant),,5,9
25,1,9:09.0,,R. Rondo misses 2-pt layup at rim,5,9
26,1,9:08.0,Defensive rebound by C. Boozer,,5,9
27,1,9:05.0,,Violation by J. Green (kicked ball),5,9
28,1,8:52.0,Personal foul by R. Rondo (drawn by J. Lin),,5,9
29,1,8:39.0,K. Bryant misses 2-pt jump shot from 16 ft,,5,9
30,1,8:38.0,,Defensive rebound by J. Sullinger,5,9
31,1,8:30.0,,R. Rondo makes 2-pt layup from 1 ft,5,11
32,1,8:15.0,,Offensive charge foul by C. Boozer (drawn by T. Zeller),5,11
33,1,8:15.0,Turnover by C. Boozer (offensive foul),,5,11
34,1,8:15.0,E. Davis enters the game for C. Boozer,,5,11
35,1,8:04.0,,T. Zeller makes 2-pt dunk at rim (assist by J. Green),5,13
36,1,7:35.0,K. Bryant makes 2-pt hook shot from 8 ft,,7,13
37,1,7:21.0,,T. Zeller makes 2-pt hook shot from 4 ft (assist by R. Rondo),7,15
38,1,7:09.0,J. Hill makes 2-pt jump shot from 19 ft (assist by J. Lin),,9,15
39,1,6:59.0,,A. Bradley misses 2-pt layup from 1 ft (block by J. Hill),9,15
40,1,6:58.0,Defensive rebound by J. Hill,,9,15
41,1,6:45.0,K. Bryant misses 2-pt jump shot from 20 ft,,9,15
42,1,6:44.0,,Defensive rebound by J. Sullinger,9,15
43,1,6:36.0,,R. Rondo makes 2-pt jump shot from 19 ft,9,17
44,1,6:17.0,W. Johnson misses 2-pt jump shot from 13 ft,,9,17
45,1,6:16.0,,Defensive rebound by J. Sullinger,9,17
46,1,6:07.0,,R. Rondo misses 3-pt jump shot from 24 ft,9,17
47,1,6:06.0,Defensive rebound by W. Johnson,,9,17
48,1,5:55.0,E. Davis misses 2-pt jump shot from 4 ft (block by T. Zeller),,9,17
49,1,5:54.0,,Defensive rebound by J. Green,9,17
50,1,5:48.0,,T. Zeller makes 2-pt layup at rim (assist by R. Rondo),9,19
51,1,5:39.0,LA Lakers full timeout,,9,19
52,1,5:39.0,,K. Olynyk enters the game for J. Sullinger,9,19
53,1,5:39.0,,E. Turner enters the game for A. Bradley,9,19
54,1,5:39.0,N. Young enters the game for W. Johnson,,9,19
55,1,5:23.0,K. Bryant misses 2-pt jump shot from 14 ft,,9,19
56,1,5:22.0,,Defensive rebound by T. Zeller,9,19
57,1,5:08.0,,J. Green makes 2-pt jump shot from 4 ft (assist by R. Rondo),9,21
58,1,4:57.0,J. Lin misses 2-pt jump shot from 13 ft,,9,21
59,1,4:56.0,,Defensive rebound by R. Rondo,9,21
60,1,4:47.0,,T. Zeller makes 2-pt layup at rim (assist by R. Rondo),9,23
61,1,4:35.0,N. Young misses 2-pt jump shot from 22 ft,,9,23
62,1,4:34.0,,Defensive rebound by T. Zeller,9,23
