,QUARTER,TIME_REMAINING,BOSTON_ACTION,MINNESOTA_ACTION,BOSTON_SCORE,MINNESOTA_SCORE
0,1,11:46.0,A. Bradley makes 2-pt jump shot from 20 ft,,2,0
1,1,11:26.0,,Turnover by A. Wiggins (lost ball; steal by A. Bradley),2,0
2,1,11:20.0,A. Bradley misses 3-pt jump shot from 24 ft,,2,0
3,1,11:19.0,Offensive rebound by J. Crowder,,2,0
4,1,11:13.0,J. Sullinger misses 3-pt jump shot from 24 ft,,2,0
5,1,11:12.0,,Defensive rebound by G. Dieng,2,0
6,1,11:01.0,,G. Dieng misses 2-pt jump shot from 18 ft,2,0
7,1,10:59.0,Defensive rebound by B. Bass,,2,0
8,1,10:47.0,Turnover by A. Bradley (bad pass; steal by Z. LaVine),,2,0
9,1,10:35.0,,T. Young misses 2-pt jump shot from 11 ft,2,0
10,1,10:34.0,,Offensive rebound by G. Dieng,2,0
11,1,10:32.0,,G. Dieng makes 2-pt layup from 1 ft,2,2
12,1,10:18.0,A. Bradley makes 2-pt jump shot from 20 ft,,4,2
13,1,9:48.0,,G. Dieng misses 2-pt jump shot from 20 ft,4,2
14,1,9:47.0,Defensive rebound by J. Sullinger,,4,2
15,1,9:32.0,B. Bass makes 2-pt jump shot from 4 ft,,6,2
16,1,9:11.0,,N. Peković misses 2-pt jump shot from 5 ft (block by J. Sullinger),6,2
17,1,9:09.0,Defensive rebound by J. Crowder,,6,2
18,1,9:05.0,A. Bradley misses 3-pt jump shot from 22 ft,,6,2
19,1,9:03.0,Offensive rebound by E. Turner,,6,2
20,1,9:00.0,Turnover by B. Bass (bad pass; steal by Z. LaVine),,6,2
21,1,8:58.0,,Turnover by Z. LaVine (lost ball; steal by J. Sullinger),6,2
22,1,8:53.0,A. Bradley misses 3-pt jump shot from 23 ft,,6,2
23,1,8:52.0,,Defensive rebound by G. Dieng,6,2
24,1,8:52.0,,Minnesota full timeout,6,2
25,1,8:33.0,,T. Young makes 2-pt layup from 2 ft (assist by A. Wiggins),6,4
26,1,8:14.0,E. Turner misses 2-pt jump shot from 18 ft,,6,4
27,1,8:13.0,,Defensive rebound by Z. LaVine,6,4
28,1,7:57.0,,A. Wiggins misses 3-pt jump shot from 24 ft,6,4
29,1,7:56.0,Defensive rebound by J. Sullinger,,6,4
30,1,7:36.0,B. Bass misses 2-pt jump shot from 19 ft,,6,4
31,1,7:34.0,,Defensive rebound by G. Dieng,6,4
32,1,7:20.0,,N. Peković makes 2-pt jump shot from 6 ft (assist by Z. LaVine),6,6
33,1,7:04.0,Personal foul by G. Dieng (drawn by B. Bass),,6,6
