,QUARTER,TIME_REMAINING,DALLAS_ACTION,GOLDEN STATE_ACTION,DALLAS_SCORE,GOLDEN STATE_SCORE
0,1,11:41.0,R. Jefferson makes 3-pt jump shot from 22 ft (assist by R. Rondo),,3,0
1,1,11:22.0,,D. Green misses 2-pt jump shot from 19 ft,3,0
2,1,11:21.0,Defensive rebound by R. Rondo,,3,0
3,1,11:14.0,Turnover by M. Ellis (lost ball),,3,0
4,1,11:11.0,,Turnover by K. Thompson (lost ball),3,0
5,1,10:50.0,M. Ellis misses 2-pt jump shot from 9 ft,,3,0
6,1,10:48.0,,Defensive rebound by K. Thompson,3,0
7,1,10:40.0,,Turnover by K. Thompson (lost ball; steal by M. Ellis),3,0
8,1,10:34.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by R. Jefferson),,6,0
9,1,10:34.0,,Golden State full timeout,6,0
10,1,10:13.0,,Turnover by H. Barnes (lost ball),6,0
11,1,9:49.0,D. Nowitzki misses 2-pt jump shot from 16 ft,,6,0
12,1,9:48.0,,Defensive rebound by A. Bogut,6,0
13,1,9:43.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Bogut),6,3
14,1,9:33.0,R. Rondo makes 2-pt jump shot from 11 ft,,8,3
15,1,9:18.0,,S. Curry makes 2-pt layup from 1 ft (assist by A. Bogut),8,5
16,1,9:01.0,D. Nowitzki misses 2-pt jump shot from 21 ft,,8,5
17,1,9:00.0,,Defensive rebound by A. Bogut,8,5
18,1,8:42.0,,K. Thompson misses 2-pt jump shot from 18 ft,8,5
19,1,8:40.0,Defensive rebound by R. Jefferson,,8,5
20,1,8:32.0,T. Chandler misses 2-pt layup at rim (block by K. Thompson),,8,5
21,1,8:30.0,Offensive rebound by M. Ellis,,8,5
22,1,8:25.0,R. Rondo makes 3-pt jump shot from 23 ft (assist by D. Nowitzki),,11,5
23,1,8:10.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by A. Bogut),11,8
24,1,8:00.0,Shooting foul by S. Curry (drawn by R. Rondo),,11,8
25,1,8:00.0,R. Rondo misses free throw 1 of 2,,11,8
26,1,8:00.0,Offensive rebound by Team,,11,8
27,1,8:00.0,R. Rondo makes free throw 2 of 2,,12,8
28,1,7:47.0,,H. Barnes misses 2-pt jump shot from 21 ft,12,8
29,1,7:47.0,Defensive rebound by Team,,12,8
30,1,7:32.0,R. Rondo makes 2-pt jump shot from 20 ft (assist by D. Nowitzki),,14,8
31,1,7:16.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by D. Green),14,11
32,1,7:09.0,Offensive foul by T. Chandler (drawn by S. Curry),,14,11
33,1,7:09.0,Turnover by T. Chandler (offensive foul),,14,11
34,1,6:56.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by S. Curry),14,14
35,1,6:41.0,D. Nowitzki misses 2-pt jump shot from 3 ft,,14,14
36,1,6:39.0,,Defensive rebound by A. Bogut,14,14
37,1,6:33.0,,S. Curry misses 3-pt jump shot from 25 ft,14,14
38,1,6:32.0,Defensive rebound by R. Rondo,,14,14
39,1,6:24.0,M. Ellis misses 3-pt jump shot from 26 ft,,14,14
40,1,6:23.0,,Defensive rebound by H. Barnes,14,14
41,1,6:18.0,,Turnover by S. Curry (bad pass; steal by M. Ellis),14,14
42,1,6:04.0,R. Rondo misses 3-pt jump shot from 25 ft,,14,14
43,1,6:02.0,,Defensive rebound by D. Green,14,14
44,1,6:01.0,,Personal foul by D. Nowitzki (drawn by D. Green),14,14
45,1,6:01.0,Technical foul by T. Chandler,,14,14
46,1,6:01.0,,S. Curry makes technical free throw,14,15
47,1,6:01.0,C. Villanueva enters the game for D. Nowitzki,,14,15
48,1,5:45.0,,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),14,17
49,1,5:35.0,Turnover by M. Ellis (bad pass; steal by S. Curry),,14,17
50,1,5:30.0,,S. Curry makes 3-pt jump shot from 25 ft,14,20
51,1,5:29.0,Dallas full timeout,,14,20
52,1,5:14.0,Offensive foul by M. Ellis (drawn by A. Bogut),,14,20
53,1,5:14.0,Turnover by M. Ellis (offensive foul),,14,20
54,1,5:00.0,,K. Thompson misses 2-pt jump shot from 19 ft,14,20
55,1,4:59.0,,Offensive rebound by A. Bogut,14,20
56,1,4:54.0,,S. Curry misses 2-pt layup from 2 ft,14,20
57,1,4:51.0,,Offensive rebound by A. Bogut,14,20
58,1,4:51.0,,A. Bogut misses 2-pt tip-in from 1 ft,14,20
59,1,4:50.0,Defensive rebound by T. Chandler,,14,20
60,1,4:35.0,T. Chandler makes 2-pt dunk at rim (assist by R. Rondo),,16,20
61,1,4:19.0,,D. Green misses 3-pt jump shot from 23 ft,16,20
62,1,4:18.0,Defensive rebound by M. Ellis,,16,20
63,1,4:05.0,M. Ellis misses 2-pt jump shot from 19 ft,,16,20
64,1,4:04.0,,Defensive rebound by A. Bogut,16,20
65,1,4:00.0,,D. Green misses 2-pt layup at rim (block by M. Ellis),16,20
66,1,3:57.0,,Offensive rebound by D. Green,16,20
67,1,3:56.0,,D. Green makes 2-pt layup from 1 ft,16,22
68,1,3:37.0,R. Rondo misses 2-pt jump shot from 10 ft,,16,22
69,1,3:37.0,,Defensive rebound by Team,16,22
70,1,3:37.0,Loose ball foul by T. Chandler (drawn by A. Bogut),,16,22
71,1,3:37.0,,A. Iguodala enters the game for H. Barnes,16,22
72,1,3:37.0,,M. Speights enters the game for A. Bogut,16,22
73,1,3:37.0,A. Stoudemire enters the game for T. Chandler,,16,22
74,1,3:14.0,,M. Speights makes 2-pt layup from 1 ft (assist by S. Curry),16,24
75,1,2:59.0,R. Rondo makes 2-pt jump shot from 14 ft,,18,24
76,1,2:49.0,,M. Speights makes 2-pt layup from 2 ft (assist by D. Green),18,26
77,1,2:47.0,,Technical foul by M. Speights,18,26
78,1,2:47.0,M. Ellis makes technical free throw,,19,26
79,1,2:47.0,,L. Barbosa enters the game for K. Thompson,19,26
80,1,2:35.0,Shooting foul by L. Barbosa (drawn by M. Ellis),,19,26
81,1,2:35.0,M. Ellis misses free throw 1 of 2,,19,26
82,1,2:35.0,Offensive rebound by Team,,19,26
83,1,2:35.0,M. Ellis makes free throw 2 of 2,,20,26
84,1,2:18.0,,Turnover by M. Speights (bad pass),20,26
85,1,2:06.0,A. Stoudemire misses 2-pt jump shot from 20 ft,,20,26
86,1,2:04.0,,Defensive rebound by D. Green,20,26
87,1,2:01.0,J. Barea enters the game for R. Jefferson,,20,26
88,1,2:01.0,D. Nowitzki enters the game for R. Rondo,,20,26
89,1,2:01.0,A. Aminu enters the game for C. Villanueva,,20,26
90,1,1:56.0,,Turnover by S. Curry (traveling),20,26
91,1,1:41.0,M. Ellis makes 2-pt jump shot from 11 ft,,22,26
92,1,1:32.0,,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),22,28
93,1,1:17.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,22,28
94,1,1:15.0,,Defensive rebound by A. Iguodala,22,28
95,1,1:07.0,,M. Speights misses 2-pt jump shot from 18 ft,22,28
96,1,1:05.0,Defensive rebound by A. Aminu,,22,28
97,1,0:58.0,M. Ellis misses 2-pt jump shot from 18 ft,,22,28
98,1,0:56.0,,Defensive rebound by D. Green,22,28
99,1,0:51.0,,Shooting foul by A. Stoudemire (drawn by S. Curry),22,28
100,1,0:51.0,,S. Curry makes free throw 1 of 2,22,29
101,1,0:51.0,,H. Barnes enters the game for D. Green,22,29
102,1,0:51.0,,S. Curry misses free throw 2 of 2,22,29
103,1,0:50.0,Defensive rebound by A. Stoudemire,,22,29
104,1,0:34.0,J. Barea misses 2-pt layup from 1 ft,,22,29
105,1,0:33.0,Offensive rebound by Team,,22,29
106,1,0:20.0,A. Stoudemire makes 2-pt layup from 1 ft,,24,29
107,1,0:04.0,,Turnover by M. Speights (bad pass; steal by A. Aminu),24,29
108,1,0:01.0,M. Ellis misses 3-pt jump shot from 28 ft,,24,29
109,1,0:00.0,Offensive rebound by Team,,24,29
110,2,11:48.0,,M. Speights misses 2-pt jump shot from 17 ft,24,29
111,2,11:46.0,Defensive rebound by A. Aminu,,24,29
112,2,11:21.0,A. Aminu makes 2-pt jump shot from 9 ft,,26,29
113,2,11:07.0,,S. Livingston misses 2-pt jump shot from 9 ft,26,29
114,2,11:06.0,Defensive rebound by A. Stoudemire,,26,29
115,2,10:53.0,Personal foul by L. Barbosa (drawn by J. Barea),,26,29
116,2,10:44.0,A. Stoudemire misses 2-pt jump shot from 10 ft,,26,29
117,2,10:43.0,,Defensive rebound by A. Iguodala,26,29
118,2,10:39.0,,Turnover by A. Iguodala (lost ball; steal by A. Aminu),26,29
119,2,10:36.0,A. Aminu misses 2-pt layup from 1 ft (block by A. Iguodala),,26,29
120,2,10:36.0,Offensive rebound by Team,,26,29
121,2,10:23.0,Turnover by A. Stoudemire (lost ball; steal by A. Iguodala),,26,29
122,2,10:16.0,,Shooting foul by A. Aminu (drawn by A. Iguodala),26,29
123,2,10:16.0,,M. Speights makes free throw 1 of 2,26,30
124,2,10:16.0,,M. Speights makes free throw 2 of 2,26,31
125,2,10:03.0,A. Stoudemire misses 2-pt layup from 2 ft (block by S. Livingston),,26,31
126,2,10:01.0,,Defensive rebound by S. Livingston,26,31
127,2,10:01.0,,Personal foul by D. Nowitzki (drawn by H. Barnes),26,31
128,2,10:01.0,,F. Ezeli enters the game for M. Speights,26,31
129,2,9:54.0,,Turnover by F. Ezeli (lost ball; steal by A. Aminu),26,31
130,2,9:45.0,A. Stoudemire makes 2-pt layup from 1 ft (assist by A. Aminu),,28,31
131,2,9:45.0,Shooting foul by H. Barnes (drawn by A. Stoudemire),,28,31
132,2,9:45.0,,K. Thompson enters the game for L. Barbosa,28,31
133,2,9:45.0,A. Stoudemire makes free throw 1 of 1,,29,31
134,2,9:29.0,,Turnover by S. Livingston (lost ball; steal by R. Rondo),29,31
135,2,9:17.0,Offensive foul by A. Stoudemire (drawn by A. Iguodala),,29,31
136,2,9:17.0,Turnover by A. Stoudemire (offensive foul),,29,31
137,2,9:01.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by S. Livingston),29,34
138,2,8:47.0,Personal foul by H. Barnes (drawn by D. Nowitzki),,29,34
139,2,8:47.0,Official timeout,,29,34
140,2,8:47.0,,D. Green enters the game for H. Barnes,29,34
141,2,8:33.0,D. Nowitzki misses 2-pt jump shot from 7 ft (block by D. Green),,29,34
142,2,8:32.0,,Defensive rebound by S. Livingston,29,34
143,2,8:23.0,,S. Livingston makes 2-pt layup from 2 ft,29,36
144,2,7:57.0,J. Barea misses 2-pt jump shot from 6 ft (block by F. Ezeli),,29,36
145,2,7:55.0,Offensive rebound by A. Aminu,,29,36
146,2,7:53.0,A. Aminu misses 3-pt jump shot from 25 ft,,29,36
147,2,7:51.0,,Defensive rebound by S. Livingston,29,36
148,2,7:40.0,,K. Thompson misses 3-pt jump shot from 25 ft,29,36
149,2,7:39.0,Defensive rebound by R. Rondo,,29,36
150,2,7:24.0,D. Nowitzki misses 2-pt jump shot from 11 ft (block by S. Livingston),,29,36
151,2,7:24.0,,Defensive rebound by Team,29,36
152,2,7:24.0,T. Chandler enters the game for D. Nowitzki,,29,36
153,2,7:24.0,C. Villanueva enters the game for A. Stoudemire,,29,36
154,2,7:24.0,R. Jefferson enters the game for A. Aminu,,29,36
155,2,7:06.0,,Turnover by S. Livingston (bad pass),29,36
156,2,7:06.0,M. Ellis enters the game for R. Rondo,,29,36
157,2,6:44.0,C. Villanueva misses 3-pt jump shot from 26 ft,,29,36
158,2,6:43.0,,Defensive rebound by F. Ezeli,29,36
159,2,6:26.0,,S. Livingston makes 2-pt jump shot from 9 ft,29,38
160,2,6:10.0,Shooting foul by K. Thompson (drawn by C. Villanueva),,29,38
161,2,6:10.0,C. Villanueva makes free throw 1 of 2,,30,38
162,2,6:10.0,C. Villanueva makes free throw 2 of 2,,31,38
163,2,6:01.0,Violation by T. Chandler (kicked ball),,31,38
164,2,5:53.0,,D. Green makes 3-pt jump shot from 28 ft (assist by S. Livingston),31,41
