,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CHARLOTTE_ACTION,GOLDEN STATE_SCORE,CHARLOTTE_SCORE
0,1,11:47.0,,A. Jefferson misses 2-pt jump shot from 7 ft,0,0
1,1,11:46.0,Defensive rebound by A. Bogut,,0,0
2,1,11:26.0,A. Bogut makes 2-pt layup at rim (assist by S. Curry),,2,0
3,1,11:02.0,,A. Jefferson makes 2-pt jump shot from 7 ft (assist by K. Walker),2,2
4,1,10:46.0,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Bogut),,5,2
5,1,10:36.0,,Personal foul by D. Green (drawn by A. Jefferson),5,2
6,1,10:21.0,,A. Jefferson makes 2-pt jump shot from 4 ft,5,4
7,1,10:09.0,K. Thompson misses 2-pt jump shot from 8 ft,,5,4
8,1,10:09.0,,Defensive rebound by Team,5,4
9,1,10:09.0,Loose ball foul by A. Bogut (drawn by A. Jefferson),,5,4
10,1,9:48.0,,G. Henderson misses 2-pt jump shot from 18 ft,5,4
11,1,9:47.0,Defensive rebound by D. Green,,5,4
12,1,9:34.0,Turnover by S. Curry (bad pass; steal by K. Walker),,5,4
13,1,9:21.0,,A. Jefferson makes 2-pt jump shot from 7 ft (assist by K. Walker),5,6
14,1,9:13.0,K. Thompson misses 2-pt layup from 2 ft,,5,6
15,1,9:10.0,,Defensive rebound by L. Stephenson,5,6
16,1,9:06.0,,A. Jefferson makes 2-pt dunk at rim (assist by K. Walker),5,8
17,1,8:48.0,S. Curry misses 3-pt jump shot from 29 ft,,5,8
18,1,8:45.0,Offensive rebound by H. Barnes,,5,8
19,1,8:43.0,H. Barnes misses 2-pt jump shot from 15 ft,,5,8
20,1,8:40.0,Offensive rebound by A. Bogut,,5,8
21,1,8:37.0,Turnover by A. Bogut (bad pass; steal by L. Stephenson),,5,8
22,1,8:34.0,,K. Walker misses 2-pt layup from 2 ft (block by D. Green),5,8
23,1,8:34.0,,Offensive rebound by Team,5,8
24,1,8:31.0,,G. Henderson misses 2-pt jump shot from 18 ft,5,8
25,1,8:30.0,Defensive rebound by D. Green,,5,8
26,1,8:20.0,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),,7,8
27,1,8:07.0,,Shooting foul by S. Curry (drawn by C. Zeller),7,8
28,1,8:07.0,,C. Zeller makes free throw 1 of 2,7,9
29,1,8:07.0,,C. Zeller makes free throw 2 of 2,7,10
30,1,7:53.0,S. Curry makes 2-pt layup from 2 ft (assist by A. Bogut),,9,10
31,1,7:34.0,,Turnover by A. Jefferson (3 sec),9,10
32,1,7:25.0,S. Curry misses 3-pt jump shot from 26 ft,,9,10
33,1,7:24.0,Offensive rebound by H. Barnes,,9,10
34,1,7:15.0,S. Curry makes 2-pt jump shot from 17 ft,,11,10
35,1,6:59.0,,A. Jefferson misses 2-pt jump shot from 13 ft,11,10
36,1,6:59.0,Defensive rebound by Team,,11,10
37,1,6:59.0,,Loose ball foul by C. Zeller (drawn by D. Green),11,10
38,1,6:48.0,K. Thompson misses 2-pt jump shot from 7 ft (block by A. Jefferson),,11,10
39,1,6:46.0,Offensive rebound by K. Thompson,,11,10
40,1,6:44.0,K. Thompson misses 2-pt jump shot from 13 ft,,11,10
41,1,6:43.0,,Defensive rebound by C. Zeller,11,10
42,1,6:41.0,,Turnover by K. Walker (lost ball),11,10
43,1,6:24.0,K. Thompson makes 2-pt jump shot from 15 ft,,13,10
44,1,5:58.0,,L. Stephenson misses 2-pt jump shot from 13 ft (block by A. Bogut),13,10
45,1,5:57.0,,Offensive rebound by G. Henderson,13,10
46,1,5:57.0,,Turnover by Team (shot clock),13,10
47,1,5:57.0,,Charlotte full timeout,13,10
48,1,5:45.0,Turnover by D. Green (bad pass),,13,10
49,1,5:24.0,,K. Walker misses 3-pt jump shot from 26 ft,13,10
50,1,5:23.0,Defensive rebound by Team,,13,10
51,1,5:08.0,Shooting foul by A. Jefferson (drawn by A. Bogut),,13,10
52,1,5:08.0,A. Bogut makes free throw 1 of 2,,14,10
53,1,5:08.0,,P. Hairston enters the game for G. Henderson,14,10
54,1,5:08.0,B. Rush enters the game for K. Thompson,,14,10
55,1,5:08.0,A. Bogut makes free throw 2 of 2,,15,10
56,1,4:57.0,,L. Stephenson misses 2-pt jump shot from 18 ft,15,10
57,1,4:56.0,Defensive rebound by D. Green,,15,10
58,1,4:41.0,A. Bogut misses 2-pt hook shot from 9 ft,,15,10
59,1,4:38.0,,Defensive rebound by P. Hairston,15,10
60,1,4:36.0,,Technical foul by Team,15,10
61,1,4:36.0,S. Curry makes technical free throw,,16,10
62,1,4:36.0,A. Iguodala enters the game for H. Barnes,,16,10
63,1,4:27.0,,A. Jefferson misses 2-pt jump shot from 9 ft,16,10
64,1,4:25.0,Defensive rebound by D. Green,,16,10
65,1,4:18.0,D. Green makes 2-pt layup from 2 ft (assist by S. Curry),,18,10
66,1,4:07.0,,Turnover by K. Walker (bad pass; steal by S. Curry),18,10
67,1,3:58.0,S. Curry misses 2-pt jump shot from 3 ft,,18,10
68,1,3:57.0,,Defensive rebound by C. Zeller,18,10
69,1,3:47.0,Violation by A. Iguodala (kicked ball),,18,10
70,1,3:47.0,,B. Biyombo enters the game for A. Jefferson,18,10
71,1,3:47.0,M. Speights enters the game for A. Bogut,,18,10
72,1,3:39.0,,P. Hairston misses 3-pt jump shot from 28 ft,18,10
73,1,3:38.0,Defensive rebound by B. Rush,,18,10
74,1,3:28.0,B. Rush misses 3-pt jump shot from 23 ft,,18,10
75,1,3:27.0,,Defensive rebound by B. Biyombo,18,10
