,QUARTER,TIME_REMAINING,DALLAS_ACTION,PHOENIX_ACTION,DALLAS_SCORE,PHOENIX_SCORE
0,1,11:42.0,T. Chandler misses 2-pt jump shot from 15 ft,,0,0
1,1,11:40.0,,Defensive rebound by M. Morris,0,0
2,1,11:23.0,,P. Tucker misses 2-pt layup from 2 ft,0,0
3,1,11:19.0,Defensive rebound by T. Chandler,,0,0
4,1,11:18.0,Turnover by T. Chandler (bad pass; steal by M. Morris),,0,0
5,1,11:15.0,,P. Tucker makes 3-pt jump shot from 24 ft (assist by M. Morris),0,3
6,1,10:58.0,M. Ellis misses 2-pt jump shot from 12 ft,,0,3
7,1,10:57.0,,Defensive rebound by M. Morris,0,3
8,1,10:49.0,,M. Morris misses 2-pt jump shot from 16 ft,0,3
9,1,10:47.0,Defensive rebound by D. Nowitzki,,0,3
10,1,10:38.0,C. Parsons misses 3-pt jump shot from 25 ft,,0,3
11,1,10:36.0,Offensive rebound by T. Chandler,,0,3
12,1,10:33.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by T. Chandler),,3,3
13,1,10:06.0,,Turnover by Team (shot clock),3,3
14,1,9:54.0,T. Chandler makes 2-pt jump shot from 18 ft (assist by C. Parsons),,5,3
15,1,9:34.0,,Shooting foul by M. Ellis (drawn by P. Tucker),5,3
16,1,9:34.0,,P. Tucker misses free throw 1 of 2,5,3
17,1,9:34.0,,Offensive rebound by Team,5,3
18,1,9:34.0,,P. Tucker misses free throw 2 of 2,5,3
19,1,9:33.0,,Offensive rebound by M. Morris,5,3
20,1,9:22.0,,M. Morris makes 2-pt jump shot from 7 ft (assist by E. Bledsoe),5,5
21,1,9:05.0,T. Chandler misses 2-pt jump shot from 19 ft,,5,5
22,1,9:03.0,,Defensive rebound by M. Morris,5,5
23,1,8:52.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by M. Morris),5,8
24,1,8:39.0,T. Chandler misses 2-pt jump shot from 3 ft (block by A. Len),,5,8
25,1,8:38.0,Offensive rebound by R. Rondo,,5,8
26,1,8:36.0,R. Rondo misses 2-pt jump shot from 3 ft,,5,8
27,1,8:34.0,Offensive rebound by T. Chandler,,5,8
28,1,8:33.0,T. Chandler misses 2-pt layup from 2 ft (block by A. Len),,5,8
29,1,8:29.0,,Defensive rebound by A. Len,5,8
30,1,8:25.0,,P. Tucker makes 3-pt jump shot from 24 ft,5,11
31,1,8:24.0,Dallas full timeout,,5,11
32,1,8:10.0,R. Rondo makes 2-pt jump shot from 19 ft (assist by C. Parsons),,7,11
33,1,7:52.0,,Turnover by E. Bledsoe (step out of bounds),7,11
34,1,7:46.0,R. Rondo makes 2-pt layup from 1 ft,,9,11
35,1,7:33.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by M. Morris),9,14
36,1,7:18.0,C. Parsons makes 3-pt jump shot from 24 ft (assist by D. Nowitzki),,12,14
37,1,6:58.0,,A. Len makes 2-pt jump shot from 17 ft (assist by E. Bledsoe),12,16
38,1,6:43.0,M. Ellis misses 2-pt jump shot from 20 ft,,12,16
39,1,6:41.0,,Defensive rebound by M. Morris,12,16
40,1,6:35.0,,E. Bledsoe misses 2-pt jump shot from 5 ft,12,16
41,1,6:33.0,,Offensive rebound by A. Len,12,16
42,1,6:33.0,,A. Len makes 2-pt layup at rim,12,18
43,1,6:11.0,R. Rondo misses 3-pt jump shot from 22 ft,,12,18
44,1,6:09.0,Offensive rebound by T. Chandler,,12,18
45,1,6:06.0,C. Parsons misses 2-pt jump shot from 17 ft,,12,18
46,1,6:04.0,,Defensive rebound by P. Tucker,12,18
47,1,5:58.0,,M. Morris misses 2-pt jump shot from 12 ft,12,18
48,1,5:57.0,Defensive rebound by Team,,12,18
49,1,5:57.0,,Loose ball foul by A. Len (drawn by T. Chandler),12,18
50,1,5:57.0,A. Aminu enters the game for D. Nowitzki,,12,18
51,1,5:57.0,,T. Warren enters the game for M. Morris,12,18
52,1,5:57.0,,B. Wright enters the game for A. Len,12,18
53,1,5:49.0,C. Parsons makes 3-pt jump shot from 24 ft (assist by R. Rondo),,15,18
54,1,5:30.0,,E. Bledsoe misses 2-pt jump shot from 22 ft,15,18
55,1,5:28.0,Defensive rebound by T. Chandler,,15,18
56,1,5:22.0,R. Rondo misses 2-pt jump shot from 4 ft (block by E. Bledsoe),,15,18
57,1,5:21.0,,Defensive rebound by M. Morris,15,18
58,1,5:14.0,,P. Tucker makes 2-pt layup at rim (assist by M. Morris),15,20
59,1,4:57.0,T. Chandler misses 2-pt jump shot from 5 ft,,15,20
60,1,4:56.0,,Defensive rebound by M. Morris,15,20
61,1,4:51.0,,P. Tucker makes 2-pt jump shot from 16 ft (assist by M. Morris),15,22
62,1,4:50.0,Dallas full timeout,,15,22
63,1,4:50.0,A. Stoudemire enters the game for T. Chandler,,15,22
64,1,4:32.0,A. Stoudemire makes 2-pt jump shot from 5 ft,,17,22
65,1,4:09.0,,B. Wright makes 2-pt layup from 1 ft (assist by M. Morris),17,24
66,1,3:56.0,Turnover by A. Aminu (bad pass; steal by E. Bledsoe),,17,24
67,1,3:53.0,,E. Bledsoe makes 2-pt layup from 1 ft,17,26
68,1,3:43.0,C. Parsons misses 2-pt jump shot from 7 ft (block by B. Wright),,17,26
69,1,3:43.0,Offensive rebound by Team,,17,26
70,1,3:43.0,Personal foul by E. Bledsoe (drawn by A. Stoudemire),,17,26
71,1,3:43.0,D. Harris enters the game for R. Rondo,,17,26
72,1,3:34.0,A. Stoudemire makes 2-pt jump shot from 18 ft (assist by M. Ellis),,19,26
73,1,3:18.0,,B. Wright misses 2-pt jump shot from 10 ft,19,26
74,1,3:16.0,Defensive rebound by C. Parsons,,19,26
75,1,3:01.0,Turnover by C. Parsons (lost ball; steal by P. Tucker),,19,26
76,1,2:56.0,,M. Morris misses 2-pt layup from 1 ft (block by A. Aminu),19,26
77,1,2:54.0,,Offensive rebound by E. Bledsoe,19,26
78,1,2:54.0,,Shooting foul by A. Aminu (drawn by E. Bledsoe),19,26
79,1,2:54.0,,Phoenix full timeout,19,26
80,1,2:54.0,,M. Morris enters the game for M. Morris,19,26
81,1,2:54.0,,E. Bledsoe misses free throw 1 of 2,19,26
82,1,2:54.0,,Offensive rebound by Team,19,26
