,QUARTER,TIME_REMAINING,INDIANA_ACTION,NEW YORK_ACTION,INDIANA_SCORE,NEW YORK_SCORE
0,1,11:46.0,,S. Larkin misses 2-pt jump shot from 7 ft,0,0
1,1,11:44.0,Defensive rebound by R. Hibbert,,0,0
2,1,11:27.0,C. Miles misses 3-pt jump shot from 25 ft,,0,0
3,1,11:26.0,,Defensive rebound by L. Galloway,0,0
4,1,11:11.0,,L. Amundson misses 2-pt jump shot from 6 ft,0,0
5,1,11:09.0,Defensive rebound by D. West,,0,0
6,1,11:02.0,R. Hibbert makes 2-pt hook shot from 5 ft (assist by C. Miles),,2,0
7,1,10:46.0,,L. Thomas misses 2-pt jump shot from 18 ft,2,0
8,1,10:44.0,Defensive rebound by R. Hibbert,,2,0
9,1,10:32.0,C. Miles misses 2-pt layup from 1 ft (block by L. Amundson),,2,0
10,1,10:30.0,,Defensive rebound by A. Bargnani,2,0
11,1,10:22.0,,L. Galloway misses 3-pt jump shot from 23 ft,2,0
12,1,10:20.0,Defensive rebound by D. West,,2,0
13,1,10:05.0,G. Hill misses 2-pt jump shot from 15 ft,,2,0
14,1,10:04.0,,Defensive rebound by A. Bargnani,2,0
15,1,9:51.0,,L. Amundson misses 2-pt jump shot from 3 ft,2,0
16,1,9:50.0,Defensive rebound by R. Hibbert,,2,0
17,1,9:37.0,Personal foul by L. Amundson (drawn by R. Hibbert),,2,0
18,1,9:32.0,C. Miles makes 2-pt dunk at rim (assist by D. West),,4,0
19,1,9:14.0,,A. Bargnani makes 2-pt jump shot from 21 ft,4,2
20,1,9:07.0,Personal foul by L. Galloway (drawn by S. Hill),,4,2
21,1,9:02.0,D. West makes 2-pt dunk at rim (assist by G. Hill),,6,2
22,1,8:47.0,,Turnover by L. Galloway (bad pass; steal by G. Hill),6,2
23,1,8:44.0,Offensive foul by G. Hill (drawn by L. Galloway),,6,2
24,1,8:44.0,Turnover by G. Hill (offensive foul),,6,2
25,1,8:24.0,,L. Galloway makes 2-pt jump shot from 19 ft (assist by L. Amundson),6,4
26,1,7:59.0,G. Hill makes 2-pt layup from 1 ft (assist by D. West),,8,4
27,1,7:59.0,Shooting foul by S. Larkin (drawn by G. Hill),,8,4
