,QUARTER,TIME_REMAINING,UTAH_ACTION,PHOENIX_ACTION,UTAH_SCORE,PHOENIX_SCORE
0,1,11:38.0,D. Favors makes 2-pt jump shot from 15 ft (assist by G. Hayward),,2,0
1,1,11:19.0,,P. Tucker misses 3-pt jump shot from 23 ft,2,0
2,1,11:17.0,Defensive rebound by D. Favors,,2,0
3,1,11:02.0,G. Hayward makes 3-pt jump shot from 23 ft (assist by J. Ingles),,5,0
4,1,10:51.0,,M. Morris misses 2-pt jump shot from 17 ft,5,0
5,1,10:49.0,Defensive rebound by G. Hayward,,5,0
6,1,10:32.0,E. Freedom misses 2-pt layup from 2 ft (block by M. Plumlee),,5,0
7,1,10:30.0,Offensive rebound by E. Freedom,,5,0
8,1,10:30.0,Shooting foul by M. Plumlee (drawn by E. Freedom),,5,0
9,1,10:30.0,E. Freedom misses free throw 1 of 2,,5,0
10,1,10:30.0,Offensive rebound by Team,,5,0
11,1,10:30.0,E. Freedom misses free throw 2 of 2,,5,0
12,1,10:30.0,,Defensive rebound by P. Tucker,5,0
13,1,10:09.0,,E. Bledsoe misses 2-pt jump shot from 21 ft,5,0
14,1,10:07.0,Defensive rebound by J. Ingles,,5,0
15,1,9:50.0,D. Favors makes 2-pt dunk at rim (assist by D. Exum),,7,0
16,1,9:35.0,,M. Morris makes 2-pt jump shot from 14 ft (assist by G. Dragić),7,2
17,1,9:22.0,G. Hayward makes 2-pt layup from 1 ft,,9,2
18,1,9:12.0,,M. Plumlee misses 2-pt hook shot from 7 ft,9,2
19,1,9:09.0,Defensive rebound by E. Freedom,,9,2
20,1,8:59.0,G. Hayward misses 2-pt jump shot from 7 ft,,9,2
21,1,8:59.0,,Defensive rebound by Team,9,2
22,1,8:50.0,,G. Dragić makes 2-pt layup from 1 ft,9,4
23,1,8:30.0,Turnover by E. Freedom (traveling),,9,4
24,1,8:13.0,,G. Dragić makes 2-pt jump shot from 17 ft,9,6
25,1,7:56.0,E. Freedom makes 2-pt jump shot from 5 ft (assist by D. Exum),,11,6
26,1,7:45.0,,G. Dragić misses 2-pt jump shot from 14 ft,11,6
27,1,7:44.0,Defensive rebound by E. Freedom,,11,6
28,1,7:29.0,Offensive foul by E. Freedom (drawn by P. Tucker),,11,6
29,1,7:29.0,Turnover by E. Freedom (offensive foul),,11,6
30,1,7:09.0,,Turnover by M. Morris (bad pass; steal by D. Favors),11,6
31,1,7:05.0,G. Hayward makes 2-pt layup at rim (assist by D. Exum),,13,6
32,1,7:05.0,,Phoenix full timeout,13,6
33,1,6:46.0,,M. Morris misses 2-pt jump shot from 14 ft,13,6
34,1,6:43.0,Defensive rebound by D. Favors,,13,6
35,1,6:29.0,Personal foul by M. Morris (drawn by E. Freedom),,13,6
36,1,6:21.0,J. Ingles misses 3-pt jump shot from 25 ft,,13,6
37,1,6:19.0,,Defensive rebound by P. Tucker,13,6
38,1,6:10.0,,E. Bledsoe makes 2-pt jump shot from 18 ft,13,8
39,1,5:56.0,D. Favors makes 2-pt jump shot from 12 ft (assist by J. Ingles),,15,8
40,1,5:34.0,,M. Morris makes 2-pt jump shot from 13 ft,15,10
41,1,5:23.0,G. Hayward makes 2-pt layup from 1 ft (assist by J. Ingles),,17,10
42,1,5:13.0,,Personal block foul by D. Exum (drawn by M. Morris),17,10
43,1,5:13.0,,M. Morris enters the game for P. Tucker,17,10
44,1,5:13.0,,B. Wright enters the game for M. Plumlee,17,10
45,1,5:13.0,R. Gobert enters the game for E. Freedom,,17,10
46,1,5:00.0,,M. Morris misses 3-pt jump shot from 26 ft,17,10
47,1,4:58.0,Defensive rebound by G. Hayward,,17,10
48,1,4:42.0,D. Exum makes 3-pt jump shot from 24 ft (assist by R. Gobert),,20,10
49,1,4:26.0,,G. Dragić misses 2-pt jump shot from 17 ft,20,10
50,1,4:24.0,Defensive rebound by D. Favors,,20,10
51,1,4:14.0,Turnover by J. Ingles (bad pass; steal by B. Wright),,20,10
52,1,4:05.0,,Shooting foul by D. Favors (drawn by M. Morris),20,10
53,1,4:05.0,,M. Morris misses free throw 1 of 2,20,10
54,1,4:05.0,,Offensive rebound by Team,20,10
55,1,4:05.0,,I. Thomas enters the game for G. Dragić,20,10
56,1,4:05.0,T. Burke enters the game for D. Exum,,20,10
57,1,4:05.0,,M. Morris makes free throw 2 of 2,20,11
58,1,3:52.0,G. Hayward makes 2-pt jump shot from 18 ft,,22,11
59,1,3:37.0,,Shooting foul by G. Hayward (drawn by M. Morris),22,11
60,1,3:37.0,,M. Morris makes free throw 1 of 2,22,12
