,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DALLAS_ACTION,MEMPHIS_SCORE,DALLAS_SCORE
0,1,11:44.0,,C. Parsons makes 2-pt jump shot from 22 ft (assist by D. Nowitzki),0,2
1,1,11:19.0,Turnover by Z. Randolph (bad pass),,0,2
2,1,11:02.0,,C. Parsons makes 2-pt jump shot from 4 ft (assist by D. Nowitzki),0,4
3,1,10:47.0,Z. Randolph misses 2-pt layup from 3 ft,,0,4
4,1,10:45.0,,Defensive rebound by D. Nowitzki,0,4
5,1,10:28.0,,R. Rondo misses 2-pt jump shot from 19 ft,0,4
6,1,10:27.0,Defensive rebound by B. Udrih,,0,4
7,1,10:14.0,M. Gasol makes 2-pt hook shot from 8 ft,,2,4
8,1,9:51.0,,Turnover by T. Chandler (lost ball; steal by C. Lee),2,4
9,1,9:49.0,Turnover by M. Gasol (bad pass; steal by M. Ellis),,2,4
10,1,9:44.0,,M. Ellis makes 2-pt jump shot from 5 ft,2,6
11,1,9:24.0,C. Lee makes 3-pt jump shot from 23 ft (assist by M. Gasol),,5,6
12,1,9:11.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by T. Chandler),5,9
13,1,8:55.0,Turnover by Z. Randolph (bad pass; steal by R. Rondo),,5,9
14,1,8:41.0,,T. Chandler makes 2-pt layup from 1 ft (assist by D. Nowitzki),5,11
15,1,8:33.0,Memphis full timeout,,5,11
16,1,8:24.0,J. Green makes 2-pt hook shot from 6 ft,,7,11
17,1,8:07.0,,D. Nowitzki misses 2-pt jump shot from 14 ft,7,11
18,1,8:06.0,Defensive rebound by J. Green,,7,11
19,1,7:58.0,C. Lee misses 3-pt jump shot from 25 ft,,7,11
20,1,7:56.0,,Defensive rebound by R. Rondo,7,11
21,1,7:44.0,,C. Parsons makes 3-pt jump shot from 22 ft (assist by R. Rondo),7,14
22,1,7:30.0,Personal block foul by C. Parsons (drawn by J. Green),,7,14
23,1,7:19.0,Personal block foul by T. Chandler (drawn by Z. Randolph),,7,14
24,1,7:13.0,Z. Randolph makes 2-pt jump shot from 20 ft (assist by B. Udrih),,9,14
25,1,6:59.0,,R. Rondo makes 2-pt layup from 2 ft,9,16
26,1,6:38.0,J. Green makes 3-pt jump shot from 23 ft (assist by M. Gasol),,12,16
27,1,6:20.0,,D. Nowitzki misses 2-pt jump shot from 13 ft,12,16
28,1,6:18.0,Defensive rebound by M. Gasol,,12,16
29,1,6:12.0,M. Gasol misses 2-pt layup from 3 ft (block by D. Nowitzki),,12,16
30,1,6:12.0,Offensive rebound by Team,,12,16
31,1,6:12.0,,D. Harris enters the game for R. Rondo,12,16
32,1,6:12.0,,D. Powell enters the game for D. Nowitzki,12,16
33,1,6:03.0,M. Gasol makes 2-pt layup from 2 ft (assist by B. Udrih),,14,16
34,1,5:49.0,,Turnover by C. Parsons (bad pass),14,16
35,1,5:36.0,B. Udrih makes 2-pt jump shot from 17 ft (assist by C. Lee),,16,16
36,1,5:13.0,,Turnover by D. Harris (bad pass),16,16
37,1,4:57.0,M. Gasol misses 2-pt jump shot from 4 ft,,16,16
38,1,4:54.0,Offensive rebound by Z. Randolph,,16,16
39,1,4:53.0,Z. Randolph makes 2-pt layup at rim,,18,16
40,1,4:42.0,,D. Harris makes 2-pt jump shot from 16 ft,18,18
41,1,4:28.0,Turnover by B. Udrih (bad pass; steal by D. Harris),,18,18
42,1,4:24.0,,D. Harris makes 2-pt layup at rim,18,20
43,1,4:02.0,Z. Randolph misses 2-pt jump shot from 10 ft,,18,20
44,1,4:01.0,Offensive rebound by J. Green,,18,20
45,1,3:58.0,J. Green misses 2-pt hook shot from 6 ft,,18,20
46,1,3:55.0,,Defensive rebound by T. Chandler,18,20
