,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DENVER_ACTION,NEW YORK_SCORE,DENVER_SCORE
0,1,11:45.0,L. Thomas makes 2-pt jump shot from 11 ft (assist by A. Bargnani),,2,0
1,1,11:27.0,,T. Lawson makes 2-pt jump shot from 4 ft,2,2
2,1,11:11.0,A. Shved makes 2-pt layup at rim,,4,2
3,1,10:51.0,,R. Foye misses 3-pt jump shot from 22 ft,4,2
4,1,10:49.0,Defensive rebound by A. Bargnani,,4,2
5,1,10:40.0,J. Smith misses 3-pt jump shot from 23 ft,,4,2
6,1,10:38.0,Offensive rebound by A. Bargnani,,4,2
7,1,10:19.0,J. Smith makes 2-pt jump shot from 19 ft (assist by L. Galloway),,6,2
8,1,10:02.0,,R. Foye makes 2-pt layup from 1 ft,6,4
9,1,9:50.0,L. Galloway misses 2-pt jump shot from 22 ft,,6,4
10,1,9:48.0,,Defensive rebound by R. Foye,6,4
11,1,9:43.0,,K. Faried misses 2-pt dunk at rim,6,4
12,1,9:41.0,Defensive rebound by L. Thomas,,6,4
13,1,9:30.0,Shooting foul by D. Gallinari (drawn by A. Bargnani),,6,4
14,1,9:30.0,A. Bargnani misses free throw 1 of 2,,6,4
15,1,9:30.0,Offensive rebound by Team,,6,4
16,1,9:30.0,A. Bargnani makes free throw 2 of 2,,7,4
17,1,9:18.0,,D. Gallinari misses 2-pt jump shot from 19 ft,7,4
18,1,9:17.0,Defensive rebound by Team,,7,4
19,1,9:06.0,Personal foul by D. Gallinari (drawn by A. Bargnani),,7,4
20,1,8:59.0,L. Thomas misses 2-pt layup from 2 ft,,7,4
21,1,8:56.0,,Defensive rebound by K. Faried,7,4
22,1,8:52.0,,W. Chandler makes 2-pt layup from 1 ft (assist by R. Foye),7,6
23,1,8:52.0,,Shooting foul by J. Smith (drawn by W. Chandler),7,6
24,1,8:52.0,,J. Hickson enters the game for D. Gallinari,7,6
25,1,8:52.0,,W. Chandler makes free throw 1 of 1,7,7
26,1,8:38.0,A. Shved makes 3-pt jump shot from 26 ft,,10,7
27,1,8:22.0,,J. Hickson misses 2-pt jump shot from 11 ft,10,7
28,1,8:21.0,Defensive rebound by L. Galloway,,10,7
29,1,8:10.0,A. Bargnani misses 2-pt jump shot from 11 ft,,10,7
30,1,8:09.0,,Defensive rebound by J. Hickson,10,7
31,1,8:04.0,,Personal foul by A. Shved (drawn by K. Faried),10,7
32,1,8:00.0,,Turnover by W. Chandler (traveling),10,7
33,1,7:46.0,A. Bargnani misses 2-pt jump shot from 13 ft,,10,7
34,1,7:45.0,Offensive rebound by A. Bargnani,,10,7
35,1,7:34.0,A. Bargnani misses 2-pt layup from 2 ft (block by J. Hickson),,10,7
36,1,7:33.0,,Defensive rebound by K. Faried,10,7
37,1,7:29.0,,Shooting foul by L. Galloway (drawn by T. Lawson),10,7
38,1,7:29.0,,T. Lawson makes free throw 1 of 2,10,8
39,1,7:29.0,,T. Lawson misses free throw 2 of 2,10,8
40,1,7:27.0,Defensive rebound by L. Thomas,,10,8
41,1,7:09.0,A. Bargnani makes 2-pt jump shot from 17 ft (assist by A. Shved),,12,8
42,1,7:00.0,,Turnover by K. Faried (lost ball; steal by L. Thomas),12,8
43,1,6:55.0,A. Shved makes 2-pt layup from 1 ft (assist by L. Galloway),,14,8
44,1,6:45.0,,Denver full timeout,14,8
45,1,6:37.0,,Shooting foul by L. Thomas (drawn by J. Hickson),14,8
