,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,BOSTON_ACTION,BROOKLYN_SCORE,BOSTON_SCORE
0,1,11:37.0,J. Johnson misses 3-pt jump shot from 25 ft,,0,0
1,1,11:36.0,Offensive rebound by M. Plumlee,,0,0
2,1,11:25.0,Turnover by J. Johnson (bad pass),,0,0
3,1,11:04.0,,T. Zeller makes 2-pt jump shot from 7 ft (assist by J. Green),0,2
4,1,10:52.0,Turnover by M. Plumlee (lost ball; steal by T. Zeller),,0,2
5,1,10:47.0,,J. Green makes 2-pt layup at rim,0,4
6,1,10:29.0,S. Karasev makes 2-pt layup from 1 ft (assist by M. Plumlee),,2,4
7,1,10:20.0,Violation by J. Jack (kicked ball),,2,4
8,1,10:14.0,,J. Sullinger misses 3-pt jump shot from 24 ft,2,4
9,1,10:13.0,Defensive rebound by J. Johnson,,2,4
10,1,10:09.0,Personal foul by J. Sullinger (drawn by K. Garnett),,2,4
11,1,9:59.0,S. Karasev misses 2-pt layup from 1 ft (block by T. Zeller),,2,4
12,1,9:58.0,Offensive rebound by S. Karasev,,2,4
13,1,9:57.0,S. Karasev misses 2-pt layup from 2 ft,,2,4
14,1,9:56.0,Offensive rebound by S. Karasev,,2,4
15,1,9:54.0,M. Plumlee misses 2-pt layup from 2 ft,,2,4
16,1,9:53.0,,Defensive rebound by T. Zeller,2,4
17,1,9:42.0,,T. Zeller misses 2-pt jump shot from 5 ft,2,4
18,1,9:41.0,Defensive rebound by K. Garnett,,2,4
19,1,9:29.0,Shooting foul by M. Smart (drawn by J. Jack),,2,4
20,1,9:29.0,J. Jack makes free throw 1 of 2,,3,4
21,1,9:29.0,J. Jack makes free throw 2 of 2,,4,4
22,1,9:16.0,,J. Green misses 3-pt jump shot from 25 ft,4,4
23,1,9:15.0,Defensive rebound by K. Garnett,,4,4
24,1,8:58.0,J. Johnson makes 2-pt hook shot from 3 ft (assist by S. Karasev),,6,4
25,1,8:40.0,,A. Bradley misses 2-pt jump shot from 18 ft,6,4
26,1,8:39.0,Defensive rebound by J. Jack,,6,4
27,1,8:30.0,S. Karasev makes 3-pt jump shot from 25 ft (assist by K. Garnett),,9,4
28,1,8:03.0,,Turnover by A. Bradley (lost ball; steal by S. Karasev),9,4
29,1,7:59.0,Turnover by K. Garnett (bad pass),,9,4
30,1,7:45.0,,J. Sullinger makes 2-pt layup from 1 ft,9,6
31,1,7:33.0,J. Jack makes 2-pt layup from 1 ft,,11,6
32,1,7:23.0,,M. Smart misses 3-pt jump shot from 24 ft,11,6
33,1,7:22.0,,Offensive rebound by T. Zeller,11,6
34,1,7:20.0,,T. Zeller makes 2-pt layup at rim,11,8
35,1,7:05.0,S. Karasev makes 2-pt jump shot from 4 ft,,13,8
36,1,6:53.0,,Shooting block foul by J. Jack (drawn by J. Green),13,8
37,1,6:53.0,,J. Green misses free throw 1 of 2,13,8
38,1,6:53.0,,Offensive rebound by Team,13,8
39,1,6:53.0,B. Lopez enters the game for K. Garnett,,13,8
40,1,6:53.0,,J. Green makes free throw 2 of 2,13,9
41,1,6:40.0,Turnover by M. Plumlee (lost ball; steal by A. Bradley),,13,9
42,1,6:32.0,,A. Bradley misses 2-pt jump shot from 19 ft,13,9
43,1,6:31.0,Defensive rebound by M. Plumlee,,13,9
44,1,6:19.0,J. Jack misses 2-pt jump shot from 10 ft,,13,9
45,1,6:18.0,Offensive rebound by M. Plumlee,,13,9
46,1,6:06.0,B. Lopez misses 2-pt layup from 1 ft,,13,9
47,1,6:04.0,,Defensive rebound by T. Zeller,13,9
48,1,5:59.0,,J. Green makes 2-pt dunk at rim (assist by A. Bradley),13,11
49,1,5:42.0,J. Jack makes 2-pt jump shot from 10 ft,,15,11
50,1,5:24.0,,M. Smart misses 3-pt jump shot from 24 ft,15,11
51,1,5:22.0,Defensive rebound by S. Karasev,,15,11
52,1,5:18.0,Shooting foul by A. Bradley (drawn by M. Plumlee),,15,11
53,1,5:18.0,,Boston full timeout,15,11
54,1,5:18.0,,J. Nelson enters the game for M. Smart,15,11
55,1,5:18.0,,K. Olynyk enters the game for T. Zeller,15,11
56,1,5:18.0,M. Plumlee misses free throw 1 of 2,,15,11
57,1,5:18.0,Offensive rebound by Team,,15,11
58,1,5:18.0,M. Plumlee misses free throw 2 of 2,,15,11
59,1,5:16.0,,Defensive rebound by J. Sullinger,15,11
60,1,4:59.0,,J. Sullinger makes 2-pt jump shot from 8 ft (assist by J. Green),15,13
61,1,4:44.0,B. Lopez misses 2-pt jump shot from 19 ft,,15,13
62,1,4:43.0,,Defensive rebound by A. Bradley,15,13
63,1,4:32.0,,J. Sullinger makes 3-pt jump shot from 23 ft (assist by J. Green),15,16
64,1,4:14.0,J. Johnson makes 2-pt jump shot from 14 ft,,17,16
65,1,3:58.0,,J. Green makes 2-pt jump shot from 18 ft,17,18
66,1,3:36.0,M. Plumlee makes 2-pt layup at rim (assist by S. Karasev),,19,18
67,1,3:20.0,,A. Bradley misses 2-pt jump shot from 19 ft,19,18
68,1,3:18.0,Defensive rebound by M. Plumlee,,19,18
69,1,3:01.0,J. Johnson misses 2-pt jump shot from 12 ft,,19,18
70,1,3:00.0,,Defensive rebound by J. Nelson,19,18
71,1,2:56.0,,A. Bradley makes 2-pt layup at rim (assist by J. Nelson),19,20
72,1,2:35.0,B. Lopez misses 2-pt hook shot from 7 ft,,19,20
73,1,2:34.0,,Defensive rebound by A. Bradley,19,20
74,1,2:26.0,,J. Green makes 3-pt jump shot from 25 ft (assist by J. Nelson),19,23
75,1,2:16.0,Brooklyn full timeout,,19,23
76,1,2:16.0,,E. Turner enters the game for A. Bradley,19,23
77,1,2:00.0,J. Johnson misses 2-pt jump shot from 13 ft,,19,23
78,1,1:58.0,Offensive rebound by S. Karasev,,19,23
79,1,1:57.0,Personal foul by K. Olynyk (drawn by B. Lopez),,19,23
80,1,1:57.0,A. Anderson enters the game for J. Johnson,,19,23
81,1,1:42.0,B. Lopez makes 2-pt hook shot from 8 ft,,21,23
82,1,1:29.0,,K. Olynyk makes 2-pt jump shot from 4 ft (assist by J. Nelson),21,25
83,1,1:16.0,Shooting foul by J. Green (drawn by M. Plumlee),,21,25
84,1,1:16.0,M. Plumlee makes free throw 1 of 2,,22,25
85,1,1:16.0,,B. Wright enters the game for J. Sullinger,22,25
86,1,1:16.0,M. Plumlee makes free throw 2 of 2,,23,25
87,1,1:06.0,,J. Green makes 2-pt jump shot from 19 ft (assist by B. Wright),23,27
88,1,0:54.0,B. Lopez makes 2-pt jump shot from 19 ft (assist by J. Jack),,25,27
89,1,0:44.0,,Turnover by B. Wright (lost ball; steal by J. Jack),25,27
90,1,0:26.0,Turnover by M. Plumlee (lost ball; steal by B. Wright),,25,27
91,1,0:06.0,,Shooting foul by S. Karasev (drawn by J. Nelson),25,27
92,1,0:06.0,,J. Nelson misses free throw 1 of 3,25,27
93,1,0:06.0,,Offensive rebound by Team,25,27
94,1,0:06.0,,J. Nelson makes free throw 2 of 3,25,28
95,1,0:06.0,D. Williams enters the game for B. Lopez,,25,28
96,1,0:06.0,,J. Crowder enters the game for J. Green,25,28
97,1,0:06.0,,J. Nelson makes free throw 3 of 3,25,29
98,1,0:02.0,J. Jack makes 3-pt jump shot from 24 ft,,28,29
99,2,11:46.0,,Shooting foul by A. Anderson (drawn by K. Olynyk),28,29
100,2,11:46.0,,K. Olynyk makes free throw 1 of 2,28,30
101,2,11:46.0,,K. Olynyk misses free throw 2 of 2,28,30
102,2,11:45.0,Defensive rebound by M. Teletović,,28,30
103,2,11:31.0,Shooting foul by K. Olynyk (drawn by D. Williams),,28,30
104,2,11:31.0,D. Williams makes free throw 1 of 2,,29,30
105,2,11:31.0,D. Williams misses free throw 2 of 2,,29,30
106,2,11:31.0,,Defensive rebound by J. Crowder,29,30
107,2,11:14.0,,J. Nelson makes 3-pt jump shot from 28 ft (assist by E. Turner),29,33
108,2,10:53.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by A. Anderson),,31,33
109,2,10:43.0,,B. Wright makes 2-pt dunk at rim (assist by E. Turner),31,35
110,2,10:32.0,M. Teletović misses 3-pt jump shot from 24 ft,,31,35
111,2,10:31.0,,Defensive rebound by E. Turner,31,35
112,2,10:24.0,,Turnover by E. Turner (bad pass; steal by M. Teletović),31,35
113,2,10:13.0,Shooting foul by J. Nelson (drawn by D. Williams),,31,35
114,2,10:13.0,D. Williams makes free throw 1 of 2,,32,35
115,2,10:13.0,,M. Smart enters the game for J. Nelson,32,35
116,2,10:13.0,D. Williams makes free throw 2 of 2,,33,35
117,2,10:00.0,,Turnover by B. Wright (lost ball; steal by A. Anderson),33,35
118,2,9:54.0,Shooting foul by E. Turner (drawn by A. Anderson),,33,35
119,2,9:54.0,A. Anderson makes free throw 1 of 2,,34,35
120,2,9:54.0,A. Anderson makes free throw 2 of 2,,35,35
121,2,9:42.0,,J. Crowder misses 3-pt jump shot from 24 ft,35,35
122,2,9:40.0,,Offensive rebound by M. Smart,35,35
123,2,9:37.0,,J. Crowder makes 2-pt layup from 1 ft (assist by M. Smart),35,37
124,2,9:37.0,,Shooting foul by B. Bogdanović (drawn by J. Crowder),35,37
125,2,9:37.0,,J. Crowder makes free throw 1 of 1,35,38
126,2,9:21.0,K. Garnett makes 2-pt jump shot from 15 ft,,37,38
127,2,9:01.0,,B. Wright misses 2-pt jump shot from 9 ft,37,38
128,2,9:00.0,Defensive rebound by D. Williams,,37,38
129,2,8:54.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,37,38
130,2,8:53.0,,Defensive rebound by K. Olynyk,37,38
131,2,8:43.0,,B. Wright makes 2-pt layup from 1 ft (assist by M. Smart),37,40
132,2,8:30.0,D. Williams misses 3-pt jump shot from 24 ft,,37,40
133,2,8:29.0,,Defensive rebound by E. Turner,37,40
134,2,8:17.0,,K. Olynyk misses 3-pt jump shot from 24 ft,37,40
135,2,8:16.0,Defensive rebound by K. Garnett,,37,40
136,2,8:09.0,A. Anderson misses 2-pt jump shot from 13 ft (block by K. Olynyk),,37,40
137,2,8:08.0,Offensive rebound by K. Garnett,,37,40
138,2,8:06.0,Turnover by M. Teletović (step out of bounds),,37,40
139,2,8:06.0,Official timeout,,37,40
140,2,7:51.0,,E. Turner misses 2-pt jump shot from 17 ft,37,40
141,2,7:49.0,Defensive rebound by M. Teletović,,37,40
142,2,7:37.0,M. Teletović makes 2-pt layup from 1 ft (assist by D. Williams),,39,40
143,2,7:27.0,Offensive charge foul by B. Wright (drawn by A. Anderson),,39,40
144,2,7:27.0,,Turnover by B. Wright (offensive foul),39,40
145,2,7:15.0,B. Bogdanović misses 2-pt layup from 1 ft,,39,40
146,2,7:14.0,,Defensive rebound by M. Smart,39,40
147,2,7:07.0,,J. Crowder misses 2-pt jump shot from 16 ft,39,40
148,2,7:06.0,Defensive rebound by B. Bogdanović,,39,40
149,2,6:57.0,K. Garnett misses 2-pt jump shot from 17 ft,,39,40
150,2,6:55.0,,Defensive rebound by B. Wright,39,40
151,2,6:51.0,,Personal foul by M. Teletović (drawn by B. Wright),39,40
152,2,6:51.0,M. Plumlee enters the game for K. Garnett,,39,40
153,2,6:51.0,J. Johnson enters the game for B. Bogdanović,,39,40
154,2,6:51.0,,J. Sullinger enters the game for B. Wright,39,40
155,2,6:51.0,,A. Bradley enters the game for E. Turner,39,40
156,2,6:39.0,,Turnover by M. Smart (bad pass; steal by A. Anderson),39,40
157,2,6:33.0,M. Plumlee makes 2-pt layup at rim (assist by D. Williams),,41,40
158,2,6:16.0,,J. Sullinger misses 2-pt jump shot from 14 ft,41,40
159,2,6:15.0,Defensive rebound by M. Plumlee,,41,40
160,2,6:08.0,Turnover by D. Williams (bad pass; steal by M. Smart),,41,40
161,2,6:07.0,,Personal block foul by D. Williams (drawn by M. Smart),41,40
162,2,6:03.0,,Boston full timeout,41,40
163,2,5:55.0,,J. Sullinger misses 3-pt jump shot from 24 ft,41,40
164,2,5:54.0,Defensive rebound by M. Teletović,,41,40
165,2,5:39.0,A. Anderson makes 3-pt jump shot from 22 ft (assist by M. Plumlee),,44,40
166,2,5:21.0,,A. Bradley makes 3-pt jump shot from 24 ft (assist by K. Olynyk),44,43
167,2,4:59.0,M. Teletović misses 3-pt jump shot from 24 ft,,44,43
168,2,4:58.0,,Defensive rebound by A. Bradley,44,43
169,2,4:44.0,,M. Smart makes 3-pt jump shot from 22 ft (assist by J. Sullinger),44,46
170,2,4:21.0,J. Johnson makes 2-pt jump shot from 14 ft,,46,46
171,2,4:03.0,,A. Bradley makes 2-pt jump shot from 8 ft (assist by M. Smart),46,48
172,2,3:47.0,M. Teletović misses 2-pt jump shot from 17 ft,,46,48
173,2,3:46.0,,Defensive rebound by J. Sullinger,46,48
174,2,3:31.0,,A. Bradley makes 2-pt layup at rim,46,50
175,2,3:24.0,Brooklyn full timeout,,46,50
176,2,3:24.0,,J. Green enters the game for J. Crowder,46,50
177,2,3:24.0,,T. Zeller enters the game for K. Olynyk,46,50
178,2,3:24.0,J. Jack enters the game for D. Williams,,46,50
179,2,3:13.0,M. Teletović makes 3-pt jump shot from 23 ft (assist by J. Jack),,49,50
180,2,2:57.0,,Turnover by M. Smart (step out of bounds),49,50
181,2,2:57.0,S. Karasev enters the game for A. Anderson,,49,50
182,2,2:39.0,Personal foul by J. Green (drawn by J. Johnson),,49,50
183,2,2:32.0,M. Teletović misses 2-pt layup from 2 ft,,49,50
184,2,2:30.0,Offensive rebound by M. Teletović,,49,50
185,2,2:25.0,J. Johnson misses 3-pt jump shot from 24 ft,,49,50
186,2,2:22.0,,Defensive rebound by T. Zeller,49,50
187,2,2:22.0,,Personal foul by M. Plumlee (drawn by T. Zeller),49,50
188,2,2:22.0,,T. Zeller makes free throw 1 of 2,49,51
189,2,2:22.0,,J. Nelson enters the game for M. Smart,49,51
190,2,2:22.0,,T. Zeller makes free throw 2 of 2,49,52
