,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHICAGO_ACTION,MILWAUKEE_SCORE,CHICAGO_SCORE
0,1,11:43.0,,M. Dunleavy misses 3-pt jump shot from 26 ft,0,0
1,1,11:42.0,Defensive rebound by Z. Pachulia,,0,0
2,1,11:27.0,M. Carter-Williams makes 2-pt layup from 1 ft,,2,0
3,1,10:59.0,,M. Dunleavy misses 2-pt jump shot from 19 ft,2,0
4,1,10:58.0,Defensive rebound by Z. Pachulia,,2,0
5,1,10:44.0,Z. Pachulia misses 2-pt jump shot from 18 ft,,2,0
6,1,10:43.0,Offensive rebound by Z. Pachulia,,2,0
7,1,10:18.0,E. İlyasova misses 2-pt jump shot from 18 ft,,2,0
8,1,10:17.0,,Defensive rebound by D. Rose,2,0
9,1,9:58.0,,P. Gasol misses 2-pt jump shot from 18 ft,2,0
10,1,9:57.0,,Offensive rebound by J. Butler,2,0
11,1,9:53.0,,J. Butler misses 2-pt jump shot from 18 ft,2,0
12,1,9:52.0,Defensive rebound by Z. Pachulia,,2,0
13,1,9:43.0,K. Middleton makes 2-pt jump shot from 21 ft (assist by M. Carter-Williams),,4,0
14,1,9:29.0,,D. Rose misses 3-pt jump shot from 26 ft,4,0
15,1,9:29.0,Defensive rebound by Team,,4,0
16,1,9:17.0,M. Carter-Williams makes 2-pt jump shot from 7 ft,,6,0
17,1,8:55.0,,P. Gasol misses 2-pt jump shot from 4 ft,6,0
18,1,8:52.0,,Offensive rebound by J. Butler,6,0
19,1,8:40.0,,J. Noah misses 2-pt jump shot from 5 ft,6,0
20,1,8:38.0,Defensive rebound by Z. Pachulia,,6,0
21,1,8:23.0,Z. Pachulia misses 2-pt jump shot from 19 ft,,6,0
22,1,8:22.0,Offensive rebound by E. İlyasova,,6,0
23,1,8:09.0,Z. Pachulia misses 2-pt layup from 2 ft (block by J. Noah),,6,0
24,1,8:07.0,Offensive rebound by Z. Pachulia,,6,0
25,1,8:04.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),,9,0
26,1,7:59.0,,Chicago full timeout,9,0
27,1,7:43.0,,D. Rose misses 2-pt layup from 2 ft (block by E. İlyasova),9,0
28,1,7:41.0,Defensive rebound by M. Carter-Williams,,9,0
29,1,7:37.0,K. Middleton misses 3-pt jump shot from 25 ft,,9,0
30,1,7:36.0,Offensive rebound by Team,,9,0
31,1,7:31.0,Personal foul by M. Dunleavy (drawn by K. Middleton),,9,0
32,1,7:19.0,Turnover by E. İlyasova (bad pass; steal by P. Gasol),,9,0
