,QUARTER,TIME_REMAINING,DENVER_ACTION,ORLANDO_ACTION,DENVER_SCORE,ORLANDO_SCORE
63,1,4:39.0,,N. Vučević misses 2-pt jump shot from 21 ft,14,17
64,1,4:38.0,,Offensive rebound by E. Payton,14,17
65,1,4:33.0,,V. Oladipo misses 3-pt jump shot from 26 ft,14,17
66,1,4:31.0,Defensive rebound by D. Gallinari,,14,17
67,1,4:30.0,Personal foul by M. Harkless (drawn by D. Gallinari),,14,17
68,1,4:30.0,D. Gallinari makes free throw 1 of 2,,15,17
69,1,4:30.0,J. Nelson enters the game for J. Nurkić,,15,17
70,1,4:30.0,,A. Gordon enters the game for M. Harkless,15,17
71,1,4:30.0,D. Gallinari makes free throw 2 of 2,,16,17
72,1,4:14.0,,A. Nicholson misses 2-pt hook shot from 7 ft,16,17
73,1,4:12.0,,Offensive rebound by E. Payton,16,17
74,1,4:04.0,,N. Vučević makes 2-pt jump shot from 14 ft (assist by E. Payton),16,19
75,1,3:52.0,,Offensive charge foul by W. Chandler (drawn by A. Nicholson),16,19
76,1,3:52.0,Turnover by W. Chandler (offensive foul),,16,19
77,1,3:37.0,,N. Vučević makes 2-pt layup at rim,16,21
78,1,3:17.0,Personal block foul by A. Gordon (drawn by D. Gallinari),,16,21
79,1,3:17.0,D. Gallinari makes free throw 1 of 2,,17,21
80,1,3:17.0,J. Hickson enters the game for K. Faried,,17,21
81,1,3:17.0,D. Gallinari makes free throw 2 of 2,,18,21
82,1,2:54.0,,V. Oladipo makes 2-pt jump shot from 19 ft,18,23
83,1,2:26.0,J. Hickson makes 2-pt jump shot from 6 ft (assist by D. Gallinari),,20,23
84,1,2:23.0,,Orlando full timeout,20,23
85,1,2:23.0,,L. Ridnour enters the game for A. Nicholson,20,23
86,1,2:23.0,,W. Green enters the game for E. Payton,20,23
87,1,2:12.0,,V. Oladipo misses 2-pt jump shot from 10 ft,20,23
88,1,2:12.0,Defensive rebound by Team,,20,23
89,1,2:03.0,W. Barton enters the game for W. Chandler,,20,23
90,1,2:03.0,D. Arthur enters the game for D. Gallinari,,20,23
91,1,1:54.0,Turnover by J. Nelson (lost ball),,20,23
92,1,1:30.0,,V. Oladipo makes 2-pt jump shot from 6 ft (assist by W. Green),20,25
93,1,1:20.0,J. Nelson makes 3-pt jump shot from 26 ft (assist by T. Lawson),,23,25
94,1,1:12.0,,Offensive foul by N. Vučević (drawn by T. Lawson),23,25
95,1,1:12.0,,Turnover by N. Vučević (offensive foul),23,25
96,1,1:12.0,,K. O'Quinn enters the game for N. Vučević,23,25
97,1,1:12.0,,B. Gordon enters the game for V. Oladipo,23,25
98,1,1:12.0,,Violation by Team (delay of game),23,25
99,1,0:56.0,J. Nelson misses 3-pt jump shot from 25 ft,,23,25
