,QUARTER,TIME_REMAINING,DALLAS_ACTION,PHILADELPHIA_ACTION,DALLAS_SCORE,PHILADELPHIA_SCORE
0,1,11:42.0,,Turnover by L. Mbah a Moute (lost ball; steal by T. Chandler),0,0
1,1,11:36.0,D. Harris misses 2-pt layup at rim,,0,0
2,1,11:34.0,,Defensive rebound by L. Mbah a Moute,0,0
3,1,11:30.0,,H. Thompson misses 3-pt jump shot from 24 ft,0,0
4,1,11:28.0,,Offensive rebound by N. Noel,0,0
5,1,11:21.0,,H. Sims misses 2-pt jump shot from 17 ft,0,0
6,1,11:19.0,Defensive rebound by A. Aminu,,0,0
7,1,11:04.0,M. Ellis misses 2-pt jump shot from 5 ft,,0,0
8,1,11:02.0,,Defensive rebound by H. Sims,0,0
9,1,10:56.0,,H. Thompson makes 2-pt layup at rim (assist by M. Carter-Williams),0,2
10,1,10:45.0,C. Parsons misses 3-pt jump shot from 26 ft,,0,2
11,1,10:43.0,,Defensive rebound by L. Mbah a Moute,0,2
12,1,10:33.0,,H. Sims misses 2-pt jump shot from 14 ft,0,2
13,1,10:31.0,Defensive rebound by T. Chandler,,0,2
14,1,10:22.0,T. Chandler makes 2-pt dunk at rim (assist by M. Ellis),,2,2
15,1,10:01.0,,Turnover by N. Noel (bad pass),2,2
16,1,9:48.0,D. Harris makes 2-pt layup from 1 ft,,4,2
17,1,9:32.0,Violation by A. Aminu (def goaltending),,4,2
18,1,9:32.0,,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by M. Carter-Williams),4,4
19,1,9:18.0,Personal foul by H. Thompson (drawn by D. Harris),,4,4
20,1,9:10.0,A. Aminu misses 2-pt jump shot from 6 ft,,4,4
21,1,9:09.0,,Defensive rebound by N. Noel,4,4
22,1,8:48.0,,Turnover by M. Carter-Williams (lost ball; steal by T. Chandler),4,4
23,1,8:41.0,Turnover by D. Harris (bad pass; steal by M. Carter-Williams),,4,4
24,1,8:36.0,,M. Carter-Williams makes 2-pt layup from 1 ft,4,6
25,1,8:19.0,Turnover by M. Ellis (bad pass; steal by L. Mbah a Moute),,4,6
26,1,8:15.0,Offensive charge foul by L. Mbah a Moute (drawn by M. Ellis),,4,6
27,1,8:15.0,,Turnover by L. Mbah a Moute (offensive foul),4,6
28,1,8:05.0,Shooting foul by N. Noel (drawn by M. Ellis),,4,6
29,1,8:05.0,M. Ellis makes free throw 1 of 2,,5,6
30,1,8:05.0,M. Ellis makes free throw 2 of 2,,6,6
31,1,7:52.0,,M. Carter-Williams misses 2-pt jump shot from 5 ft (block by D. Harris),6,6
32,1,7:52.0,,Offensive rebound by Team,6,6
33,1,7:47.0,,M. Carter-Williams misses 2-pt jump shot from 3 ft,6,6
34,1,7:45.0,Defensive rebound by A. Aminu,,6,6
35,1,7:38.0,D. Harris makes 3-pt jump shot from 25 ft (assist by C. Parsons),,9,6
36,1,7:32.0,,H. Thompson makes 3-pt jump shot from 26 ft (assist by M. Carter-Williams),9,9
37,1,7:07.0,C. Parsons makes 2-pt jump shot from 18 ft (assist by A. Aminu),,11,9
38,1,7:01.0,,Turnover by H. Thompson (bad pass),11,9
39,1,7:01.0,,K. McDaniels enters the game for M. Carter-Williams,11,9
40,1,7:01.0,,A. Shved enters the game for L. Mbah a Moute,11,9
41,1,6:46.0,A. Aminu misses 2-pt jump shot from 19 ft,,11,9
42,1,6:44.0,,Defensive rebound by K. McDaniels,11,9
43,1,6:32.0,,Turnover by K. McDaniels (bad pass),11,9
44,1,6:23.0,T. Chandler misses 2-pt dunk at rim,,11,9
45,1,6:20.0,Offensive rebound by D. Harris,,11,9
46,1,6:14.0,B. Wright enters the game for D. Harris,,11,9
47,1,6:14.0,R. Jefferson enters the game for T. Chandler,,11,9
48,1,6:14.0,J. Barea enters the game for A. Aminu,,11,9
49,1,6:09.0,M. Ellis misses 3-pt jump shot from 25 ft,,11,9
50,1,6:08.0,,Defensive rebound by A. Shved,11,9
51,1,6:04.0,,N. Noel makes 2-pt dunk at rim (assist by A. Shved),11,11
52,1,5:46.0,R. Jefferson misses 3-pt jump shot from 25 ft,,11,11
53,1,5:44.0,Offensive rebound by C. Parsons,,11,11
54,1,5:44.0,C. Parsons misses 2-pt tip-in from 2 ft,,11,11
55,1,5:41.0,,Defensive rebound by K. McDaniels,11,11
56,1,5:32.0,,H. Thompson misses 2-pt jump shot from 7 ft,11,11
57,1,5:30.0,Defensive rebound by C. Parsons,,11,11
58,1,5:25.0,J. Barea makes 2-pt jump shot from 20 ft (assist by C. Parsons),,13,11
59,1,5:22.0,,Philadelphia full timeout,13,11
60,1,5:01.0,,N. Noel makes 2-pt hook shot from 6 ft (assist by H. Thompson),13,13
61,1,4:44.0,B. Wright makes 2-pt layup from 2 ft (assist by C. Parsons),,15,13
62,1,4:44.0,Shooting foul by K. McDaniels (drawn by B. Wright),,15,13
63,1,4:44.0,,B. Davies enters the game for H. Sims,15,13
64,1,4:44.0,B. Wright misses free throw 1 of 1,,15,13
65,1,4:42.0,Offensive rebound by R. Jefferson,,15,13
66,1,4:38.0,J. Barea misses 3-pt jump shot from 26 ft,,15,13
67,1,4:37.0,,Defensive rebound by A. Shved,15,13
68,1,4:32.0,,Turnover by A. Shved (lost ball; steal by J. Barea),15,13
69,1,4:26.0,C. Parsons makes 2-pt layup at rim (assist by J. Barea),,17,13
70,1,4:13.0,,K. McDaniels misses 3-pt jump shot from 26 ft,17,13
71,1,4:11.0,,Offensive rebound by Team,17,13
72,1,4:11.0,,M. Carter-Williams enters the game for H. Thompson,17,13
73,1,4:11.0,C. Villanueva enters the game for C. Parsons,,17,13
74,1,4:08.0,,A. Shved misses 2-pt layup from 1 ft,17,13
75,1,4:08.0,,Offensive rebound by K. McDaniels,17,13
76,1,4:08.0,,K. McDaniels misses 2-pt tip-in from 2 ft,17,13
77,1,4:04.0,Defensive rebound by M. Ellis,,17,13
78,1,3:50.0,C. Villanueva makes 3-pt jump shot from 26 ft (assist by R. Jefferson),,20,13
79,1,3:33.0,,N. Noel makes 2-pt jump shot from 5 ft (assist by M. Carter-Williams),20,15
80,1,3:14.0,R. Jefferson makes 2-pt jump shot from 23 ft,,22,15
81,1,3:05.0,,K. McDaniels makes 2-pt jump shot from 3 ft (assist by M. Carter-Williams),22,17
82,1,2:51.0,C. Villanueva makes 3-pt jump shot from 25 ft (assist by R. Jefferson),,25,17
83,1,2:38.0,,B. Davies misses 2-pt layup from 2 ft,25,17
84,1,2:37.0,,Offensive rebound by K. McDaniels,25,17
85,1,2:37.0,,K. McDaniels makes 2-pt dunk at rim,25,19
86,1,2:37.0,Dallas full timeout,,25,19
87,1,2:37.0,,J. Grant enters the game for N. Noel,25,19
88,1,2:18.0,C. Villanueva misses 3-pt jump shot from 24 ft,,25,19
89,1,2:16.0,,Defensive rebound by M. Carter-Williams,25,19
90,1,2:10.0,,Personal foul by M. Ellis (drawn by M. Carter-Williams),25,19
91,1,2:10.0,J. Crowder enters the game for M. Ellis,,25,19
92,1,1:58.0,,K. McDaniels makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),25,22
93,1,1:47.0,Turnover by J. Barea (bad pass; steal by K. McDaniels),,25,22
94,1,1:45.0,,Personal foul by R. Jefferson (drawn by J. Grant),25,22
95,1,1:45.0,,L. Mbah a Moute enters the game for A. Shved,25,22
96,1,1:36.0,,B. Davies misses 2-pt jump shot from 3 ft (block by B. Wright),25,22
97,1,1:33.0,Defensive rebound by J. Barea,,25,22
98,1,1:18.0,J. Crowder misses 2-pt jump shot from 20 ft,,25,22
99,1,1:16.0,,Defensive rebound by M. Carter-Williams,25,22
100,1,1:10.0,,M. Carter-Williams misses 2-pt jump shot from 13 ft (block by B. Wright),25,22
101,1,1:06.0,Defensive rebound by J. Barea,,25,22
102,1,1:03.0,Shooting foul by B. Davies (drawn by R. Jefferson),,25,22
103,1,1:03.0,R. Jefferson makes free throw 1 of 2,,26,22
104,1,1:03.0,R. Jefferson misses free throw 2 of 2,,26,22
105,1,1:02.0,,Defensive rebound by B. Davies,26,22
106,1,0:55.0,,Shooting foul by C. Villanueva (drawn by M. Carter-Williams),26,22
107,1,0:55.0,,M. Carter-Williams makes free throw 1 of 2,26,23
108,1,0:55.0,,M. Carter-Williams makes free throw 2 of 2,26,24
109,1,0:42.0,Turnover by C. Villanueva (bad pass; steal by L. Mbah a Moute),,26,24
110,1,0:38.0,,Turnover by K. McDaniels (bad pass; steal by J. Crowder),26,24
111,1,0:31.0,J. Barea makes 2-pt layup from 2 ft,,28,24
112,1,0:27.0,,Shooting foul by J. Crowder (drawn by M. Carter-Williams),28,24
113,1,0:27.0,,M. Carter-Williams makes free throw 1 of 2,28,25
114,1,0:27.0,,J. Sampson enters the game for B. Davies,28,25
115,1,0:27.0,,M. Carter-Williams makes free throw 2 of 2,28,26
116,1,0:03.0,J. Barea misses 2-pt jump shot from 18 ft (block by J. Grant),,28,26
117,1,0:02.0,,Defensive rebound by J. Grant,28,26
118,1,0:00.0,,M. Carter-Williams misses 3-pt jump shot from 26 ft,28,26
119,1,0:00.0,,Offensive rebound by Team,28,26
120,2,11:44.0,C. Villanueva makes 2-pt jump shot from 4 ft (assist by T. Chandler),,30,26
121,2,11:31.0,,L. Mbah a Moute misses 2-pt jump shot from 21 ft,30,26
122,2,11:30.0,Defensive rebound by T. Chandler,,30,26
123,2,11:23.0,D. Harris misses 2-pt layup from 1 ft (block by K. McDaniels),,30,26
124,2,11:21.0,Offensive rebound by T. Chandler,,30,26
125,2,11:20.0,T. Chandler makes 2-pt layup from 1 ft,,32,26
126,2,11:05.0,,K. McDaniels misses 2-pt jump shot from 11 ft,32,26
127,2,11:04.0,Defensive rebound by C. Villanueva,,32,26
128,2,10:56.0,Turnover by D. Harris (bad pass),,32,26
