,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,TORONTO_ACTION,CLEVELAND_SCORE,TORONTO_SCORE
353,4,5:15.0,,G. Vásquez misses 3-pt jump shot from 26 ft,100,97
354,4,5:14.0,Defensive rebound by J. Jones,,100,97
355,4,4:55.0,Shooting foul by A. Johnson (drawn by L. James),,100,97
356,4,4:55.0,L. James makes free throw 1 of 2,,101,97
357,4,4:55.0,,J. Valančiūnas enters the game for A. Johnson,101,97
358,4,4:55.0,L. James makes free throw 2 of 2,,102,97
359,4,4:45.0,,Personal foul by T. Thompson (drawn by L. Williams),102,97
360,4,4:39.0,,L. Williams makes 2-pt jump shot from 6 ft,102,99
361,4,4:08.0,L. James makes 3-pt jump shot from 25 ft,,105,99
362,4,3:52.0,,J. Valančiūnas makes 2-pt layup from 2 ft (assist by L. Williams),105,101
363,4,3:26.0,L. James makes 3-pt jump shot from 24 ft (assist by T. Thompson),,108,101
364,4,3:26.0,,Toronto full timeout,108,101
365,4,3:16.0,,L. Williams makes 3-pt jump shot from 26 ft,108,104
366,4,2:45.0,J. Jones misses 3-pt jump shot from 26 ft,,108,104
367,4,2:44.0,,Defensive rebound by J. Valančiūnas,108,104
368,4,2:29.0,,J. Valančiūnas misses 2-pt layup from 1 ft,108,104
369,4,2:28.0,,Offensive rebound by J. Valančiūnas,108,104
370,4,2:25.0,,J. Valančiūnas makes 2-pt tip-in from 2 ft,108,106
371,4,2:07.0,J. Smith makes 3-pt jump shot from 26 ft (assist by L. James),,111,106
372,4,1:51.0,,Turnover by L. Williams (bad pass; steal by J. Jones),111,106
373,4,1:30.0,Personal foul by L. Williams (drawn by K. Irving),,111,106
374,4,1:30.0,Official timeout,,111,106
375,4,1:30.0,K. Irving makes free throw 1 of 2,,112,106
376,4,1:30.0,K. Irving makes free throw 2 of 2,,113,106
377,4,1:20.0,,D. DeRozan misses 2-pt jump shot from 13 ft,113,106
378,4,1:18.0,Defensive rebound by Team,,113,106
379,4,0:56.0,L. James makes 2-pt layup from 2 ft,,115,106
380,4,0:41.0,,J. Valančiūnas makes 2-pt layup from 3 ft (assist by G. Vásquez),115,108
381,4,0:30.0,Cleveland full timeout,,115,108
382,4,0:30.0,,P. Patterson enters the game for J. Valančiūnas,115,108
383,4,0:30.0,,A. Johnson enters the game for G. Vásquez,115,108
384,4,0:30.0,Personal foul by L. Williams (drawn by L. James),,115,108
385,4,0:30.0,L. James makes free throw 1 of 2,,116,108
