,QUARTER,TIME_REMAINING,ATLANTA_ACTION,BROOKLYN_ACTION,ATLANTA_SCORE,BROOKLYN_SCORE
0,1,11:41.0,,K. Garnett misses 2-pt jump shot from 18 ft,0,0
1,1,11:40.0,Defensive rebound by D. Carroll,,0,0
2,1,11:20.0,A. Horford makes 2-pt jump shot from 18 ft (assist by P. Millsap),,2,0
3,1,11:07.0,,D. Williams makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),2,3
4,1,10:56.0,Personal foul by D. Williams (drawn by J. Teague),,2,3
5,1,10:44.0,A. Horford misses 2-pt jump shot from 13 ft,,2,3
6,1,10:43.0,,Defensive rebound by J. Johnson,2,3
7,1,10:34.0,,B. Lopez misses 2-pt jump shot from 20 ft,2,3
8,1,10:33.0,Defensive rebound by D. Carroll,,2,3
9,1,10:10.0,Turnover by Team (shot clock),,2,3
10,1,9:52.0,,D. Williams misses 3-pt jump shot from 27 ft,2,3
11,1,9:51.0,Defensive rebound by A. Horford,,2,3
12,1,9:38.0,A. Horford misses 2-pt jump shot from 6 ft,,2,3
13,1,9:37.0,,Defensive rebound by K. Garnett,2,3
14,1,9:27.0,,B. Lopez makes 2-pt jump shot from 18 ft (assist by D. Williams),2,5
15,1,9:13.0,P. Millsap makes 3-pt jump shot from 26 ft (assist by J. Teague),,5,5
16,1,8:57.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by J. Johnson),5,8
17,1,8:41.0,D. Carroll makes 2-pt jump shot from 18 ft (assist by J. Teague),,7,8
18,1,8:20.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,7,8
19,1,8:19.0,Defensive rebound by P. Millsap,,7,8
20,1,8:08.0,P. Millsap misses 2-pt hook shot from 5 ft,,7,8
21,1,8:07.0,,Defensive rebound by K. Garnett,7,8
22,1,7:45.0,,B. Lopez makes 2-pt jump shot from 17 ft,7,10
23,1,7:30.0,J. Teague misses 3-pt jump shot from 23 ft (block by D. Williams),,7,10
24,1,7:29.0,,Defensive rebound by B. Lopez,7,10
25,1,7:19.0,,J. Johnson misses 3-pt jump shot from 24 ft,7,10
26,1,7:18.0,Defensive rebound by J. Teague,,7,10
27,1,7:06.0,A. Horford misses 2-pt jump shot from 20 ft,,7,10
28,1,7:05.0,,Defensive rebound by K. Garnett,7,10
29,1,6:42.0,,J. Johnson makes 2-pt jump shot from 19 ft,7,12
30,1,6:27.0,J. Teague misses 2-pt layup from 1 ft,,7,12
31,1,6:26.0,,Defensive rebound by K. Garnett,7,12
32,1,6:21.0,,D. Williams misses 2-pt jump shot from 17 ft,7,12
33,1,6:20.0,,Offensive rebound by Team,7,12
34,1,6:20.0,Loose ball foul by D. Carroll (drawn by K. Garnett),,7,12
35,1,6:20.0,P. Antić enters the game for A. Horford,,7,12
36,1,6:20.0,,M. Teletović enters the game for K. Garnett,7,12
37,1,6:14.0,,Turnover by J. Johnson (bad pass; steal by P. Millsap),7,12
38,1,6:08.0,J. Teague makes 3-pt jump shot from 24 ft (assist by P. Millsap),,10,12
39,1,5:46.0,,B. Bogdanović makes 2-pt layup from 2 ft,10,14
40,1,5:27.0,P. Millsap misses 3-pt jump shot from 24 ft,,10,14
41,1,5:26.0,,Defensive rebound by J. Johnson,10,14
42,1,5:18.0,,M. Teletović misses 3-pt jump shot from 25 ft,10,14
43,1,5:17.0,Defensive rebound by D. Carroll,,10,14
44,1,4:55.0,D. Carroll misses 3-pt jump shot from 25 ft,,10,14
45,1,4:54.0,,Defensive rebound by M. Teletović,10,14
46,1,4:45.0,,Turnover by D. Williams (bad pass; steal by J. Teague),10,14
47,1,4:40.0,D. Carroll misses 2-pt layup from 2 ft,,10,14
48,1,4:39.0,,Defensive rebound by M. Teletović,10,14
49,1,4:33.0,,J. Johnson makes 2-pt jump shot from 6 ft (assist by M. Teletović),10,16
50,1,4:33.0,Atlanta full timeout,,10,16
51,1,4:33.0,T. Sefolosha enters the game for D. Carroll,,10,16
52,1,4:21.0,P. Millsap makes 2-pt hook shot from 6 ft,,12,16
53,1,4:03.0,,B. Lopez misses 2-pt hook shot from 8 ft,12,16
54,1,4:02.0,Defensive rebound by P. Millsap,,12,16
55,1,3:51.0,K. Korver misses 3-pt jump shot from 23 ft,,12,16
56,1,3:50.0,,Defensive rebound by B. Bogdanović,12,16
57,1,3:29.0,,D. Williams misses 2-pt jump shot from 8 ft,12,16
58,1,3:28.0,Defensive rebound by P. Millsap,,12,16
59,1,3:20.0,Personal foul by D. Williams (drawn by J. Teague),,12,16
