,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA CLIPPERS_ACTION,PHILADELPHIA_SCORE,LA CLIPPERS_SCORE
0,1,11:33.0,,C. Paul makes 3-pt jump shot from 25 ft (assist by B. Griffin),0,3
1,1,11:08.0,L. Mbah a Moute misses 2-pt jump shot from 6 ft,,0,3
2,1,11:07.0,Offensive rebound by N. Noel,,0,3
3,1,11:07.0,,Loose ball foul by D. Jordan (drawn by N. Noel),0,3
4,1,10:49.0,L. Mbah a Moute makes 2-pt layup from 1 ft,,2,3
5,1,10:42.0,,M. Barnes misses 2-pt jump shot from 16 ft,2,3
6,1,10:40.0,Defensive rebound by K. McDaniels,,2,3
7,1,10:28.0,R. Covington makes 3-pt jump shot from 25 ft,,5,3
8,1,10:06.0,,B. Griffin makes 2-pt hook shot from 9 ft,5,5
9,1,9:42.0,R. Covington misses 2-pt layup from 1 ft,,5,5
10,1,9:41.0,,Defensive rebound by D. Jordan,5,5
11,1,9:24.0,,Turnover by B. Griffin (bad pass; steal by L. Mbah a Moute),5,5
12,1,9:19.0,T. Wroten misses 2-pt layup from 2 ft,,5,5
13,1,9:17.0,,Defensive rebound by C. Paul,5,5
14,1,9:11.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),5,7
15,1,8:47.0,N. Noel misses 2-pt jump shot from 18 ft,,5,7
16,1,8:45.0,,Defensive rebound by J. Redick,5,7
17,1,8:39.0,,C. Paul makes 2-pt jump shot from 11 ft,5,9
18,1,8:24.0,K. McDaniels makes 2-pt hook shot from 2 ft,,7,9
19,1,8:06.0,,J. Redick makes 2-pt jump shot from 16 ft (assist by C. Paul),7,11
20,1,7:50.0,T. Wroten misses 3-pt jump shot from 24 ft,,7,11
21,1,7:49.0,,Defensive rebound by D. Jordan,7,11
22,1,7:41.0,,M. Barnes makes 2-pt layup from 2 ft (assist by J. Redick),7,13
23,1,7:37.0,Turnover by T. Wroten (bad pass),,7,13
24,1,7:29.0,,M. Barnes misses 3-pt jump shot from 25 ft,7,13
25,1,7:28.0,,Offensive rebound by D. Jordan,7,13
26,1,7:26.0,,D. Jordan misses 2-pt layup from 1 ft,7,13
27,1,7:24.0,Defensive rebound by T. Wroten,,7,13
28,1,7:20.0,T. Wroten makes 2-pt layup from 1 ft,,9,13
29,1,7:06.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Paul),9,16
30,1,6:49.0,N. Noel makes 2-pt dunk at rim,,11,16
31,1,6:27.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by B. Griffin),11,18
32,1,6:09.0,R. Covington misses 3-pt jump shot from 25 ft,,11,18
33,1,6:08.0,,Defensive rebound by D. Jordan,11,18
34,1,5:55.0,,B. Griffin makes 2-pt jump shot from 15 ft,11,20
