,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CHICAGO_ACTION,PHOENIX_SCORE,CHICAGO_SCORE
0,1,11:51.0,M. Morris makes 2-pt layup from 1 ft,,2,0
1,1,11:39.0,,Shooting foul by M. Morris (drawn by D. Rose),2,0
2,1,11:39.0,,D. Rose makes free throw 1 of 2,2,1
3,1,11:39.0,,D. Rose makes free throw 2 of 2,2,2
4,1,11:20.0,M. Morris misses 2-pt jump shot from 16 ft,,2,2
5,1,11:19.0,,Defensive rebound by D. Rose,2,2
6,1,11:09.0,,P. Gasol makes 2-pt jump shot from 18 ft (assist by J. Noah),2,4
7,1,11:03.0,Shooting foul by D. Rose (drawn by E. Bledsoe),,2,4
8,1,11:03.0,E. Bledsoe makes free throw 1 of 2,,3,4
9,1,11:03.0,E. Bledsoe makes free throw 2 of 2,,4,4
10,1,10:50.0,,Turnover by M. Dunleavy (lost ball; steal by E. Bledsoe),4,4
11,1,10:44.0,G. Green makes 2-pt layup from 1 ft (assist by E. Bledsoe),,6,4
12,1,10:29.0,,J. Butler makes 3-pt jump shot from 25 ft (assist by P. Gasol),6,7
13,1,10:02.0,M. Morris misses 2-pt jump shot from 17 ft,,6,7
14,1,10:00.0,,Defensive rebound by P. Gasol,6,7
15,1,9:49.0,,P. Gasol misses 2-pt jump shot from 18 ft,6,7
16,1,9:48.0,Defensive rebound by E. Bledsoe,,6,7
17,1,9:34.0,P. Tucker makes 3-pt jump shot from 23 ft,,9,7
18,1,9:15.0,,J. Butler misses 2-pt jump shot from 16 ft,9,7
19,1,9:14.0,Defensive rebound by A. Len,,9,7
20,1,9:11.0,,Offensive charge foul by E. Bledsoe (drawn by D. Rose),9,7
21,1,9:11.0,Turnover by E. Bledsoe (offensive foul),,9,7
22,1,8:59.0,,P. Gasol misses 2-pt jump shot from 9 ft,9,7
23,1,8:58.0,,Offensive rebound by J. Noah,9,7
24,1,8:58.0,,J. Noah misses 2-pt tip-in from 1 ft,9,7
