,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW YORK_ACTION,CHARLOTTE_SCORE,NEW YORK_SCORE
0,1,11:42.0,,C. Early makes 3-pt jump shot from 25 ft (assist by J. Calderón),0,3
1,1,11:23.0,M. Kidd-Gilchrist makes 2-pt jump shot from 5 ft,,2,3
2,1,10:58.0,,T. Hardaway misses 3-pt jump shot from 26 ft,2,3
3,1,10:57.0,Defensive rebound by M. Kidd-Gilchrist,,2,3
4,1,10:44.0,G. Henderson misses 2-pt jump shot from 8 ft,,2,3
5,1,10:43.0,,Defensive rebound by C. Aldrich,2,3
6,1,10:34.0,,Turnover by C. Early (bad pass; steal by K. Walker),2,3
7,1,10:29.0,Shooting foul by J. Calderón (drawn by G. Henderson),,2,3
8,1,10:29.0,G. Henderson misses free throw 1 of 2,,2,3
9,1,10:29.0,Offensive rebound by Team,,2,3
10,1,10:29.0,G. Henderson makes free throw 2 of 2,,3,3
11,1,10:13.0,,J. Calderón makes 2-pt jump shot from 20 ft (assist by T. Hardaway),3,5
12,1,9:57.0,C. Zeller misses 2-pt jump shot from 18 ft,,3,5
13,1,9:56.0,,Defensive rebound by C. Early,3,5
14,1,9:37.0,,Personal foul by C. Zeller (drawn by J. Smith),3,5
15,1,9:29.0,,J. Calderón misses 3-pt jump shot from 25 ft,3,5
16,1,9:28.0,Defensive rebound by B. Biyombo,,3,5
17,1,9:17.0,G. Henderson misses 3-pt jump shot from 24 ft,,3,5
18,1,9:16.0,,Defensive rebound by Team,3,5
19,1,8:56.0,,C. Aldrich misses 2-pt hook shot from 4 ft,3,5
20,1,8:55.0,Defensive rebound by M. Kidd-Gilchrist,,3,5
21,1,8:45.0,B. Biyombo makes 2-pt dunk at rim,,5,5
22,1,8:29.0,,T. Hardaway makes 2-pt jump shot from 18 ft,5,7
23,1,8:04.0,M. Kidd-Gilchrist makes 2-pt layup at rim,,7,7
24,1,7:49.0,,J. Smith makes 2-pt jump shot from 15 ft (assist by C. Aldrich),7,9
25,1,7:34.0,B. Biyombo misses 2-pt layup from 2 ft,,7,9
26,1,7:33.0,,Defensive rebound by C. Aldrich,7,9
27,1,7:19.0,,C. Early misses 3-pt jump shot from 24 ft,7,9
28,1,7:18.0,,Offensive rebound by C. Aldrich,7,9
29,1,7:15.0,,C. Aldrich makes 2-pt hook shot from 4 ft,7,11
30,1,7:03.0,Offensive foul by B. Biyombo (drawn by J. Calderón),,7,11
31,1,7:03.0,Turnover by B. Biyombo (offensive foul),,7,11
32,1,7:03.0,,Q. Acy enters the game for C. Aldrich,7,11
33,1,6:42.0,,Turnover by C. Early (bad pass; steal by B. Biyombo),7,11
34,1,6:40.0,Turnover by B. Biyombo (bad pass; steal by Q. Acy),,7,11
35,1,6:24.0,,J. Calderón misses 2-pt jump shot from 10 ft,7,11
